数据库：分省年度数据
指标：设备工器具购置固定资产投资价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,99.4,97.7,97.4,98.9,99.1,96.8,98.0,98.9,99.6,98.4,95.3,95.6,93.7,97.1,100.5,98.8,100.5,96.8,102.3,126.3
天津市,99.3,98.8,98.3,99.8,100.2,98.5,99.6,99.1,99.9,99.1,100.5,97.8,94.9,98.5,97.8,96.5,95.3,97.3,100.9,104.4
河北省,99.5,99.1,99.2,101.6,101.2,97.4,101.6,100.7,101.6,101.9,103.6,98.5,98.0,97.9,98.4,96.4,94.4,95.0,99.9,106.2
山西省,99.7,99.0,98.9,101.1,100.3,97.6,102.6,100.6,101.8,104.3,102.5,99.5,97.8,98.1,98.5,99.3,100.0,100.1,104.2,106.2
内蒙古自治区,99.7,99.0,103.1,101.9,100.1,98.0,101.0,100.3,100.7,101.2,104.1,100.2,99.7,99.8,98.0,98.0,97.8,98.2,98.7,106.6
辽宁省,99.6,99.2,99.3,101.6,100.3,98.6,101.0,100.2,100.8,101.7,99.9,97.7,99.3,99.6,98.5,97.9,100.4,101.0,100.4,105.6
吉林省,99.7,99.1,99.0,100.9,99.9,98.1,100.4,99.9,100.5,100.1,101.1,98.1,98.6,98.5,99.4,100.1,100.1,101.1,98.4,112.1
黑龙江省,99.7,98.7,99.3,101.1,100.4,97.8,100.6,99.9,101.3,101.8,100.5,100.8,96.9,98.6,97.3,99.8,98.9,100.2,104.9,108.3
上海市,99.5,98.5,98.6,99.7,98.6,96.1,99.5,99.4,97.3,97.4,99.4,97.5,96.7,96.5,97.0,96.9,96.1,97.8,101.7,104.8
江苏省,99.6,98.8,98.2,101.2,101.7,96.2,100.6,99.7,100.8,100.5,100.5,97.6,99.6,99.7,97.8,95.5,95.0,96.6,102.6,105.3
浙江省,99.5,98.7,98.5,101.6,101.3,96.2,101.2,100.5,101.7,100.3,102.1,98.2,96.4,97.6,96.4,96.8,95.9,97.3,100.4,104.2
安徽省,99.6,99.0,99.2,101.9,101.2,97.1,101.2,100.4,101.3,100.3,100.1,98.3,98.7,98.8,100.1,96.1,99.3,101.6,101.8,107.7
福建省,99.7,98.9,98.9,100.8,99.8,96.4,100.0,99.6,99.6,97.6,96.8,95.4,96.2,96.9,94.9,94.8,94.7,97.9,100.6,106.6
江西省,99.6,99.0,98.8,101.6,102.0,97.4,100.7,100.5,100.9,100.3,100.4,99.8,97.6,96.0,96.2,96.6,98.0,97.1,99.5,107.0
山东省,99.9,99.3,99.2,101.8,100.2,98.0,102.5,100.8,100.6,100.8,101.1,98.5,97.3,97.1,97.2,96.2,96.0,98.7,101.6,106.2
河南省,99.4,99.7,99.7,102.3,100.5,98.8,102.5,101.4,101.5,101.5,103.9,99.2,95.9,97.3,99.0,97.5,100.0,101.2,103.8,111.3
湖北省,99.5,99.0,99.7,100.4,99.8,99.0,102.7,101.5,102.0,100.7,99.6,98.1,97.1,98.4,98.9,99.0,100.8,100.4,101.8,107.9
湖南省,100.0,99.6,99.6,102.7,101.7,98.8,104.7,101.4,100.4,100.7,99.1,97.7,99.0,99.1,99.0,98.6,97.1,98.9,99.3,104.7
广东省,99.7,99.1,98.7,100.5,99.8,97.4,100.1,99.5,100.3,98.7,98.4,96.8,94.6,95.5,,,,,,
广西壮族自治区,100.4,99.6,99.3,101.0,101.2,98.4,101.7,101.0,100.7,100.8,99.3,96.9,98.4,97.7,95.7,94.5,95.2,98.2,102.9,106.2
海南省,99.7,99.0,98.9,101.1,100.3,97.6,100.6,100.2,100.7,99.8,100.0,99.2,98.7,97.0,97.4,,,,,
重庆市,99.7,98.7,99.1,101.1,99.6,97.7,100.6,100.2,100.7,99.7,98.8,96.7,96.2,96.8,97.0,97.7,94.9,97.6,,
四川省,99.9,99.5,99.2,101.9,100.8,98.8,101.8,101.0,101.4,99.8,99.5,97.7,96.1,94.7,93.6,96.5,95.8,96.8,99.9,104.4
贵州省,99.3,99.2,99.1,100.9,100.1,97.5,100.6,100.2,100.3,100.5,103.4,98.7,98.3,98.6,102.7,97.5,95.9,96.9,99.6,104.3
云南省,99.4,99.3,99.3,101.2,100.4,97.1,101.0,100.5,101.3,102.3,102.4,99.4,96.7,98.2,98.3,96.5,97.2,100.0,102.5,105.8
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,99.9,99.5,99.1,100.8,100.4,98.7,101.1,100.6,101.0,105.3,99.7,98.6,99.7,100.0,97.8,97.2,95.2,98.0,98.8,106.2
甘肃省,99.1,97.1,100.3,99.0,100.8,101.0,103.5,101.8,104.6,102.2,104.8,99.1,98.8,99.5,98.9,100.0,98.1,100.1,100.5,110.9
青海省,99.4,99.0,99.2,101.5,101.5,99.4,101.5,102.9,101.8,100.7,100.1,97.8,97.3,97.3,97.9,96.2,95.9,97.9,99.6,106.7
宁夏回族自治区,99.6,99.1,99.8,101.5,100.2,97.4,101.9,100.4,102.4,101.3,99.1,96.9,97.0,100.7,99.5,97.0,96.6,97.5,112.2,105.9
新疆维吾尔自治区,99.3,99.5,97.3,98.4,100.4,95.0,105.0,101.6,102.0,104.8,101.9,100.6,100.5,99.5,97.4,97.6,96.7,97.3,102.0,112.7
数据来源：国家统计局
