数据库：分省年度数据
指标：衣着类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,100.4,101.5,100.9,102.7,98.4,98.4,99.1,100.0,99.7,100.1,98.9,97.1,95.9,100.4,102.6,99.4,105.9,102.9,119.1,117.5
天津市,101.8,101.1,107.0,102.1,102.8,97.3,99.9,98.9,97.5,96.3,92.1,88.1,91.3,93.5,100.1,100.5,95.7,99.2,104.8,107.2
河北省,104.1,102.7,104.7,101.2,97.5,96.4,98.2,98.8,99.9,98.8,96.8,97.8,97.9,97.4,100.0,97.6,100.1,105.5,108.9,112.8
山西省,102.4,102.0,102.1,102.1,96.8,96.9,98.8,97.7,99.4,97.8,99.4,97.5,97.5,96.0,99.2,97.8,99.0,104.0,107.3,111.8
内蒙古自治区,102.1,103.7,103.8,102.3,99.4,99.7,100.3,99.9,100.1,100.1,100.1,98.7,97.7,97.7,98.6,98.1,99.1,105.7,106.6,113.5
辽宁省,102.2,102.1,102.3,101.9,96.2,93.8,93.1,98.5,100.0,96.9,97.9,97.8,98.1,96.8,99.7,96.3,98.5,102.9,107.8,115.0
吉林省,103.1,102.1,101.2,103.0,100.7,99.2,101.4,98.9,99.6,100.5,100.9,99.6,98.3,98.2,99.0,98.5,98.7,103.3,107.4,114.5
黑龙江省,102.9,102.2,102.8,102.1,98.0,96.8,99.3,100.2,101.9,99.3,100.4,98.4,96.7,100.0,99.6,95.6,99.3,104.1,108.9,113.2
上海市,103.7,100.0,103.0,104.3,98.6,99.3,101.6,101.3,106.4,92.1,94.2,97.5,97.5,98.9,94.9,98.2,93.0,101.0,108.8,109.0
江苏省,103.9,103.2,103.6,103.4,100.7,99.0,100.5,101.3,100.9,98.6,99.0,99.0,97.3,97.7,99.1,98.9,99.3,102.7,108.7,117.0
浙江省,101.8,102.9,101.3,102.9,99.3,98.2,97.9,99.8,97.8,97.0,97.3,96.7,95.2,98.4,97.7,99.3,100.1,103.8,107.1,114.6
