数据库：分省年度数据
指标：鞋袜帽类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,100.9,100.8,100.4,102.7,99.3,100.1,94.0,98.1,101.5,96.5,101.1,93.3,97.6,102.0,,,,,,
天津市,101.0,101.6,110.9,101.9,102.4,94.9,98.6,95.7,94.8,85.2,88.7,86.0,89.0,92.7,,,,,,
河北省,102.3,101.1,103.9,98.1,97.1,97.5,99.1,98.1,102.2,98.7,96.6,97.1,99.0,97.9,,,,,,
山西省,102.4,102.3,101.7,99.7,95.6,97.8,99.3,99.5,102.4,99.5,100.9,98.3,96.4,97.2,,,,,,
内蒙古自治区,103.5,103.4,103.9,101.2,99.3,99.5,99.6,99.6,101.1,100.2,99.9,99.5,96.9,98.3,,,,,,
辽宁省,99.7,102.0,100.1,99.9,95.1,94.2,93.3,98.3,99.9,95.6,97.6,96.8,100.2,97.4,,,,,,
吉林省,102.0,102.8,100.6,100.9,98.8,97.0,101.9,99.7,100.3,101.9,102.8,98.9,98.4,97.7,,,,,,
黑龙江省,104.4,102.5,100.7,100.1,101.2,99.4,100.2,98.3,105.2,99.6,99.6,98.7,97.2,100.5,,,,,,
上海市,108.5,98.4,99.3,99.0,93.6,98.3,100.6,95.4,107.9,94.5,91.7,95.9,98.4,106.2,,,,,,
江苏省,103.7,103.5,103.8,101.5,100.2,96.8,99.4,101.0,101.3,97.8,99.7,98.8,97.2,97.2,,,,,,
浙江省,99.3,102.7,100.0,102.3,100.2,96.3,97.0,100.2,98.8,97.4,97.2,95.8,97.2,102.8,,,,,,
安徽省,99.7,101.0,101.4,101.0,95.6,97.6,98.7,100.1,99.8,96.8,95.1,95.6,98.6,98.7,,,,,,
福建省,102.5,101.7,104.0,100.6,93.6,95.5,91.7,98.5,98.3,98.2,97.6,96.7,97.6,97.6,,,,,,
江西省,101.6,100.8,100.8,103.9,98.7,99.6,97.2,98.6,99.6,97.2,97.1,98.1,99.2,98.1,,,,,,
山东省,102.9,101.3,102.9,101.1,97.1,97.4,98.4,96.6,98.7,98.0,98.0,97.5,97.0,99.1,,,,,,
河南省,102.1,102.4,103.8,101.6,101.2,100.6,101.3,100.2,98.8,98.3,97.9,98.6,97.4,98.6,,,,,,
湖北省,101.9,100.7,100.9,100.9,100.8,98.5,98.4,101.2,100.8,99.1,98.5,101.0,102.7,99.0,,,,,,
湖南省,100.6,101.1,100.6,100.4,99.8,101.6,99.1,102.7,100.1,99.3,98.5,97.8,97.8,95.1,,,,,,
广东省,102.2,100.9,102.5,100.6,96.6,96.1,97.4,98.5,99.5,98.7,98.7,97.1,99.0,100.4,,,,,,
广西壮族自治区,101.0,100.6,99.5,99.4,97.8,94.7,97.2,106.4,100.8,97.1,100.6,104.0,95.1,97.9,,,,,,
海南省,102.8,101.1,101.0,100.6,101.8,100.2,98.7,98.5,95.5,99.6,99.1,97.1,99.3,98.5,,,,,,
重庆市,101.0,106.9,105.2,100.1,94.8,82.2,92.9,89.0,91.3,86.1,84.4,94.3,96.0,94.8,,,,,,
四川省,101.9,100.2,109.1,99.8,98.8,97.1,96.6,99.9,103.0,98.1,98.8,98.1,98.2,99.3,,,,,,
贵州省,101.4,101.0,104.0,97.1,92.5,92.5,96.4,97.4,97.8,97.9,94.7,94.6,97.4,101.3,,,,,,
云南省,100.0,97.3,94.0,101.6,96.7,97.6,94.5,99.2,95.7,98.7,96.5,97.5,98.2,98.9,,,,,,
西藏自治区,103.0,101.7,102.7,102.5,100.9,97.3,102.7,102.5,99.5,100.9,99.8,100.9,101.4,102.8,,,,,,
陕西省,100.0,103.4,103.0,99.2,101.8,104.6,100.4,98.9,101.7,101.5,103.2,102.0,99.6,95.9,,,,,,
甘肃省,101.6,102.0,101.7,101.1,98.1,103.7,102.5,95.7,98.0,96.2,100.7,97.7,99.2,99.1,,,,,,
青海省,105.9,105.0,102.0,102.2,104.1,107.2,100.7,102.9,99.7,98.5,102.9,103.3,102.8,100.5,,,,,,
宁夏回族自治区,102.5,102.4,103.8,104.0,101.1,98.0,104.8,104.8,103.9,102.4,97.2,101.9,99.3,102.0,,,,,,
新疆维吾尔自治区,100.8,100.2,101.2,100.0,98.4,100.5,99.8,99.5,96.7,97.8,97.3,99.1,100.3,99.5,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
