数据库：分省年度数据
指标：家庭设备用品及服务类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,100.3,101.7,102.8,104.2,99.4,100.3,104.4,100.4,101.2,99.7,96.9,97.7,97.0,97.0,96.3,96.5,97.5,105.4,104.6,108.3
天津市,103.3,102.0,101.6,106.1,99.5,99.7,106.8,102.1,100.5,99.1,98.3,96.5,96.0,95.9,95.3,94.3,95.4,97.6,103.4,104.4
河北省,101.2,101.4,102.8,101.8,99.8,99.8,102.4,100.8,99.7,98.4,97.4,97.0,97.9,98.2,98.6,98.4,98.9,102.0,104.5,106.5
山西省,101.4,101.6,101.7,102.3,98.5,99.5,103.2,102.5,101.8,100.4,99.0,98.8,97.3,98.2,97.6,97.4,98.6,101.5,102.3,106.2
内蒙古自治区,100.6,100.8,101.4,100.1,98.8,99.3,100.8,100.7,100.3,100.3,98.6,98.1,99.4,99.0,98.9,97.8,98.7,102.4,105.6,107.3
辽宁省,100.3,101.2,102.9,103.0,99.8,100.7,103.6,101.3,100.2,99.7,97.5,96.4,97.4,96.4,97.3,97.0,97.8,101.2,103.9,107.7
吉林省,100.8,100.6,100.7,101.7,99.6,102.1,102.6,100.0,99.9,99.2,99.1,97.9,99.2,99.4,97.6,97.5,98.7,101.8,105.1,107.1
黑龙江省,100.8,100.0,101.7,102.0,100.0,99.3,103.1,102.2,101.0,100.2,99.4,97.0,98.1,98.4,97.7,96.0,98.4,101.4,103.7,107.1
上海市,101.8,101.3,103.5,107.1,101.1,101.5,108.3,103.3,102.7,100.8,97.8,98.4,97.7,97.2,96.6,97.6,93.1,92.4,99.9,103.5
江苏省,103.3,102.2,103.6,104.4,100.1,101.3,104.1,102.2,101.4,100.2,99.1,96.6,97.1,97.6,98.4,98.3,98.7,99.9,102.6,106.4
浙江省,101.5,102.2,102.5,103.7,100.4,99.8,103.4,102.1,101.8,100.1,98.3,96.9,96.8,97.0,97.7,98.2,98.5,100.9,104.0,106.5
安徽省,101.3,100.9,101.6,101.3,98.9,99.0,102.2,101.9,101.0,99.3,98.0,97.7,97.7,98.0,98.6,98.5,98.4,100.3,104.0,105.8
福建省,100.4,100.4,101.7,101.7,99.2,100.3,103.2,101.6,100.9,99.6,98.6,97.3,97.2,97.6,97.7,98.4,98.8,100.6,102.9,107.5
江西省,99.9,101.0,101.7,102.0,99.3,100.9,102.8,102.2,101.5,99.6,99.2,97.5,97.3,97.1,97.4,97.1,98.6,100.8,103.3,107.4
山东省,101.1,100.3,101.2,101.0,99.6,100.1,102.0,102.3,101.1,100.1,98.8,98.0,98.0,98.7,97.1,97.5,99.0,100.9,103.8,109.3
河南省,100.9,101.5,102.8,102.1,99.6,100.4,103.1,102.5,101.2,99.6,98.2,97.7,96.7,98.0,97.8,97.2,98.2,100.6,104.1,107.4
湖北省,101.5,101.9,102.2,102.7,101.4,100.2,100.8,100.5,100.7,98.8,97.9,97.3,96.1,94.0,96.0,97.1,99.2,102.2,104.5,106.8
湖南省,101.3,101.8,101.4,101.0,100.5,100.5,99.8,101.7,102.7,100.7,99.5,97.2,96.9,96.4,97.6,98.6,99.4,102.9,106.2,108.6
广东省,100.8,101.8,101.9,102.8,100.0,99.3,102.0,102.0,101.7,100.6,98.6,98.0,98.8,99.4,98.5,97.6,98.0,99.6,103.1,105.9
广西壮族自治区,100.3,101.1,101.1,101.7,98.8,98.6,103.5,101.5,100.9,99.9,99.6,97.4,96.6,97.0,98.5,98.4,98.1,100.4,102.9,107.7
海南省,101.4,101.6,103.5,101.4,104.6,101.9,101.9,103.0,101.1,100.7,100.3,98.1,99.4,98.1,99.1,97.7,98.4,101.8,103.0,110.6
重庆市,100.5,101.6,100.9,102.2,100.2,97.2,102.5,101.8,100.3,100.1,98.5,95.5,96.8,95.7,94.1,96.0,96.9,95.3,,
四川省,101.2,101.9,99.6,101.1,100.8,100.8,102.7,102.3,102.5,99.7,99.6,98.3,98.1,99.2,97.6,98.1,100.0,102.5,104.5,109.2
