数据库：分省年度数据
指标：耐用消费品类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,99.1,100.8,100.9,101.6,97.2,97.1,103.4,100.7,100.4,99.7,95.5,95.8,95.9,96.0,,,,,,
天津市,102.8,100.7,99.4,102.9,95.4,99.0,107.1,103.4,98.9,97.6,97.5,95.9,95.4,94.4,,,,,,
河北省,100.7,100.9,101.6,100.0,97.6,97.4,100.8,100.1,99.2,97.8,95.7,95.7,97.2,97.1,,,,,,
山西省,100.7,100.8,100.6,100.3,97.0,97.7,101.4,102.2,101.5,99.3,99.1,98.1,95.2,96.5,,,,,,
内蒙古自治区,99.9,99.9,100.9,98.8,97.4,98.3,100.2,100.6,100.4,99.4,97.7,98.4,98.3,97.9,,,,,,
辽宁省,99.5,100.0,100.7,100.8,98.8,98.9,101.4,100.6,99.8,98.8,96.0,94.0,95.1,94.0,,,,,,
吉林省,100.0,100.1,99.4,99.7,98.8,99.0,100.6,99.1,98.5,98.0,98.1,96.8,98.9,97.9,,,,,,
黑龙江省,100.3,98.6,99.5,97.8,97.5,97.5,100.6,102.0,100.5,97.9,97.8,95.4,95.9,95.8,,,,,,
上海市,100.9,99.5,103.0,102.8,99.6,100.0,107.2,102.9,101.2,98.6,96.1,98.9,97.8,94.7,,,,,,
江苏省,103.1,101.6,102.7,103.6,98.3,98.6,102.2,101.7,101.5,99.5,97.4,94.7,95.5,95.9,,,,,,
浙江省,99.5,100.6,101.4,101.4,98.8,98.0,101.4,101.8,100.7,98.3,96.5,94.6,94.7,95.7,,,,,,
安徽省,100.4,99.8,100.1,98.9,97.2,96.5,101.2,101.4,100.9,97.4,95.5,95.9,95.4,96.5,,,,,,
福建省,99.4,98.8,99.1,99.6,98.1,97.9,100.6,101.7,100.6,98.3,97.2,95.3,96.0,96.5,,,,,,
江西省,99.4,99.1,99.7,98.6,97.0,98.8,99.8,101.5,101.8,97.7,96.3,95.0,95.6,96.1,,,,,,
山东省,100.6,99.2,99.9,100.6,99.1,99.1,101.4,102.8,101.3,99.9,97.6,96.6,96.6,98.5,,,,,,
河南省,100.7,101.2,101.4,100.7,98.6,98.5,101.4,103.0,101.7,98.8,96.2,96.6,95.6,96.7,,,,,,
湖北省,99.7,99.8,100.4,100.7,100.1,96.9,98.3,100.0,100.6,97.2,95.6,95.1,95.3,91.3,,,,,,
湖南省,100.6,100.7,100.1,99.9,99.4,98.4,98.5,100.6,101.3,99.5,98.1,95.4,95.0,94.9,,,,,,
广东省,99.0,99.7,99.5,99.9,98.4,97.4,100.3,100.8,100.9,99.3,97.6,96.2,97.2,97.1,,,,,,
广西壮族自治区,99.7,100.4,100.5,99.9,97.7,95.6,100.4,101.3,99.9,99.8,97.9,94.6,95.0,94.6,,,,,,
海南省,100.1,100.0,102.4,102.6,102.2,100.1,101.8,102.2,101.3,100.3,98.7,98.7,97.3,95.3,,,,,,
重庆市,100.6,100.4,99.9,97.3,96.0,94.4,101.3,102.5,99.8,99.1,95.6,94.2,93.8,92.6,,,,,,
四川省,100.0,100.9,96.5,99.3,98.8,98.9,101.2,102.5,102.6,98.6,97.8,96.4,96.4,98.4,,,,,,
贵州省,101.1,100.9,99.1,98.7,98.6,98.4,102.8,101.3,100.2,99.2,98.8,96.3,93.3,90.4,,,,,,
云南省,100.9,101.1,99.4,98.4,98.4,98.2,99.5,101.1,100.6,97.7,98.5,97.9,94.2,95.5,,,,,,
西藏自治区,100.6,100.3,101.5,101.7,100.1,95.9,102.1,99.9,97.5,97.8,99.7,100.5,99.6,98.9,,,,,,
陕西省,99.4,101.8,101.2,101.1,98.9,97.5,100.6,102.5,101.5,99.1,97.1,95.3,97.3,95.0,,,,,,
甘肃省,101.1,99.9,100.1,99.6,99.5,100.5,101.1,101.5,100.9,99.4,97.8,97.6,97.3,98.0,,,,,,
青海省,98.7,99.4,97.2,97.4,99.8,98.8,100.7,100.8,98.6,97.7,97.9,99.2,99.1,95.4,,,,,,
宁夏回族自治区,100.5,100.5,99.5,101.0,100.0,99.2,102.6,101.8,99.9,97.4,95.9,92.6,94.9,95.5,,,,,,
新疆维吾尔自治区,99.5,99.6,100.4,99.8,100.0,100.4,101.7,99.8,98.4,98.4,97.4,98.3,97.9,99.6,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
