数据库：分省年度数据
指标：油脂类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,96.9,99.8,104.5,114.2,100.9,83.9,121.3,117.3,101.5,98.0,117.0,114.1,94.7,87.5,85.8,99.4,103.3,100.7,90.8,109.0
天津市,93.6,98.7,103.7,115.3,105.2,84.7,128.9,126.8,97.6,94.7,120.1,111.5,98.0,83.6,89.4,97.9,104.5,100.1,90.4,118.9
河北省,95.7,101.0,106.3,110.6,101.8,86.3,126.9,122.2,98.5,96.6,122.1,113.1,96.4,92.4,91.7,92.4,101.2,104.1,90.1,120.8
山西省,95.8,101.5,105.2,111.7,104.0,83.2,129.0,120.5,99.6,94.7,114.2,110.3,97.7,87.8,90.7,93.2,100.6,97.5,92.5,119.9
内蒙古自治区,98.3,101.5,105.3,113.0,101.9,84.8,132.3,126.1,98.8,96.9,116.0,105.3,99.4,93.4,88.0,93.8,100.7,101.1,87.5,127.2
辽宁省,95.4,99.8,105.0,115.0,101.7,78.3,126.0,129.5,99.9,86.4,111.7,125.5,105.1,90.5,81.4,91.4,104.6,101.1,87.1,118.5
吉林省,98.3,99.0,105.7,112.5,102.2,80.1,124.6,125.2,100.6,92.1,109.4,113.3,102.2,91.9,82.5,91.1,105.9,98.9,85.5,125.3
黑龙江省,93.3,95.5,102.6,119.1,107.0,74.0,129.1,138.1,99.3,91.5,112.1,112.6,108.7,93.7,80.9,91.8,107.0,97.2,91.0,115.7
上海市,95.5,97.9,103.8,117.5,105.6,80.3,124.7,129.8,97.6,91.2,114.2,106.1,97.3,84.5,77.1,94.4,106.9,99.0,95.6,110.7
江苏省,92.3,98.2,104.2,113.7,103.3,75.7,125.1,128.6,98.1,92.4,112.1,112.8,98.4,92.6,84.2,95.3,102.3,101.5,91.6,111.5
浙江省,92.9,98.2,103.7,117.6,102.7,78.1,126.3,131.4,99.1,95.2,119.0,112.9,99.7,91.1,84.2,99.1,97.4,99.0,92.8,111.6
安徽省,94.7,99.8,105.8,116.0,104.8,82.0,125.3,127.3,97.7,90.8,120.6,116.8,99.9,91.7,83.8,94.5,101.2,101.8,92.1,108.5
福建省,93.7,100.3,105.4,113.4,101.6,80.4,121.5,122.1,98.8,96.5,115.5,110.5,97.5,92.3,95.5,93.4,97.4,103.2,98.9,108.8
江西省,97.0,100.0,104.2,112.8,104.1,78.5,122.8,125.9,97.9,96.2,119.6,115.4,99.3,90.5,84.2,96.1,100.0,98.6,92.0,114.8
山东省,94.9,102.6,107.5,113.2,106.2,86.2,124.2,121.9,99.5,94.6,123.7,113.1,99.4,92.8,87.9,90.8,101.0,105.8,89.1,110.8
河南省,94.8,99.7,105.0,113.6,104.7,84.0,127.0,124.7,99.9,92.5,122.0,119.2,97.2,92.0,88.3,92.6,99.4,103.7,91.1,114.5
湖北省,93.3,99.5,105.2,114.9,105.1,80.4,125.2,130.8,96.9,91.7,119.1,115.0,98.2,90.4,81.0,97.0,101.3,102.2,90.5,112.4
湖南省,97.3,102.2,102.5,112.0,103.9,84.4,129.7,128.6,96.0,96.0,125.4,113.7,94.5,91.1,91.9,100.2,93.3,98.9,95.4,128.4
广东省,95.8,101.0,106.0,109.8,105.2,83.2,120.1,119.7,100.1,99.9,113.2,108.6,96.3,94.5,94.7,93.1,95.2,102.8,98.3,113.4
广西壮族自治区,91.4,101.5,108.2,112.1,104.1,80.0,121.1,122.1,101.1,92.2,125.2,113.1,98.6,87.8,96.0,94.6,96.1,101.6,93.8,117.2
海南省,95.7,103.6,106.2,110.7,103.8,91.1,123.9,119.2,100.1,95.3,107.7,103.6,97.4,98.1,93.2,96.5,94.7,97.4,94.9,120.8
重庆市,94.7,98.6,106.0,116.0,105.2,80.9,128.5,132.3,98.8,83.8,121.4,114.2,99.3,91.7,79.1,95.0,98.6,102.5,,
四川省,95.8,101.4,105.2,112.4,101.1,83.8,119.6,127.4,96.6,94.2,121.8,107.5,102.1,93.8,84.1,96.2,100.0,103.0,91.3,119.6
贵州省,94.1,100.2,104.4,116.5,100.4,78.4,128.3,147.5,96.6,88.7,120.3,108.9,100.7,86.6,82.1,95.9,100.1,99.8,92.4,121.2
云南省,95.6,100.4,102.9,113.0,102.7,80.5,126.7,131.2,97.3,97.9,119.4,107.9,98.1,94.3,86.1,96.3,100.2,99.5,90.8,137.7
西藏自治区,102.5,103.5,105.5,103.4,100.9,95.9,129.8,108.5,100.7,100.4,109.7,96.1,97.6,97.3,98.8,100.2,,,,
陕西省,94.2,100.8,105.9,112.9,104.1,82.1,124.3,124.6,99.3,97.1,111.6,110.3,99.1,92.0,79.7,94.3,104.3,99.8,89.0,111.7
甘肃省,98.3,101.0,104.5,114.1,101.0,85.8,138.8,126.0,98.9,96.9,110.6,108.1,98.2,94.7,86.1,96.3,104.9,97.9,87.9,120.0
青海省,96.3,102.7,105.6,108.4,102.3,83.5,126.8,124.8,96.2,92.3,116.6,112.1,95.9,93.6,81.6,96.2,106.7,99.2,85.9,115.5
宁夏回族自治区,97.8,101.0,103.0,114.9,101.1,78.0,136.7,127.6,98.7,97.5,115.2,106.2,97.5,90.7,94.1,96.1,105.8,94.2,91.1,124.6
新疆维吾尔自治区,97.3,103.4,105.3,112.6,107.6,77.0,131.6,134.9,97.9,91.8,106.1,114.8,97.0,93.9,84.4,96.4,101.4,103.4,89.0,112.1
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
