数据库：分省年度数据
指标：化妆美容用品类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,97.2,97.0,100.0,100.8,99.9,103.1,101.8,100.0,99.9,105.4,99.9,99.2,99.8,106.7,,,,,,
天津市,96.8,101.7,104.3,100.8,102.1,100.5,98.9,101.5,101.1,99.0,101.1,98.0,99.3,100.1,,,,,,
河北省,102.3,102.7,102.7,101.7,100.8,101.4,100.7,100.1,100.3,101.2,101.0,99.7,100.6,98.5,,,,,,
山西省,100.9,102.7,102.0,101.8,100.3,100.9,99.7,97.8,101.3,99.5,98.5,97.2,95.3,96.3,,,,,,
内蒙古自治区,100.2,100.3,101.6,100.8,100.8,100.2,100.2,99.4,99.6,100.8,100.3,104.0,100.5,100.3,,,,,,
辽宁省,101.1,101.2,101.3,101.2,99.9,101.2,102.4,99.7,99.5,98.9,96.8,97.5,101.0,98.6,,,,,,
吉林省,100.7,101.4,101.2,101.2,100.3,100.4,100.7,100.4,98.1,99.4,99.4,98.0,96.5,100.4,,,,,,
黑龙江省,100.8,100.8,99.9,101.0,102.3,101.1,100.2,99.0,97.3,98.8,99.7,104.3,99.6,102.5,,,,,,
上海市,101.6,100.3,100.1,104.1,100.4,100.4,102.0,100.2,96.8,96.8,98.6,99.6,107.8,101.9,,,,,,
江苏省,101.2,101.4,101.2,100.5,100.6,99.4,100.4,99.9,100.3,99.5,99.7,99.7,99.4,99.2,,,,,,
浙江省,101.6,101.6,101.2,100.9,99.4,100.5,101.0,100.3,99.5,98.9,98.0,99.2,100.3,99.7,,,,,,
安徽省,100.7,100.0,100.7,101.3,101.8,102.2,100.6,100.2,98.8,99.4,98.6,100.9,99.5,100.0,,,,,,
福建省,100.0,101.3,102.0,99.8,100.1,101.0,100.4,100.2,99.8,100.3,99.1,98.2,98.9,98.1,,,,,,
江西省,100.2,100.9,100.6,100.7,100.6,102.3,100.2,100.6,101.7,100.2,99.1,99.7,98.9,100.5,,,,,,
山东省,101.0,101.3,100.7,101.2,100.4,100.4,101.6,100.1,99.4,99.4,98.8,99.3,99.2,98.9,,,,,,
河南省,101.0,101.8,102.2,100.7,100.1,100.3,100.6,99.7,99.7,98.9,99.5,99.9,99.7,97.8,,,,,,
湖北省,100.7,101.1,101.2,101.9,100.6,100.6,100.2,100.4,100.1,98.9,98.6,99.9,102.7,98.7,,,,,,
湖南省,100.2,101.2,101.5,101.5,100.9,100.6,99.0,99.4,99.7,100.3,96.8,99.1,98.6,98.4,,,,,,
广东省,100.6,100.8,101.4,100.6,99.8,100.5,100.7,100.5,99.6,97.5,98.4,99.7,99.9,99.4,,,,,,
广西壮族自治区,99.8,100.2,101.1,100.9,100.9,101.6,98.9,100.7,100.9,98.9,100.0,102.0,97.2,101.0,,,,,,
海南省,100.1,100.1,100.7,98.9,99.5,101.0,101.1,100.5,100.0,100.0,100.0,99.9,107.4,99.9,,,,,,
重庆市,100.7,101.6,101.5,100.8,100.0,101.3,101.0,99.3,99.9,97.5,100.8,96.3,97.6,96.5,,,,,,
四川省,100.6,101.1,100.6,100.6,101.1,100.1,99.8,100.6,100.9,99.6,98.8,100.0,100.8,99.9,,,,,,
贵州省,100.1,100.0,100.2,100.4,101.7,100.5,98.6,99.8,100.8,100.0,102.1,100.4,97.8,99.4,,,,,,
云南省,101.1,100.3,101.6,100.1,99.9,100.5,101.5,100.3,100.8,100.5,98.3,103.2,103.3,102.8,,,,,,
西藏自治区,99.6,100.9,100.9,100.7,100.4,102.3,100.1,99.8,99.8,100.1,99.7,100.5,97.5,99.3,,,,,,
陕西省,101.6,102.3,101.8,101.7,101.1,100.3,101.8,100.6,99.9,100.9,98.7,99.8,100.9,95.0,,,,,,
甘肃省,102.2,101.0,103.9,101.2,101.7,100.1,98.6,98.9,98.2,98.8,100.1,100.0,98.6,96.8,,,,,,
青海省,98.8,100.2,100.2,101.8,100.4,100.2,102.9,101.5,101.3,98.1,98.7,99.3,100.4,95.6,,,,,,
宁夏回族自治区,100.8,101.4,101.2,101.3,100.5,101.6,101.6,100.5,99.5,100.2,99.1,98.5,99.1,99.6,,,,,,
新疆维吾尔自治区,100.5,102.5,102.0,101.0,100.1,104.8,101.0,100.4,100.2,99.7,96.8,98.8,97.8,99.7,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
