数据库：分省年度数据
指标：肉禽及其制品类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,99.9,106.7,106.7,121.8,101.2,95.2,125.1,128.7,99.4,103.8,110.1,100.9,98.9,102.6,98.4,92.3,93.2,107.0,101.5,123.2
天津市,99.6,108.0,105.7,122.6,103.9,93.3,118.9,129.8,96.6,104.5,113.9,102.2,98.8,102.7,99.9,87.5,92.6,107.9,100.0,129.6
河北省,98.1,106.8,101.1,125.6,102.0,89.8,123.2,135.4,95.8,102.5,115.9,104.3,97.8,104.3,102.8,88.0,90.0,113.7,100.4,122.5
山西省,98.8,104.6,101.4,126.1,102.5,88.3,124.4,138.1,95.0,100.9,120.5,106.9,98.4,104.0,101.8,87.1,89.9,110.2,99.9,129.7
内蒙古自治区,99.5,109.6,105.3,126.8,105.3,92.9,122.5,134.7,97.2,101.7,113.6,101.8,101.5,105.0,100.7,91.6,93.5,102.7,98.6,131.8
辽宁省,99.4,107.4,102.6,125.7,101.8,93.0,122.5,137.7,96.5,100.4,115.4,103.5,98.4,106.7,100.3,86.4,92.5,109.1,96.5,126.2
吉林省,100.6,107.9,103.7,123.1,102.6,91.0,124.7,143.3,95.6,101.5,115.2,102.2,101.0,109.0,96.6,86.9,94.3,108.9,96.3,121.9
黑龙江省,99.0,106.8,105.4,125.9,101.2,92.4,119.6,136.6,96.2,99.5,113.3,101.7,101.2,108.7,97.1,85.5,94.9,107.9,96.5,116.8
上海市,101.4,103.7,105.1,119.9,104.3,95.5,122.9,123.0,100.6,105.7,116.8,101.7,101.8,99.3,95.7,91.8,91.8,106.3,107.4,135.5
江苏省,99.9,103.1,102.5,120.8,103.0,91.2,120.4,127.6,96.3,104.3,117.4,104.5,98.1,100.8,99.6,91.1,89.8,106.6,106.5,124.6
浙江省,100.1,103.9,100.9,122.9,103.8,89.5,119.2,131.2,95.7,103.2,119.8,105.3,99.3,100.3,97.8,91.4,91.6,101.6,107.5,125.4
安徽省,98.6,104.6,98.7,124.7,102.3,88.6,121.6,133.4,95.8,103.7,120.1,108.1,97.4,101.1,101.9,92.0,89.5,106.4,106.6,123.2
福建省,100.4,103.0,102.0,120.3,102.3,90.0,120.8,128.4,97.2,103.7,115.1,101.7,98.7,98.4,97.0,89.6,89.1,101.7,107.1,118.2
江西省,100.5,103.9,98.9,122.7,100.4,90.5,117.8,130.6,94.4,102.2,117.4,103.5,98.3,99.9,99.1,92.8,91.3,100.9,109.2,123.1
山东省,98.9,103.2,101.6,122.9,103.6,91.2,122.2,134.7,95.8,100.9,117.9,106.3,99.3,103.2,100.6,88.6,88.4,114.3,105.0,123.2
河南省,98.8,104.8,99.4,126.8,104.0,89.6,124.7,137.7,96.3,103.3,119.6,105.0,97.9,104.6,100.8,89.5,87.9,113.4,103.9,124.4
湖北省,100.7,105.0,101.7,122.1,102.0,92.6,122.5,132.1,97.2,104.1,120.1,104.9,97.6,101.5,100.6,90.6,89.6,109.9,107.9,129.6
湖南省,100.9,103.7,98.5,120.2,101.8,89.4,118.0,133.4,96.6,99.8,121.5,109.4,100.9,99.2,100.8,96.1,88.3,102.0,108.6,130.8
广东省,103.3,102.0,104.4,118.9,102.0,92.1,119.9,122.4,97.8,105.8,112.8,100.6,99.1,98.2,96.4,91.9,92.1,99.7,106.8,123.7
广西壮族自治区,103.6,102.4,103.0,120.9,103.2,91.2,122.3,132.5,95.8,103.1,118.5,101.9,100.1,98.8,95.5,93.0,89.6,97.9,104.3,128.8
海南省,103.6,101.9,103.8,117.7,103.3,94.4,118.9,124.7,98.6,100.8,123.7,103.2,100.8,100.9,96.7,93.5,91.6,94.1,102.7,115.0
重庆市,99.4,103.7,99.1,130.1,104.7,86.7,122.7,136.7,99.6,101.4,121.5,99.2,103.8,97.8,93.3,94.4,86.6,109.9,,
四川省,98.4,104.1,99.9,123.7,103.5,92.0,116.4,133.8,100.6,101.4,120.9,100.7,102.8,101.7,96.5,91.3,89.0,111.0,106.9,122.2
