数据库：分省年度数据
指标：文化娱乐类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,101.9,102.7,102.8,101.6,99.7,103.2,100.6,97.7,100.4,101.5,103.7,103.1,101.2,115.1,,,,,,
天津市,100.4,101.1,102.0,100.6,100.5,102.0,99.3,99.6,97.1,103.5,94.9,121.4,104.4,100.2,,,,,,
河北省,101.8,101.0,101.1,101.8,100.3,101.7,101.3,101.0,101.6,100.3,100.8,101.5,100.8,100.2,,,,,,
山西省,99.7,101.6,101.4,101.7,101.5,101.7,101.3,102.3,100.8,101.7,101.3,98.9,100.3,99.8,,,,,,
内蒙古自治区,100.0,101.1,101.7,101.4,100.6,101.4,99.6,100.4,100.1,100.2,101.1,103.0,100.1,100.4,,,,,,
辽宁省,101.1,101.3,100.9,101.0,100.4,103.3,101.3,101.5,100.8,99.8,101.2,99.6,101.9,101.8,,,,,,
吉林省,100.3,100.4,100.8,100.8,101.1,103.4,101.4,100.9,103.2,101.5,100.2,100.9,101.3,100.0,,,,,,
黑龙江省,99.8,98.8,100.0,101.7,102.0,102.5,101.5,103.3,102.6,100.5,100.0,100.8,101.3,101.1,,,,,,
上海市,101.0,100.3,101.8,102.8,101.0,104.2,100.7,99.8,101.6,102.6,106.0,102.8,104.4,105.2,,,,,,
江苏省,102.5,101.8,101.0,101.0,102.5,103.1,102.3,101.4,102.1,102.3,100.6,100.3,100.1,101.8,,,,,,
浙江省,100.6,101.9,101.6,102.4,101.3,101.1,100.9,101.8,101.0,101.2,100.6,101.1,100.7,99.4,,,,,,
安徽省,101.0,100.8,101.1,100.6,100.8,101.5,100.9,101.1,100.2,99.5,99.9,99.9,100.0,99.8,,,,,,
福建省,100.8,100.6,101.0,101.0,100.6,103.0,100.9,101.4,99.9,101.4,100.4,100.7,100.5,100.2,,,,,,
江西省,101.4,100.4,101.2,100.7,101.4,102.9,100.3,100.9,101.4,100.8,100.9,101.5,101.5,100.7,,,,,,
山东省,101.0,101.2,100.5,100.4,100.4,101.4,100.4,101.2,101.7,101.0,100.8,100.4,100.3,100.7,,,,,,
河南省,102.3,105.1,102.0,101.4,100.3,103.0,101.2,100.6,100.3,100.6,99.9,100.7,101.7,100.1,,,,,,
湖北省,100.4,100.6,101.0,101.3,101.6,104.0,101.6,100.3,100.2,100.5,100.4,102.1,102.7,101.3,,,,,,
湖南省,100.8,100.8,100.9,100.9,101.1,104.0,100.7,101.3,101.8,101.7,102.1,101.1,102.7,99.7,,,,,,
广东省,101.4,101.0,100.6,100.9,100.3,101.4,100.8,99.8,99.6,100.7,100.2,100.8,101.5,102.8,,,,,,
广西壮族自治区,101.0,101.5,103.7,97.8,101.5,104.6,102.2,104.4,103.6,101.8,102.7,100.9,102.3,102.2,,,,,,
海南省,101.8,101.7,102.0,99.3,99.9,99.5,100.8,99.3,99.3,99.7,99.3,100.5,102.7,104.2,,,,,,
重庆市,101.0,101.9,101.0,100.3,101.6,102.3,101.5,102.0,102.1,100.7,99.0,98.8,103.2,104.0,,,,,,
四川省,100.8,101.7,101.6,100.5,100.8,102.4,101.5,100.4,100.3,101.0,101.0,100.9,100.5,99.5,,,,,,
贵州省,101.4,102.9,101.5,99.7,100.3,102.8,108.2,107.6,102.4,100.7,102.3,103.6,97.9,106.3,,,,,,
云南省,101.4,100.3,100.4,101.0,101.6,102.5,103.5,101.9,101.0,99.5,100.7,98.2,102.3,101.0,,,,,,
西藏自治区,100.3,100.8,101.2,101.1,101.1,102.7,100.8,101.6,99.8,100.6,99.8,100.1,101.5,103.6,,,,,,
陕西省,102.8,102.3,102.0,102.2,100.4,103.1,100.6,100.6,100.5,103.6,101.9,100.3,100.4,100.1,,,,,,
甘肃省,101.0,100.1,102.6,104.2,100.9,101.8,100.9,101.8,101.5,100.4,99.5,100.9,100.1,99.7,,,,,,
青海省,101.1,99.9,99.0,100.9,110.7,103.9,102.7,105.0,102.1,99.9,104.5,98.1,108.0,102.6,,,,,,
宁夏回族自治区,101.2,103.0,101.0,102.6,101.9,103.0,101.5,102.9,101.7,103.6,103.0,99.1,103.0,102.6,,,,,,
新疆维吾尔自治区,102.6,103.7,101.2,100.6,100.9,101.3,100.8,100.9,101.9,101.2,101.4,100.7,101.5,100.6,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
