数据库：分省年度数据
指标：通信工具类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,77.9,74.4,75.1,78.7,79.8,72.7,72.5,73.0,74.3,75.6,72.6,79.2,77.0,66.9,,,,,,
天津市,95.5,88.7,63.1,65.0,68.5,66.7,65.5,64.9,68.0,70.5,72.5,73.7,86.9,75.5,,,,,,
河北省,101.3,95.4,87.4,87.5,86.0,81.3,84.3,87.1,84.9,84.8,84.7,82.2,85.7,84.2,,,,,,
山西省,87.9,85.1,83.2,80.5,78.9,79.0,78.3,74.0,75.3,71.7,77.6,83.8,85.7,84.3,,,,,,
内蒙古自治区,93.1,97.9,94.3,92.8,90.7,81.6,86.8,86.9,92.8,91.0,87.5,86.3,86.1,83.9,,,,,,
辽宁省,98.3,90.8,86.1,84.8,83.6,77.7,73.6,72.2,73.8,74.8,76.9,73.2,78.6,77.3,,,,,,
吉林省,99.3,93.7,88.9,88.7,88.4,77.0,80.8,79.0,84.1,82.4,84.5,78.0,80.0,81.9,,,,,,
黑龙江省,98.7,87.4,85.8,87.7,88.4,86.4,88.0,89.8,88.0,86.3,84.9,80.0,85.3,84.5,,,,,,
上海市,93.7,79.8,73.5,79.9,71.4,64.6,67.9,70.7,70.4,66.1,67.3,70.4,70.9,69.7,,,,,,
江苏省,99.6,96.9,89.3,86.2,83.2,82.7,78.4,82.3,81.6,83.1,83.5,76.5,80.7,82.2,,,,,,
浙江省,96.3,94.8,86.9,88.2,87.9,81.0,76.2,79.4,81.3,84.4,85.7,81.4,85.9,86.6,,,,,,
安徽省,93.5,95.2,99.9,90.1,84.4,80.6,83.8,80.3,78.6,85.7,88.2,82.2,82.4,85.3,,,,,,
福建省,100.6,88.5,83.0,86.6,85.0,79.4,85.4,81.5,78.4,79.6,80.6,77.6,77.9,76.4,,,,,,
江西省,90.9,90.7,88.0,89.6,85.7,80.0,75.4,77.1,78.6,79.7,80.6,83.1,84.0,83.7,,,,,,
山东省,95.3,92.7,92.4,91.4,89.1,87.0,85.1,84.1,81.8,86.1,86.1,83.9,81.6,81.4,,,,,,
河南省,101.1,93.7,91.3,89.0,88.0,82.1,81.6,77.6,80.1,87.4,91.3,86.7,87.2,88.6,,,,,,
湖北省,95.9,89.7,93.4,94.8,94.0,85.7,83.5,84.2,82.6,89.0,86.4,80.7,83.2,77.8,,,,,,
湖南省,99.0,96.5,96.8,95.5,94.3,85.0,85.7,88.8,89.2,89.9,88.5,88.4,88.7,81.4,,,,,,
广东省,94.5,90.8,86.8,85.3,86.6,83.9,81.8,86.6,84.9,87.5,88.0,84.1,85.6,82.2,,,,,,
广西壮族自治区,96.2,94.1,90.8,92.7,90.4,86.5,80.4,79.9,79.9,85.4,87.3,81.6,82.6,82.8,,,,,,
海南省,91.5,90.8,82.4,76.4,80.7,83.6,88.0,85.5,82.7,86.0,87.6,84.2,80.8,73.2,,,,,,
重庆市,95.4,93.1,82.6,83.8,79.6,78.1,74.5,72.1,70.9,78.9,79.8,78.6,82.4,76.4,,,,,,
四川省,94.7,92.9,85.3,86.5,87.6,84.0,81.1,87.9,89.4,91.3,91.1,90.2,88.2,87.7,,,,,,
贵州省,92.7,91.2,85.4,84.0,92.6,91.3,89.2,84.3,87.4,87.9,91.2,91.7,84.4,81.4,,,,,,
云南省,98.0,92.9,89.3,85.4,86.8,84.6,83.3,84.5,83.3,83.0,86.0,89.7,89.1,81.8,,,,,,
西藏自治区,99.6,98.9,96.4,98.1,88.8,79.2,91.6,96.7,94.8,95.8,95.2,87.3,97.1,98.4,,,,,,
陕西省,89.7,86.9,82.8,83.2,89.0,83.8,79.9,80.1,84.6,85.6,77.9,81.5,83.9,87.6,,,,,,
甘肃省,93.4,92.7,94.2,92.8,84.1,79.2,79.0,74.9,84.3,85.1,82.3,83.9,80.6,88.9,,,,,,
青海省,96.0,91.1,89.4,91.3,90.5,82.5,80.0,79.1,83.0,72.5,79.6,83.2,81.0,79.5,,,,,,
宁夏回族自治区,91.2,86.0,83.8,89.4,84.1,83.0,78.3,76.7,81.9,84.5,85.0,80.9,79.8,82.5,,,,,,
新疆维吾尔自治区,95.8,92.7,81.3,90.2,91.8,89.3,84.8,88.1,88.3,88.7,90.8,89.2,86.9,92.6,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
