数据库：分省年度数据
指标：租房类居民消费价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,101.3,106.0,104.4,109.5,110.0,102.2,101.0,100.7,100.1,100.0,100.0,100.0,100.0,114.3,,,,,,
天津市,103.7,99.9,101.0,101.2,103.6,100.0,100.3,100.0,100.7,102.1,100.3,104.6,109.6,115.8,,,,,,
河北省,100.6,102.7,102.5,108.4,104.8,103.8,103.4,103.2,103.6,105.3,102.8,108.8,104.2,102.7,,,,,,
山西省,104.6,106.3,105.1,105.2,106.0,101.8,103.6,102.6,100.6,101.5,102.2,100.5,100.6,112.1,,,,,,
内蒙古自治区,102.1,101.5,104.5,105.5,101.5,101.9,103.4,105.0,102.0,101.8,100.5,100.6,106.1,108.5,,,,,,
辽宁省,101.8,102.8,103.6,105.7,109.1,103.7,108.8,109.8,103.7,101.5,102.7,100.3,103.5,112.6,,,,,,
吉林省,102.6,103.1,104.5,113.3,100.8,99.5,104.9,104.9,101.9,100.0,100.0,105.2,106.9,117.1,,,,,,
黑龙江省,101.1,103.1,103.3,108.2,103.9,110.9,103.7,102.0,117.5,101.5,102.6,101.1,100.9,101.8,,,,,,
上海市,105.2,104.0,100.2,105.6,106.8,98.1,110.8,108.7,99.5,100.0,100.0,100.0,100.0,111.0,,,,,,
江苏省,102.8,103.3,103.6,103.9,106.0,100.3,102.4,103.6,101.6,101.6,102.2,107.5,103.2,109.7,,,,,,
浙江省,102.6,105.4,102.5,106.7,104.3,101.2,103.8,102.9,102.7,101.6,104.6,104.2,110.7,112.6,,,,,,
安徽省,103.7,101.7,101.6,106.4,111.3,109.9,105.2,108.2,102.6,101.3,102.1,104.8,104.3,127.6,,,,,,
福建省,102.1,103.0,100.3,104.9,102.5,104.2,104.1,106.3,103.1,100.1,101.0,100.6,99.8,102.1,,,,,,
江西省,104.3,104.8,103.0,103.7,105.6,104.9,102.5,107.2,112.7,105.4,102.6,102.7,110.4,107.4,,,,,,
山东省,102.8,101.7,102.2,105.9,103.4,100.7,104.3,106.6,104.6,102.5,104.3,101.0,101.3,104.0,,,,,,
河南省,103.8,103.5,103.7,104.2,104.7,108.3,107.2,103.2,101.9,99.7,101.6,103.0,106.2,117.0,,,,,,
湖北省,105.4,103.9,103.3,103.8,101.2,100.0,100.7,101.2,101.0,100.0,100.4,103.5,100.5,102.4,,,,,,
湖南省,103.0,103.4,101.2,105.2,106.9,102.7,100.1,101.8,102.6,101.9,102.5,100.5,100.3,101.1,,,,,,
广东省,103.8,106.9,102.1,107.3,103.0,100.7,103.6,102.8,101.1,99.9,100.0,105.3,107.5,104.5,,,,,,
广西壮族自治区,101.9,102.5,103.0,100.3,100.0,102.6,102.6,110.6,105.9,98.8,108.1,108.7,102.0,106.1,,,,,,
海南省,100.7,104.9,102.3,106.8,111.2,101.0,102.4,101.4,100.1,100.9,99.7,118.1,103.1,96.0,,,,,,
重庆市,102.5,103.7,104.9,106.5,103.2,99.9,103.8,101.5,100.0,100.0,100.5,99.9,115.6,108.5,,,,,,
四川省,103.9,105.5,102.0,109.8,111.2,104.2,103.4,103.9,101.3,101.2,106.2,103.1,100.4,102.7,,,,,,
贵州省,104.3,105.8,103.2,99.5,102.5,104.6,107.4,111.9,100.2,110.1,99.7,100.0,105.9,105.9,,,,,,
云南省,103.9,104.9,104.1,107.4,103.5,101.3,105.6,109.1,105.6,103.6,110.7,101.1,100.8,143.1,,,,,,
西藏自治区,102.2,100.4,100.2,102.7,105.2,102.2,101.8,102.5,101.3,105.3,102.8,99.5,102.0,100.0,,,,,,
陕西省,103.4,105.0,103.0,106.9,110.3,101.5,101.7,103.0,102.3,109.1,117.9,100.5,100.0,98.9,,,,,,
甘肃省,103.0,104.0,100.6,105.1,113.7,108.1,108.3,103.1,101.6,101.4,102.9,100.1,100.4,115.5,,,,,,
青海省,105.9,107.0,106.6,117.0,104.8,112.5,116.7,112.1,100.0,100.0,100.0,100.2,100.0,100.0,,,,,,
宁夏回族自治区,107.0,110.8,110.2,105.8,106.8,102.1,100.0,102.7,101.8,110.4,109.9,101.7,110.6,105.8,,,,,,
新疆维吾尔自治区,103.0,103.3,102.7,102.9,103.3,101.4,103.9,102.5,100.5,117.2,111.5,98.7,100.2,101.0,,,,,,
注：居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。
数据来源：国家统计局
