数据库：分省年度数据
指标：城市商品零售价格指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,99.1,99.8,100.6,103.2,100.4,97.8,104.4,100.8,100.2,99.7,99.2,98.2,98.4,98.8,,,,,,
天津市,100.9,101.7,103.0,104.7,103.4,98.9,105.1,103.2,100.4,99.9,100.8,97.4,97.4,98.6,,,,,,
河北省,101.0,102.1,102.1,104.7,102.7,98.9,105.4,103.5,101.6,101.0,102.3,100.1,98.8,99.4,99.2,98.0,97.9,102.0,106.0,115.2
山西省,100.7,101.6,101.7,104.9,102.5,99.0,107.3,103.9,101.2,100.0,102.4,100.2,98.3,98.6,96.8,97.2,96.9,100.9,106.0,114.5
内蒙古自治区,100.5,102.6,102.5,105.0,102.9,99.4,104.1,103.4,101.5,101.5,102.4,99.6,99.5,100.0,98.7,97.9,98.1,102.4,105.9,115.4
辽宁省,101.0,101.6,102.3,105.0,102.9,99.7,105.2,104.1,101.2,100.0,101.5,98.4,97.4,99.2,98.4,95.9,97.6,101.0,105.5,113.6
吉林省,101.2,101.6,101.6,104.8,104.1,99.0,106.1,103.5,101.4,101.0,103.1,100.4,98.7,100.8,97.6,96.4,97.9,101.7,105.1,114.0
黑龙江省,100.8,100.9,102.2,104.2,102.5,98.6,105.1,104.9,101.2,99.7,102.1,99.2,98.4,100.3,97.9,96.4,98.5,102.0,105.2,113.7
上海市,100.9,100.2,101.2,104.1,101.7,99.4,105.3,102.4,100.2,99.4,100.9,99.0,98.7,98.6,,,,,,
江苏省,101.7,101.4,102.0,104.4,103.0,99.1,104.9,102.1,100.5,100.0,101.7,99.6,98.0,98.6,98.5,96.7,98.2,99.1,106.8,112.5
浙江省,100.8,101.2,101.9,105.4,103.9,98.9,106.3,103.7,100.7,101.0,102.0,99.4,98.4,97.4,98.8,97.7,98.4,100.9,106.4,113.0
安徽省,100.4,101.2,102.0,105.0,102.6,99.0,106.0,104.4,100.8,100.0,102.2,100.8,99.1,98.5,97.9,96.6,98.4,100.1,107.0,113.1
福建省,101.0,101.1,101.6,104.7,103.3,98.0,105.5,104.0,100.3,100.3,102.4,98.7,98.2,97.6,99.0,96.2,98.3,99.6,104.4,114.3
江西省,101.1,101.2,101.9,104.8,102.6,99.1,106.0,103.5,101.0,100.3,101.9,99.4,100.1,98.3,98.6,97.3,98.5,100.1,106.4,115.0
山东省,101.3,101.2,101.5,104.3,102.4,99.3,104.5,103.1,100.5,100.4,102.3,99.6,98.5,99.5,98.8,97.1,97.1,100.8,106.7,113.2
河南省,101.0,101.6,102.4,105.4,103.5,99.6,107.4,103.8,100.7,101.8,105.3,101.2,99.0,99.5,98.8,95.7,96.6,99.8,106.2,113.3
湖北省,100.8,101.6,102.4,105.1,103.0,98.4,105.4,103.4,100.8,101.9,103.1,101.4,98.4,97.0,98.1,95.2,96.3,100.8,106.2,115.1
湖南省,101.3,101.4,101.7,105.4,102.9,98.2,104.5,103.6,101.2,101.6,103.0,100.1,99.1,98.1,99.8,97.8,98.3,100.6,105.2,114.5
广东省,101.4,100.8,102.1,104.9,103.4,96.7,106.0,103.2,101.4,101.5,102.5,99.7,98.4,98.6,100.0,96.7,96.9,99.8,104.1,110.8
广西壮族自治区,101.5,101.1,102.2,105.7,103.0,98.1,107.5,104.2,100.8,101.3,103.4,99.6,98.2,97.3,98.4,96.8,96.7,99.9,104.1,115.0
海南省,101.2,101.5,102.7,105.2,104.0,99.0,105.7,103.4,100.6,100.4,103.0,100.2,99.0,97.6,101.0,98.0,96.3,99.6,102.7,108.7
重庆市,100.9,101.8,101.6,104.7,101.7,97.3,105.0,103.7,101.6,98.7,101.4,99.5,98.9,99.0,,,,,,
四川省,100.7,101.7,101.7,104.4,102.7,99.8,105.1,105.1,101.5,100.1,102.8,100.1,99.0,100.5,97.5,96.9,97.7,102.8,106.4,115.8
贵州省,101.1,101.7,101.8,105.4,102.9,97.6,106.3,103.6,100.4,100.3,102.4,99.2,99.6,97.8,96.9,97.7,98.9,101.4,107.2,115.2
云南省,101.6,102.3,102.3,104.9,103.5,99.9,105.3,103.8,100.0,100.4,104.5,100.5,97.5,98.0,97.0,97.4,98.8,101.6,105.0,116.3
西藏自治区,102.4,103.3,103.1,103.9,101.0,99.5,104.1,101.3,99.9,100.8,100.5,99.1,99.4,99.6,99.1,98.5,,,,
陕西省,100.7,101.8,102.3,104.8,103.1,99.9,106.8,104.8,101.6,99.8,101.9,100.2,98.4,98.9,98.8,97.4,95.6,101.3,107.7,115.3
甘肃省,101.6,102.3,102.3,105.6,105.3,101.0,107.7,103.9,100.8,99.5,102.0,100.0,98.6,99.2,98.9,97.3,98.0,101.4,106.1,115.7
青海省,101.3,102.8,102.1,105.5,104.0,101.8,110.2,105.9,102.4,100.6,102.7,101.2,99.4,99.9,99.3,98.4,99.7,103.2,108.1,115.9
宁夏回族自治区,100.9,102.4,100.9,105.0,102.7,99.4,107.1,103.7,101.2,100.5,102.1,99.2,98.6,100.3,97.8,98.4,97.3,102.2,106.3,114.7
新疆维吾尔自治区,102.0,103.3,103.0,104.5,103.9,99.9,108.3,104.7,100.9,99.5,99.4,99.1,97.5,102.7,98.9,96.6,99.6,101.3,108.7,115.7
数据来源：国家统计局
