数据库：分省年度数据
指标：全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,6924.23,6847.06,6112.40,5578.93,5402.95,4616.92,3814.73,3907.20,3296.38,2827.23,2528.21,2169.26,1796.14,1513.32,1280.46,1171.16,1124.62,961.20,876.90,841.50
天津市,10518.19,9130.25,7934.80,7067.67,6278.09,4738.20,3389.79,2353.15,1820.52,1495.14,1245.66,1039.39,807.51,705.00,610.94,576.45,571.05,498.66,435.81,393.18
河北省,26671.92,23194.23,19661.30,16389.33,15083.35,12269.80,8866.56,6884.68,5470.24,4139.69,3218.76,2477.98,2020.38,1912.53,1816.79,1770.47,1591.76,1469.99,1187.70,939.32
山西省,12354.53,11031.89,8863.30,7073.06,6063.17,4943.16,3531.16,2861.46,2255.74,1826.58,1443.88,1100.86,813.36,663.58,548.16,477.57,454.93,398.40,333.47,295.56
内蒙古自治区,17591.83,14217.38,11875.70,10365.17,8926.46,7336.79,5475.41,4372.88,3363.21,2643.60,1787.95,1174.66,707.91,503.63,423.64,348.22,316.76,317.50,275.54,273.06
辽宁省,24730.80,25107.66,21836.30,17726.29,16043.03,12292.49,10019.07,7435.23,5689.64,4200.45,2979.59,2076.36,1605.55,1421.19,1267.68,1119.47,1057.70,953.70,876.10,885.00
吉林省,11339.62,9979.26,9511.50,7441.71,7870.38,6411.60,5038.92,3651.36,2594.34,1741.09,1169.10,969.03,834.23,701.70,603.51,500.02,431.78,364.51,394.57,341.85
黑龙江省,9828.99,11453.08,9694.70,7475.38,6812.56,5028.83,3655.97,2833.50,2236.00,1737.27,1430.82,1166.18,1046.17,963.58,832.64,751.66,770.05,669.90,568.60,487.50
上海市,6016.43,5647.79,5117.60,4962.07,5108.90,5043.75,4823.15,4420.37,3900.04,3509.66,3050.26,2499.14,2213.72,2004.64,1869.38,1855.76,1966.38,1977.59,1952.05,1601.79
江苏省,41938.62,36373.32,30854.20,26692.62,23184.28,18949.87,15300.55,12268.06,10069.22,8165.38,6557.05,5233.00,3450.12,2823.20,2569.97,2441.88,2450.37,2203.09,1949.53,1680.17
浙江省,24262.77,20782.11,17649.40,14185.28,12376.04,10742.32,9323.00,8420.43,7590.22,6520.07,5781.35,4740.27,3477.47,2834.94,2349.95,1958.05,1801.74,1694.57,1617.54,1357.90
安徽省,21875.58,18621.90,15425.80,12455.69,11542.94,8990.73,6746.96,5087.53,3533.56,2525.11,1935.25,1418.69,1074.46,893.37,803.97,703.45,722.61,687.30,614.29,532.54
福建省,18177.86,15327.44,12439.90,9910.89,8199.12,6231.20,5207.68,4287.75,2981.82,2316.72,1892.92,1496.37,1253.08,1172.91,1112.20,1084.66,1053.01,898.48,789.99,681.18
江西省,15079.26,12850.25,10774.20,9087.60,8772.27,6643.14,4745.43,3301.94,2683.57,2176.60,1713.20,1303.22,889.04,631.84,516.08,454.44,400.60,384.30,355.85,284.18
山东省,42495.55,36789.07,31256.00,26749.68,23280.52,19034.53,15435.93,12537.70,11111.42,9307.30,6970.62,5315.14,3483.31,2788.68,2531.10,2220.57,1935.58,1792.22,1558.01,1320.97
河南省,30782.17,26087.46,21450.00,17768.95,16585.86,13704.50,10490.64,8010.11,5904.71,4311.63,3099.38,2262.97,1725.93,1544.06,1377.74,1206.83,1289.70,1165.19,1003.61,805.03
湖北省,22915.30,19307.33,15578.30,12557.34,10262.70,7866.89,5647.01,4330.36,3343.47,2676.58,2264.81,1809.45,1605.06,1486.55,1339.20,1239.14,1156.76,1083.60,984.38,826.50
湖南省,21242.92,17841.40,14523.20,11880.92,9663.58,7703.38,5534.04,4154.76,3175.52,2629.07,2072.56,1590.32,1347.96,1174.30,1012.24,883.94,796.89,700.73,678.33,524.01
广东省,26293.93,22308.39,18751.50,17069.20,15623.70,12933.12,10868.67,9294.26,7973.37,6977.93,5870.02,4813.20,3850.78,3484.43,3145.13,2937.02,2644.13,2298.14,2327.64,2327.22
广西壮族自治区,13843.22,11907.67,9808.60,7990.66,7057.56,5237.24,3756.41,2939.67,2198.72,1661.17,1236.51,921.30,750.33,655.63,583.34,578.76,562.32,479.80,476.42,423.37
海南省,3112.23,2697.93,2145.40,1657.23,1317.04,988.32,705.42,502.37,423.89,367.17,317.05,280.02,225.41,213.32,198.87,194.78,173.37,167.83,185.93,198.07
重庆市,12285.42,10435.24,8736.20,7473.38,6688.91,5214.28,3979.59,3127.74,2407.36,1933.16,1537.05,1161.51,899.26,697.03,572.59,525.26,492.97,370.95,320.73,
四川省,23318.57,20326.11,17040.00,14222.22,13116.72,11371.87,7127.81,5639.80,4412.88,3585.18,2818.42,2336.34,1902.72,1617.52,1418.04,1224.40,1145.33,949.30,803.79,677.34
贵州省,9025.75,7373.60,5717.80,4235.92,3104.92,2412.02,1864.45,1488.80,1197.43,998.25,865.23,748.12,632.97,536.01,396.98,311.93,278.41,247.23,207.10,173.66
云南省,11498.53,9968.30,7831.10,6191.00,5528.71,4526.37,3435.93,2759.03,2208.60,1777.63,1291.54,1000.12,814.61,738.45,683.96,663.97,660.43,540.50,448.02,380.57
西藏自治区,1069.23,876.00,670.50,516.31,462.67,378.28,309.91,270.34,231.14,181.39,162.36,133.96,106.58,83.26,64.05,53.56,41.26,34.55,30.37,36.95
陕西省,17191.92,14884.15,12044.50,9431.08,7963.67,6246.90,4614.42,3415.02,2480.69,1882.18,1508.89,1200.68,915.35,773.43,653.67,587.79,517.57,424.10,372.00,324.33
甘肃省,7884.13,6527.94,5145.00,3965.79,3158.34,2363.00,1712.78,1304.16,1022.59,870.36,733.94,619.82,526.21,460.37,395.40,355.51,301.45,264.39,214.83,194.67
青海省,2861.23,2361.09,1883.40,1435.58,1016.87,798.23,583.24,482.84,408.54,329.81,289.18,255.62,232.35,196.35,151.14,117.15,108.78,97.66,77.60,55.58
宁夏回族自治区,3173.79,2651.14,2096.90,1644.74,1444.16,1075.91,828.85,599.80,498.75,443.25,376.20,317.99,226.98,191.08,157.52,128.10,106.75,88.10,77.32,70.12
新疆维吾尔自治区,9447.74,7732.30,6158.80,4632.14,3423.24,2725.45,2259.97,1850.84,1567.05,1339.06,1147.15,973.39,800.09,706.00,610.39,526.65,514.77,446.81,387.85,333.34
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
