数据库：分省年度数据
指标：全社会在建总规模(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,29414.42,26433.33,23721.10,23470.08,17573.86,16295.57,13135.24,10118.78,9114.94,,,,,,,,,
天津市,,,24945.20,21278.32,16929.00,12557.69,10133.64,7149.38,5058.53,5677.19,2757.18,,,,,,,,,
河北省,,,42515.74,35616.12,27861.00,19743.43,12215.24,11183.39,8491.27,6259.87,5456.65,,,,,,,,,
山西省,,,19778.92,15947.51,13857.60,10896.14,7235.38,6436.05,5123.86,4114.46,3536.80,,,,,,,,,
内蒙古自治区,,,23982.37,19968.96,17671.00,12838.31,8687.82,6716.17,6922.49,5186.15,4120.56,,,,,,,,,
辽宁省,,,46553.82,39764.92,32079.80,23561.10,17693.54,14585.72,10456.24,7012.02,5568.65,,,,,,,,,
吉林省,,,12753.59,10098.36,7828.90,6834.73,5616.24,4594.14,3384.76,2510.39,2209.37,,,,,,,,,
黑龙江省,,,15676.78,12566.80,10199.20,7089.51,4645.71,3591.26,2970.02,2784.69,2732.55,,,,,,,,,
上海市,,,25384.31,23707.18,23393.10,19807.00,19756.43,16972.77,16291.87,15068.69,9713.83,,,,,,,,,
江苏省,,,60653.20,50934.21,42744.70,33548.94,28315.25,21481.57,16934.70,15225.33,13929.06,,,,,,,,,
浙江省,,,49981.76,41891.68,34420.70,29152.35,25827.10,22816.38,19286.02,16397.19,14206.96,,,,,,,,,
安徽省,,,31336.48,24205.84,21223.00,17205.91,13253.93,9937.76,8353.64,6414.09,4970.95,,,,,,,,,
福建省,,,30403.16,26545.08,25091.40,19821.23,15678.85,12832.42,10307.53,7822.59,5522.05,,,,,,,,,
江西省,,,13879.21,11521.60,11834.20,9499.77,7546.84,6182.25,4692.66,4270.87,3518.05,,,,,,,,,
山东省,,,49349.48,40895.08,39370.90,28466.18,23275.14,18485.92,17490.38,14914.69,12398.99,,,,,,,,,
河南省,,,41569.92,31652.83,24068.20,15275.65,11979.60,8892.52,7460.04,6738.55,5815.01,,,,,,,,,
湖北省,,,33740.20,26592.90,22737.70,17874.19,13276.05,10724.62,9458.43,7652.65,7138.45,,,,,,,,,
湖南省,,,26243.72,24365.20,19805.40,16616.27,12563.55,9072.68,7245.73,6319.05,5200.86,,,,,,,,,
广东省,,,62955.35,53532.02,47435.30,38955.95,30331.79,27551.60,24166.19,21411.61,19017.85,,,,,,,,,
广西壮族自治区,,,20329.23,18508.11,16859.30,13517.91,11300.61,7705.53,5897.03,4651.44,3853.94,,,,,,,,,
海南省,,,8207.79,6262.03,4411.40,2818.84,2293.42,1879.43,1181.83,990.25,894.63,,,,,,,,,
重庆市,,,24877.90,22932.57,22044.70,16651.99,13790.38,10270.09,8493.45,6992.94,5050.57,,,,,,,,,
四川省,,,35453.76,29840.62,31809.60,25957.44,21067.71,14476.08,11821.58,9068.64,7276.24,,,,,,,,,
贵州省,,,17153.23,10956.18,10741.10,8560.81,6325.10,4720.11,3545.45,3185.75,2856.68,,,,,,,,,
云南省,,,21682.22,18058.71,18044.60,15143.99,10023.07,8539.77,6469.74,5816.77,4831.52,,,,,,,,,
西藏自治区,,,1188.64,874.39,786.70,592.56,586.49,420.63,299.65,227.24,252.20,,,,,,,,,
陕西省,,,28609.22,22689.17,19786.70,13708.05,8844.59,6617.44,5094.34,4224.56,3622.51,,,,,,,,,
甘肃省,,,9195.92,6499.91,5855.10,4935.54,3870.31,3817.90,2499.93,2119.90,1913.94,,,,,,,,,
青海省,,,5986.96,4695.53,3362.00,2654.88,1804.29,1329.08,1058.58,952.44,809.34,,,,,,,,,
宁夏回族自治区,,,6628.60,4857.39,4322.30,2754.61,2414.34,2252.31,2019.35,1012.10,763.91,,,,,,,,,
新疆维吾尔自治区,,,18481.89,13012.37,7444.50,5506.39,3920.89,2855.72,2184.83,2109.55,1855.42,,,,,,,,,
数据来源：国家统计局
