数据库：分省年度数据
指标：商品住宅房屋竣工面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1804.34,1692.04,1522.72,1316.13,1498.50,1613.23,1399.30,1853.95,2193.32,2841.42,2343.95,,,,,,,,,
天津市,2130.25,2117.66,1913.97,1645.10,1603.60,1580.82,1492.54,1398.61,1308.95,1270.96,1014.46,,,,,,,,,
河北省,3195.11,3517.80,3978.10,4273.69,3130.10,1939.70,1501.42,1208.96,1245.76,1021.79,710.14,,,,,,,,,
山西省,1701.64,1847.99,1435.69,1888.20,991.30,743.62,781.20,686.37,592.61,557.38,394.77,,,,,,,,,
内蒙古自治区,1496.66,2001.21,1816.10,1984.31,1868.50,1958.74,1670.35,1552.36,1101.66,715.61,478.65,,,,,,,,,
辽宁省,4940.48,5025.69,5132.29,5225.20,3691.40,3394.77,3264.68,2685.13,2446.40,2127.79,1741.02,,,,,,,,,
吉林省,1309.26,1769.95,1613.59,1548.22,1695.00,1293.59,1350.51,1147.46,785.91,496.12,371.60,,,,,,,,,
黑龙江省,2295.70,2344.41,2646.21,2597.98,2199.00,1575.46,1160.08,1244.88,1153.50,1039.45,699.29,,,,,,,,,
上海市,1535.55,1417.41,1609.13,1645.47,1396.10,1508.81,1801.45,2752.45,2699.11,2739.91,3076.19,,,,,,,,,
江苏省,7259.11,7584.17,7687.13,6476.75,6553.50,6731.41,6753.57,5161.37,4745.50,4497.68,3217.09,,,,,,,,,
浙江省,4158.30,3187.62,2917.26,3053.61,2798.40,2783.23,3260.83,3054.48,2995.34,3208.90,2533.36,,,,,,,,,
安徽省,3829.60,3919.00,3123.15,2886.33,2408.30,2350.59,2126.71,2012.36,1727.82,1480.32,1304.09,,,,,,,,,
福建省,2568.02,2338.06,1564.62,2007.34,1715.90,1690.85,1422.84,1344.42,1128.59,1304.85,1260.55,,,,,,,,,
江西省,1511.27,1427.53,1440.48,1622.69,1550.50,1437.51,1346.36,1459.18,1350.41,1278.76,908.12,,,,,,,,,
山东省,6090.74,6063.35,6086.71,5311.77,4270.80,4319.57,3908.40,3317.19,3153.06,3063.52,1944.79,,,,,,,,,
河南省,5767.18,4916.31,4888.17,4806.79,3852.60,2991.79,2597.03,2338.23,1406.98,1151.39,967.60,,,,,,,,,
湖北省,2812.35,2547.39,2795.21,2728.39,2129.30,2007.34,1795.76,1814.69,1604.83,1411.67,1329.80,,,,,,,,,
湖南省,3176.87,3764.71,3688.55,3436.42,2828.80,2500.50,2040.23,1677.06,1401.06,1386.53,1173.04,,,,,,,,,
广东省,5442.49,4748.25,4918.16,4884.18,4589.20,4111.60,4032.64,3502.13,3417.12,3476.73,2776.29,,,,,,,,,
广西壮族自治区,1441.84,1385.37,1956.57,1936.94,1342.90,1220.43,1049.93,1081.14,950.39,1090.30,741.20,,,,,,,,,
海南省,1051.90,517.62,734.99,404.09,515.10,401.36,268.31,211.30,93.84,172.14,100.05,,,,,,,,,
重庆市,2771.55,2867.45,3386.35,2826.78,2179.80,2384.51,1951.35,1769.19,1700.05,1713.55,1187.23,,,,,,,,,
四川省,3871.28,4028.88,4713.61,3455.67,3390.00,3680.61,2904.82,2593.18,2622.03,2225.51,1911.58,,,,,,,,,
贵州省,2046.43,1352.29,1120.17,1102.14,826.10,1041.16,588.61,559.83,521.76,567.90,529.28,,,,,,,,,
云南省,1255.20,1576.13,1492.28,1262.75,1258.40,1408.03,883.61,835.47,945.68,729.12,404.23,,,,,,,,,
西藏自治区,29.45,10.65,6.46,19.28,11.50,42.38,47.42,38.76,30.38,22.09,8.18,,,,,,,,,
陕西省,1863.01,1272.77,1413.75,1002.52,799.10,790.94,808.69,801.93,695.53,677.11,431.31,,,,,,,,,
甘肃省,652.04,769.07,710.03,628.96,501.00,461.78,480.47,375.17,372.20,365.51,255.83,,,,,,,,,
青海省,447.50,474.39,371.06,448.30,242.10,160.40,205.19,148.58,111.94,74.62,113.15,,,,,,,,,
宁夏回族自治区,818.86,861.37,922.26,785.01,746.30,603.10,496.41,407.41,418.39,420.75,325.13,,,,,,,,,
新疆维吾尔自治区,1594.27,1394.08,1438.43,1108.02,859.90,900.87,943.40,798.12,551.63,553.48,425.20,,,,,,,,,
数据来源：国家统计局
