数据库：分省年度数据
指标：商品住宅房屋竣工价值(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,500.63,436.73,420.34,340.30,333.70,351.57,332.21,403.34,454.84,569.85,401.83,,,,,,,,,
天津市,556.65,571.42,475.12,513.78,486.70,434.91,336.89,364.67,293.45,173.54,151.50,,,,,,,,,
河北省,841.28,897.37,885.07,1036.74,689.00,395.86,278.73,190.38,172.78,121.56,82.61,,,,,,,,,
山西省,507.71,401.60,330.25,345.93,168.60,136.16,111.49,88.00,75.17,68.60,46.24,,,,,,,,,
内蒙古自治区,395.98,466.61,380.60,393.32,340.40,330.94,232.34,195.56,115.33,67.49,45.15,,,,,,,,,
辽宁省,1197.95,1214.60,1201.05,1188.91,760.70,598.30,523.47,371.41,306.08,246.05,194.76,,,,,,,,,
吉林省,266.81,380.10,313.85,306.46,274.90,179.11,182.48,128.80,88.34,49.29,37.46,,,,,,,,,
黑龙江省,524.94,506.31,513.98,428.60,368.70,248.13,130.12,165.04,136.55,108.56,69.86,,,,,,,,,
上海市,644.47,610.71,692.63,758.07,536.70,441.11,418.03,829.59,799.75,811.02,909.93,,,,,,,,,
江苏省,2261.26,2290.24,2132.03,1673.87,1698.00,1503.52,1238.19,820.04,699.98,591.08,384.74,,,,,,,,,
浙江省,1503.17,1035.82,823.96,796.95,711.50,597.63,684.81,613.88,491.48,503.14,368.19,,,,,,,,,
安徽省,1018.54,996.10,744.93,624.41,518.60,437.41,330.49,277.15,206.48,157.99,120.80,,,,,,,,,
福建省,622.95,560.31,346.23,398.68,317.70,270.83,218.58,184.51,153.19,164.22,140.57,,,,,,,,,
江西省,359.54,303.92,293.97,292.67,247.90,197.91,165.10,144.25,108.54,102.17,65.02,,,,,,,,,
山东省,1373.96,1371.71,1266.54,1078.62,875.90,835.65,650.44,469.34,385.17,385.03,210.82,,,,,,,,,
河南省,1096.18,884.15,846.15,778.02,523.80,365.38,330.75,254.52,145.02,115.94,80.66,,,,,,,,,
湖北省,777.61,566.71,725.94,657.90,440.90,441.33,349.20,311.21,253.10,200.01,136.31,,,,,,,,,
湖南省,772.29,889.55,834.47,702.44,526.90,444.44,262.11,204.17,157.06,134.56,94.14,,,,,,,,,
广东省,1936.15,1536.53,1580.08,1396.51,1276.10,1054.28,1012.60,716.46,690.27,632.53,496.15,,,,,,,,,
广西壮族自治区,338.86,310.20,407.73,326.27,192.20,168.23,122.40,105.37,82.76,91.35,65.13,,,,,,,,,
海南省,590.36,198.86,315.49,128.12,148.40,104.15,63.92,37.47,13.13,31.95,18.78,,,,,,,,,
重庆市,896.22,867.80,937.22,752.51,510.00,484.06,319.15,233.39,224.30,184.05,110.49,,,,,,,,,
四川省,998.89,970.10,1032.94,715.57,617.90,570.80,373.54,256.77,234.41,167.41,143.50,,,,,,,,,
贵州省,435.15,257.00,217.25,186.24,123.70,149.76,66.92,49.69,45.97,45.92,42.91,,,,,,,,,
云南省,352.39,362.40,326.59,243.39,260.40,259.22,137.86,114.56,131.50,91.53,42.20,,,,,,,,,
西藏自治区,7.86,3.34,2.15,5.18,2.60,7.79,11.14,8.96,4.93,3.36,1.22,,,,,,,,,
陕西省,491.40,348.58,360.63,255.47,191.20,186.07,140.73,119.95,103.32,102.35,50.87,,,,,,,,,
甘肃省,139.45,174.92,144.77,128.22,88.30,72.34,61.35,38.62,35.94,38.54,27.41,,,,,,,,,
青海省,124.81,125.77,94.75,106.78,44.30,24.51,32.33,20.66,13.91,7.77,11.56,,,,,,,,,
宁夏回族自治区,192.07,211.97,204.79,210.48,133.90,81.12,60.25,45.26,39.48,39.20,28.53,,,,,,,,,
新疆维吾尔自治区,353.63,287.99,295.99,177.33,118.10,127.70,117.63,90.04,54.99,54.08,41.36,,,,,,,,,
数据来源：国家统计局
