数据库：分省年度数据
指标：农村农户施工房屋建筑面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,428.20,363.10,377.20,789.90,948.10,784.20,274.16,398.09,286.92,294.82,277.34,347.00,609.00,640.09,470.93,371.00,233.00,294.00,422.00,369.00
天津市,219.10,112.10,74.30,118.96,134.60,160.69,209.72,302.18,348.95,317.89,288.13,288.00,274.00,221.91,196.90,205.00,123.00,304.00,415.00,191.00
河北省,4870.68,5228.59,4954.45,6055.26,5630.60,5216.49,4719.44,5010.84,4529.77,4315.11,3918.60,4098.00,3957.00,4245.00,4562.00,4311.00,3463.00,4510.00,8869.00,3068.00
山西省,2872.60,2700.20,2676.00,2525.00,2486.00,2220.00,1905.00,1970.00,1790.00,1514.15,1320.40,1295.00,1000.00,947.28,973.10,628.00,831.00,845.00,880.00,651.00
内蒙古自治区,903.20,914.40,460.00,616.00,507.00,468.00,905.00,814.00,780.00,738.00,923.00,1109.00,1117.00,1151.08,1092.00,1173.00,1382.00,1344.00,1238.00,1239.00
辽宁省,4113.80,4581.00,4498.07,4484.24,4068.10,3933.97,3595.76,3276.00,3056.80,2297.45,2210.71,2135.00,2292.00,2134.53,1811.00,1877.00,1888.00,857.00,1486.00,804.00
吉林省,509.70,804.90,602.55,1094.78,949.60,929.82,726.95,650.88,629.98,486.00,346.71,315.00,524.00,508.37,461.00,425.00,601.00,640.00,734.00,804.00
黑龙江省,785.00,941.00,1002.10,1104.95,1156.20,1144.27,1107.56,923.84,830.06,898.82,932.42,749.00,662.00,644.00,623.32,710.00,553.00,886.00,1092.00,1318.00
上海市,18.20,18.50,18.45,12.37,17.60,7.77,25.28,32.70,32.25,53.16,77.46,77.00,125.00,124.30,193.99,179.00,237.00,478.00,1703.00,411.00
江苏省,3079.90,3248.00,2232.00,2247.00,2544.00,2191.00,1930.00,2588.00,1891.00,3128.00,2572.45,3154.00,3142.00,4659.60,6322.03,6557.00,6772.00,8967.00,7710.00,7391.00
浙江省,5242.40,6762.70,5459.00,5598.00,5978.00,5530.00,5233.00,4411.00,4090.21,3450.00,3070.01,3989.00,3408.00,3480.00,5291.00,5157.00,5271.00,6183.00,7813.00,6230.00
安徽省,5483.00,4962.10,5011.00,4828.00,4968.00,5365.20,4224.27,4005.20,3661.08,3028.24,4306.51,4968.00,5522.00,5034.00,4859.00,4582.00,4673.00,4814.00,3939.00,3969.00
福建省,2947.10,2759.90,2819.02,3263.82,3367.90,3333.37,5578.67,5117.43,4400.13,3303.00,2844.00,1750.00,2055.00,1646.00,2849.43,2177.00,2871.00,2288.00,2618.00,2147.00
江西省,5818.50,5806.80,5588.61,4347.65,6686.60,5519.80,4202.72,3136.38,2761.83,2624.97,2435.51,2718.00,3890.00,4569.43,5203.58,5800.00,3816.00,3411.00,3712.00,3271.00
山东省,10095.00,10689.70,11642.50,10368.97,8362.10,7650.76,6156.00,5958.55,5509.50,4989.68,6123.58,6521.00,6972.00,7443.31,7730.91,7635.00,7916.00,6677.00,6135.00,5842.00
河南省,9279.30,12405.40,15142.54,16080.00,16653.00,16584.29,13867.98,13451.00,10922.70,10502.59,9659.04,9156.00,8465.00,7821.78,7596.26,7439.00,6920.00,8933.00,5705.00,4229.00
湖北省,4543.90,5598.80,5152.52,5498.63,4086.90,4036.65,3688.21,3379.52,2996.88,2849.69,2641.84,3038.00,2806.00,2759.00,3855.32,4170.00,5124.00,4775.00,4294.00,4149.00
湖南省,5988.70,5889.40,7188.00,6901.00,6810.00,6666.00,6503.00,5812.00,5180.00,5100.00,4857.00,5345.00,6886.00,6352.00,6826.00,6656.00,7864.00,5325.00,8285.00,5063.00
广东省,3664.10,4210.80,4208.85,4744.00,4484.00,3909.00,4197.00,4615.00,4108.00,3765.00,3715.00,4141.00,4851.00,4618.00,5552.00,6773.00,6987.00,6052.00,7012.00,5341.00
广西壮族自治区,5995.10,5668.60,5569.23,5253.67,4959.90,4781.57,3679.23,3362.73,2986.07,3573.33,3104.79,3349.00,3296.00,3033.35,2864.09,4203.00,4163.00,3881.00,3618.00,2466.00
海南省,693.40,644.00,730.80,663.75,341.80,271.49,239.36,216.63,221.33,291.50,219.87,248.00,134.00,187.30,181.00,201.00,188.00,192.00,253.00,46.00
重庆市,1382.00,1405.00,992.00,1060.30,1353.70,1729.77,1560.00,1597.62,1745.43,1497.79,1516.57,2484.00,2345.00,2247.00,2163.00,2271.00,2415.00,2635.00,,
四川省,5911.80,5634.20,4372.58,6161.16,8020.90,19441.19,5552.00,4855.00,4016.00,3413.00,4165.00,5961.00,6121.00,5992.00,6750.00,6644.00,6206.00,6669.00,10200.00,8600.00
贵州省,2427.00,2767.00,2407.00,2754.97,2397.00,2077.00,1822.00,1800.00,1623.00,1775.75,1585.43,1804.00,2067.00,1619.00,1306.00,1231.00,1843.00,1340.00,1297.00,2142.00
云南省,7960.60,6545.20,4637.00,4294.00,3883.00,3610.00,4277.00,4176.00,3624.00,4413.00,4172.00,3889.00,3032.00,3033.00,2469.00,1376.00,2207.00,2242.00,1522.00,2247.00
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,2774.30,3470.80,3159.19,3757.79,2306.70,1987.04,2263.52,1749.43,1390.63,1517.23,1703.96,2604.00,2890.00,4011.01,3449.75,3779.00,2088.00,2476.00,2359.00,4373.00
甘肃省,1268.00,1220.00,1185.00,1290.00,1480.00,4513.00,1530.00,1031.00,742.00,1031.00,860.00,4098.00,723.00,827.02,781.00,776.00,955.00,997.00,1222.00,711.00
青海省,750.60,802.20,824.17,808.84,710.40,378.71,225.56,257.34,281.56,252.74,171.02,234.00,141.00,181.89,197.07,142.00,198.00,149.00,150.00,123.00
宁夏回族自治区,353.00,318.00,309.00,294.00,264.00,242.00,227.00,234.00,247.00,264.00,316.00,320.00,368.00,364.00,366.68,353.00,510.00,336.00,249.00,339.00
新疆维吾尔自治区,3294.90,2769.60,2223.51,1895.46,1124.40,1416.36,1486.04,1533.28,1506.34,1423.26,777.71,940.00,671.00,552.93,1234.47,1249.00,801.00,808.00,1184.00,658.00
数据来源：国家统计局
