数据库：分省年度数据
指标：固定资产投资(不含农户)在建总规模(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,29414.42,26433.33,22997.40,22873.82,17192.45,15946.87,12740.49,9904.16,8935.31,,,,,,,,,
天津市,,,24945.20,21278.32,16466.00,12300.74,9944.07,6974.04,4968.27,5575.34,2658.12,,,,,,,,,
河北省,,,42515.74,35616.12,26456.60,18844.74,11749.06,10661.21,7940.50,5665.39,4896.51,,,,,,,,,
山西省,,,19778.92,15947.51,13450.50,10613.31,7011.79,6264.88,5012.67,4030.06,3470.31,,,,,,,,,
内蒙古自治区,,,23982.37,19968.96,17603.30,12784.21,8680.58,6658.26,6912.32,5159.85,4098.35,,,,,,,,,
辽宁省,,,46553.82,39764.92,31320.60,23029.29,17353.29,14289.17,10043.91,6610.98,5288.16,,,,,,,,,
吉林省,,,12753.59,10098.36,7667.10,6536.85,5475.55,4482.58,3281.25,2453.63,2174.67,,,,,,,,,
黑龙江省,,,15676.78,12566.80,10132.90,7079.13,4635.38,3580.92,2966.32,2769.42,2712.08,,,,,,,,,
上海市,,,25384.31,23707.18,22572.50,19168.43,19022.72,16493.51,15636.79,14764.69,9533.01,,,,,,,,,
江苏省,,,60653.20,50934.21,38799.90,30308.90,25795.89,19263.59,14865.65,13497.77,12550.97,,,,,,,,,
浙江省,,,49981.76,41891.68,29223.40,25083.03,22438.90,19732.22,16811.32,14916.00,12635.77,,,,,,,,,
安徽省,,,31336.48,24205.84,20504.60,16580.18,12800.81,9605.70,8150.33,6225.75,4840.55,,,,,,,,,
福建省,,,30403.16,26545.08,24806.90,19576.12,15349.53,12567.18,10106.69,7567.19,5324.38,,,,,,,,,
江西省,,,13879.21,11521.60,11311.10,9155.54,7337.63,5934.36,4503.69,4119.04,3392.37,,,,,,,,,
山东省,,,49349.48,40895.08,35529.80,26157.06,21591.89,17025.64,15428.37,13230.21,11163.91,,,,,,,,,
河南省,,,41569.92,31652.83,23082.90,14593.09,11543.13,8530.98,7267.30,6338.35,5499.28,,,,,,,,,
湖北省,,,33740.20,26592.90,22437.10,17611.25,13072.08,10564.04,9347.52,7484.44,6985.02,,,,,,,,,
湖南省,,,26243.72,24365.20,19150.70,16062.40,12084.03,8734.54,7014.26,6088.62,4996.21,,,,,,,,,
广东省,,,62955.35,53532.02,44581.00,36510.67,28426.81,25522.79,22705.67,20519.76,18371.29,,,,,,,,,
广西壮族自治区,,,20329.23,18508.11,16691.50,13372.54,11129.14,7551.40,5796.64,4618.16,3826.36,,,,,,,,,
海南省,,,8207.79,6262.03,4379.90,2797.09,2276.39,1870.11,1173.48,980.02,883.73,,,,,,,,,
重庆市,,,24877.90,22932.57,21470.40,16296.87,13617.27,10168.19,8421.49,6895.14,4962.67,,,,,,,,,
四川省,,,35453.76,29840.62,30458.40,24824.51,20516.35,14256.27,11605.63,8691.35,6939.98,,,,,,,,,
贵州省,,,17153.23,10956.18,10423.20,8296.92,6170.45,4614.06,3485.37,3155.07,2828.26,,,,,,,,,
云南省,,,21682.22,18058.71,17813.60,14793.77,9847.28,8346.33,6404.32,5769.93,4784.47,,,,,,,,,
西藏自治区,,,1188.64,874.39,766.90,568.53,573.83,412.14,291.85,227.24,252.20,,,,,,,,,
陕西省,,,28609.22,22689.17,19651.60,13668.97,8756.18,6561.11,5027.99,4193.22,3593.99,,,,,,,,,
甘肃省,,,9195.92,6499.91,5643.10,4821.39,3775.81,3703.00,2419.08,2087.06,1884.30,,,,,,,,,
青海省,,,5986.96,4695.53,3108.30,2514.51,1751.55,1310.18,1048.64,943.58,802.63,,,,,,,,,
宁夏回族自治区,,,6628.60,4857.39,4173.50,2635.27,2375.74,2021.50,1519.10,978.94,729.14,,,,,,,,,
新疆维吾尔自治区,,,18481.89,13012.37,7183.50,5359.89,3822.18,2784.52,2136.15,2052.19,1809.08,,,,,,,,,
数据来源：国家统计局
