数据库：分省年度数据
指标：固定资产投资(不含农户)建设总规模(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,32426.56,29090.91,26568.60,25971.94,20277.48,18128.00,14630.49,11394.54,10294.17,,,,,,,,,
天津市,,,29598.00,24985.23,20080.30,15247.65,11475.02,8152.70,6339.58,6249.76,3402.16,,,,,,,,,
河北省,,,56926.66,46284.29,34971.70,25567.39,16283.90,13490.28,9948.86,7232.14,5880.87,,,,,,,,,
山西省,,,26175.50,20634.64,17044.00,13239.47,9036.85,7996.40,6067.40,4826.44,3862.53,,,,,,,,,
内蒙古自治区,,,32285.32,28103.84,23798.40,17610.25,12081.23,9768.50,9092.15,6810.41,4758.97,,,,,,,,,
辽宁省,,,62537.43,52033.37,40735.80,29403.61,23123.87,17955.31,12820.65,8990.10,6405.85,,,,,,,,,
吉林省,,,19899.36,15690.39,13048.10,11034.01,8894.94,6443.06,5178.39,3584.38,2490.34,,,,,,,,,
黑龙江省,,,22792.88,17537.21,14348.40,10650.87,7166.21,5565.60,4528.17,3864.53,3374.83,,,,,,,,,
上海市,,,28044.85,26136.84,24991.20,21677.78,21728.34,18807.39,17650.80,15822.10,11315.30,,,,,,,,,
江苏省,,,85418.40,71704.78,50950.30,40911.27,33067.72,25641.34,20798.87,18189.03,14440.61,,,,,,,,,
浙江省,,,60979.93,51320.15,35017.30,29959.91,26597.60,23381.77,20449.59,17700.11,14282.46,,,,,,,,,
安徽省,,,41554.09,31933.04,27050.50,21740.51,15947.48,11957.77,9790.48,7514.37,5344.90,,,,,,,,,
福建省,,,38385.86,32224.43,28064.00,22165.33,17655.19,14001.35,11155.22,7958.75,6180.89,,,,,,,,,
江西省,,,22965.30,19308.77,17744.30,13949.51,10674.01,7380.02,5914.91,5003.34,3914.62,,,,,,,,,
山东省,,,71354.93,61053.69,46290.80,34305.85,27572.06,21981.01,19535.54,17022.06,12749.69,,,,,,,,,
河南省,,,57003.84,44906.69,33434.50,23622.50,17995.95,13887.76,10771.25,8587.21,6474.24,,,,,,,,,
湖北省,,,43788.58,35090.05,28534.60,22006.62,15876.24,12714.97,10906.93,8996.41,7833.94,,,,,,,,,
湖南省,,,36173.67,30713.65,23382.90,19229.39,14755.76,10830.87,8551.86,6684.85,5508.83,,,,,,,,,
广东省,,,77154.58,65975.28,54748.40,42658.77,34994.66,30232.04,27080.68,23911.13,20598.45,,,,,,,,,
广西壮族自治区,,,26768.99,23523.28,20580.30,16110.03,12989.36,9040.80,6827.69,5443.39,4303.91,,,,,,,,,
海南省,,,9438.73,7000.39,5016.80,3209.89,2491.93,2140.64,1383.44,1161.59,1001.17,,,,,,,,,
重庆市,,,31112.64,27658.93,24855.40,18908.31,15052.13,11896.04,9679.81,8101.29,5551.91,,,,,,,,,
四川省,,,48474.15,40806.22,37964.00,31043.05,23556.18,16794.85,14164.37,10276.99,8055.87,,,,,,,,,
贵州省,,,19649.75,13112.67,12039.20,9634.81,7323.80,5578.23,4390.95,3651.42,3243.48,,,,,,,,,
云南省,,,26392.21,22255.51,20224.20,16397.45,11597.13,9589.59,7206.13,6218.39,5158.23,,,,,,,,,
西藏自治区,,,1590.13,1393.17,1028.30,765.55,700.61,582.55,441.33,365.12,363.17,,,,,,,,,
陕西省,,,36234.42,28318.45,22733.90,16710.97,11266.28,8374.39,6288.68,5014.40,4112.11,,,,,,,,,
甘肃省,,,12618.19,9507.64,7490.30,5964.32,4763.77,3862.12,3436.87,2590.36,2263.82,,,,,,,,,
青海省,,,7097.65,5260.57,3529.90,2814.25,2076.82,1506.82,1383.36,1130.52,991.27,,,,,,,,,
宁夏回族自治区,,,7844.92,6347.16,4657.70,3090.71,2769.65,2210.35,1776.31,1248.97,870.88,,,,,,,,,
新疆维吾尔自治区,,,22069.35,15633.39,8878.30,7048.03,4942.98,3837.28,3266.71,3004.31,2533.48,,,,,,,,,
数据来源：国家统计局
