数据库：分省年度数据
指标：租赁和商务服务业新增固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,58.83,10.70,21.73,25.97,15.50,17.25,47.04,11.64,0.36,8.81,7.38,24.23,,,,,,,,
天津市,884.29,290.71,225.67,166.06,118.50,65.13,21.00,7.72,4.28,0.66,1.13,1.51,,,,,,,,
河北省,230.49,264.08,137.09,42.50,65.60,26.44,25.88,20.83,15.29,10.35,9.87,10.50,,,,,,,,
山西省,64.62,26.55,18.05,16.16,15.00,4.79,1.72,1.59,1.58,0.75,0.28,0.09,,,,,,,,
内蒙古自治区,111.83,48.92,86.36,53.33,23.70,24.35,9.23,2.45,2.82,1.97,1.81,1.11,,,,,,,,
辽宁省,413.33,276.19,198.08,179.45,164.10,88.37,74.71,39.29,34.83,29.79,17.62,8.30,,,,,,,,
吉林省,82.37,52.01,34.18,31.90,31.00,61.25,29.09,39.24,18.52,8.76,2.90,2.34,,,,,,,,
黑龙江省,119.13,103.43,54.80,59.85,31.10,48.59,9.35,2.83,11.25,3.53,3.24,12.95,,,,,,,,
上海市,18.10,41.25,35.60,22.91,33.80,3.88,6.67,4.34,4.72,8.52,1.84,0.74,,,,,,,,
江苏省,576.23,444.98,397.31,167.79,176.00,137.12,112.20,44.15,33.24,47.84,19.13,8.80,,,,,,,,
浙江省,234.49,134.02,67.10,105.07,36.40,38.30,33.20,12.71,16.99,16.95,8.47,16.81,,,,,,,,
安徽省,247.38,142.75,72.57,70.98,31.10,26.72,26.36,17.12,4.44,5.11,5.95,1.94,,,,,,,,
福建省,113.48,59.06,65.70,27.24,25.80,11.37,14.35,12.97,3.74,3.08,9.29,3.62,,,,,,,,
江西省,120.90,100.04,66.96,69.38,47.30,30.46,17.06,18.06,7.77,7.10,3.90,1.21,,,,,,,,
山东省,406.85,314.11,180.03,124.40,99.20,51.72,33.05,25.05,21.06,25.44,13.11,12.98,,,,,,,,
河南省,132.80,59.57,49.52,32.41,73.10,21.86,14.81,16.09,10.81,10.71,2.53,2.51,,,,,,,,
湖北省,236.75,115.52,103.75,45.58,45.60,51.08,32.09,25.58,13.05,9.71,8.01,10.61,,,,,,,,
湖南省,294.48,224.07,172.46,136.03,25.30,41.85,31.04,11.15,17.10,9.71,7.55,5.86,,,,,,,,
广东省,152.67,138.43,77.99,170.32,68.80,69.48,19.46,27.96,20.42,18.28,14.10,14.80,,,,,,,,
广西壮族自治区,170.83,93.47,78.34,48.43,38.30,35.19,13.05,4.93,2.45,5.64,2.26,8.91,,,,,,,,
海南省,21.94,0.60,3.83,4.76,0.50,0.58,0.37,0.30,0.44,0.18,0.13,3.52,,,,,,,,
重庆市,70.97,42.76,27.28,14.26,17.40,9.83,5.65,3.78,3.18,13.23,2.34,1.27,,,,,,,,
四川省,112.15,67.52,84.48,46.50,99.70,34.34,9.80,6.43,6.00,5.27,3.90,2.51,,,,,,,,
贵州省,20.79,9.90,3.76,5.85,0.30,4.06,2.55,1.99,1.43,2.61,0.53,0.51,,,,,,,,
云南省,28.04,30.35,21.95,20.27,4.30,10.73,2.14,4.00,0.59,3.63,5.87,1.83,,,,,,,,
西藏自治区,14.75,6.58,13.99,0.25,1.80,0.52,0.03,0.12,0.89,0.10,0.56,0.03,,,,,,,,
陕西省,128.30,53.81,57.68,33.49,21.70,18.38,20.79,13.21,11.31,4.70,2.13,8.04,,,,,,,,
甘肃省,62.64,23.94,14.48,11.66,7.00,6.69,3.96,3.29,2.13,3.80,2.65,2.46,,,,,,,,
青海省,34.39,16.85,4.50,6.76,0.20,0.51,0.81,0.91,1.42,0.28,0.04,0.08,,,,,,,,
宁夏回族自治区,18.16,4.27,2.38,0.70,1.80,2.29,1.27,0.40,0.90,0.07,0.61,0.31,,,,,,,,
新疆维吾尔自治区,25.07,12.35,9.71,17.30,3.60,5.26,4.72,3.16,5.95,1.92,1.51,1.38,,,,,,,,
数据来源：国家统计局
