数据库：分省年度数据
指标：水利、环境和公共设施管理业新增固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,277.31,204.92,137.44,194.60,51.10,117.60,144.53,58.93,64.58,44.30,59.28,123.77,,,,,,,,
天津市,555.41,555.69,304.91,356.24,205.60,126.63,151.07,45.48,54.39,28.40,51.37,50.13,,,,,,,,
河北省,1284.31,1217.28,681.63,690.98,776.90,613.88,260.73,154.68,111.10,91.62,80.93,59.58,,,,,,,,
山西省,993.87,707.49,535.98,379.99,230.10,252.82,176.98,125.03,71.94,38.36,31.55,32.95,,,,,,,,
内蒙古自治区,1641.22,1061.37,955.38,657.24,535.00,400.97,323.58,291.35,145.80,159.78,80.64,79.48,,,,,,,,
辽宁省,1657.99,1214.28,986.42,856.99,699.10,584.17,373.17,268.70,141.05,130.70,95.73,50.23,,,,,,,,
吉林省,994.66,640.42,574.12,323.66,400.70,346.72,326.54,178.82,179.04,86.23,40.22,40.97,,,,,,,,
黑龙江省,663.97,693.51,400.75,281.81,336.60,174.33,137.33,83.29,52.14,76.94,43.43,36.13,,,,,,,,
上海市,132.89,171.32,116.46,156.18,340.70,346.43,83.30,165.74,117.52,143.23,113.51,148.88,,,,,,,,
江苏省,2780.21,1797.08,1321.77,1354.26,1112.20,823.52,566.98,478.78,479.51,350.41,317.11,370.36,,,,,,,,
浙江省,1270.85,952.42,717.24,832.07,558.70,433.30,249.66,247.82,274.90,294.38,281.66,225.89,,,,,,,,
安徽省,1368.86,975.19,775.54,481.82,489.90,434.25,177.00,149.97,112.13,93.45,43.97,27.35,,,,,,,,
福建省,1242.30,805.22,597.77,306.33,149.70,177.65,118.42,67.03,32.59,33.89,33.12,30.90,,,,,,,,
江西省,922.12,640.98,574.42,528.55,381.70,302.60,291.55,102.59,140.78,77.18,57.29,59.12,,,,,,,,
山东省,1589.19,1274.67,967.68,1012.00,506.70,520.19,327.61,171.18,130.64,145.86,157.54,100.47,,,,,,,,
河南省,1589.70,1042.40,1044.01,943.76,745.60,532.29,391.14,300.22,256.54,188.01,94.30,67.27,,,,,,,,
湖北省,1008.19,779.75,681.56,656.06,453.60,429.60,251.13,142.44,145.05,111.96,65.37,77.41,,,,,,,,
湖南省,1709.64,1131.14,795.19,583.70,392.80,284.00,188.18,132.36,99.69,92.09,47.90,55.41,,,,,,,,
广东省,1798.71,1214.37,890.56,1164.62,929.90,402.78,471.20,289.83,317.16,209.44,115.29,98.23,,,,,,,,
广西壮族自治区,845.90,649.44,368.12,409.09,286.10,221.08,118.53,76.02,72.43,78.61,66.22,37.05,,,,,,,,
海南省,74.35,42.57,85.91,30.32,28.00,40.93,21.55,12.05,7.93,10.32,6.36,10.44,,,,,,,,
重庆市,1097.02,663.78,584.85,498.22,389.20,263.38,130.52,187.96,102.72,111.70,80.63,55.99,,,,,,,,
四川省,1890.64,1629.39,1301.28,988.01,879.70,690.19,270.13,197.43,262.13,107.13,166.90,100.66,,,,,,,,
贵州省,1174.98,821.03,442.90,275.46,201.70,87.83,76.36,41.20,35.84,54.87,21.75,42.26,,,,,,,,
云南省,858.34,578.96,464.02,322.55,277.80,181.14,155.22,94.11,70.65,79.20,56.21,41.28,,,,,,,,
西藏自治区,46.06,57.55,21.44,25.28,13.30,16.44,9.01,6.89,4.99,9.76,17.07,10.81,,,,,,,,
陕西省,1444.81,969.15,657.00,562.83,347.20,336.05,169.21,165.79,105.28,99.99,57.90,47.21,,,,,,,,
甘肃省,369.66,308.95,269.96,126.83,49.90,37.96,25.85,47.10,9.82,11.94,20.85,19.50,,,,,,,,
青海省,173.34,76.04,51.29,29.45,27.00,39.33,12.09,12.19,12.52,9.03,4.86,14.43,,,,,,,,
宁夏回族自治区,215.08,113.25,79.20,80.15,37.80,38.42,39.02,19.11,27.09,15.62,12.57,31.66,,,,,,,,
新疆维吾尔自治区,718.58,354.58,187.01,129.31,125.70,104.69,79.13,68.68,55.20,42.61,75.55,54.02,,,,,,,,
数据来源：国家统计局
