数据库：分省年度数据
指标：居民服务和其他服务业新增固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,4.53,10.64,9.64,7.44,1.20,1.50,0.68,0.96,0.13,,0.28,0.18,,,,,,,,
天津市,111.88,97.89,40.40,76.92,7.30,21.28,9.57,5.37,2.25,0.48,0.67,0.30,,,,,,,,
河北省,47.84,46.87,31.27,26.43,22.60,16.98,7.26,8.22,10.44,3.84,2.43,4.17,,,,,,,,
山西省,27.23,19.18,8.48,5.71,4.20,3.64,1.36,1.98,1.06,0.59,0.22,0.06,,,,,,,,
内蒙古自治区,72.60,28.93,19.45,14.34,12.10,15.40,8.10,5.38,3.35,2.84,1.31,1.94,,,,,,,,
辽宁省,178.16,137.34,111.83,60.23,27.60,48.59,31.74,24.60,13.44,10.63,8.50,2.03,,,,,,,,
吉林省,69.00,36.12,36.11,23.99,20.20,17.44,14.42,9.47,6.60,3.01,1.46,0.85,,,,,,,,
黑龙江省,52.15,52.69,32.51,22.27,13.60,12.94,12.11,16.16,10.34,5.25,16.00,0.65,,,,,,,,
上海市,1.59,4.88,1.68,0.86,1.80,2.68,0.92,0.23,0.85,0.77,0.13,0.02,,,,,,,,
江苏省,136.16,122.44,81.44,83.86,33.40,28.50,26.50,11.10,7.29,6.38,2.85,2.93,,,,,,,,
浙江省,30.83,14.00,16.42,8.29,4.00,2.75,1.79,2.39,1.54,4.16,11.50,8.79,,,,,,,,
安徽省,76.02,47.74,34.69,22.51,19.30,19.23,9.39,10.39,4.32,1.62,1.30,0.75,,,,,,,,
福建省,47.76,25.01,16.46,9.52,2.80,3.56,1.00,0.63,0.64,0.87,1.67,0.76,,,,,,,,
江西省,42.41,43.75,42.97,24.01,20.60,12.51,9.69,2.92,5.25,2.22,1.10,1.14,,,,,,,,
山东省,288.57,280.05,254.85,249.23,88.30,49.55,34.61,17.14,9.87,6.72,3.99,4.76,,,,,,,,
河南省,237.29,117.51,48.79,34.50,29.90,32.80,20.34,14.81,14.79,5.81,3.58,1.49,,,,,,,,
湖北省,120.53,34.91,35.88,23.30,25.60,14.95,11.06,9.45,3.82,3.10,1.68,1.26,,,,,,,,
湖南省,62.10,54.99,39.24,26.69,10.50,16.20,13.09,3.85,6.36,2.91,2.40,1.52,,,,,,,,
广东省,47.06,28.52,21.00,11.94,7.90,7.39,4.10,5.69,4.01,4.44,4.69,2.85,,,,,,,,
广西壮族自治区,58.02,36.86,24.51,9.26,7.90,3.77,2.89,1.88,2.00,1.20,0.43,1.70,,,,,,,,
海南省,1.31,0.98,2.37,0.25,,0.22,,0.11,0.36,0.09,0.13,0.01,,,,,,,,
重庆市,20.77,27.85,46.86,18.92,4.90,2.21,1.66,0.96,1.50,0.19,0.50,0.71,,,,,,,,
四川省,34.37,26.74,27.86,7.56,6.90,7.97,4.08,3.15,2.27,1.25,1.10,1.14,,,,,,,,
贵州省,7.10,6.00,,1.89,0.60,3.11,3.22,1.63,2.11,1.20,0.59,0.37,,,,,,,,
云南省,36.26,13.04,12.03,10.37,15.00,4.01,3.24,1.69,0.98,0.68,0.55,0.65,,,,,,,,
西藏自治区,6.18,2.22,2.54,1.72,0.40,0.19,0.46,0.12,0.18,0.43,0.32,0.09,,,,,,,,
陕西省,43.58,46.17,53.72,15.75,8.20,17.16,6.58,9.93,2.82,2.82,2.95,0.65,,,,,,,,
甘肃省,39.54,28.72,16.94,5.78,8.70,2.78,1.69,2.70,0.37,0.65,0.61,0.72,,,,,,,,
青海省,10.14,1.99,0.78,2.87,0.50,0.56,1.46,1.48,1.21,0.09,0.15,0.07,,,,,,,,
宁夏回族自治区,6.51,11.42,10.01,1.24,1.80,0.19,0.09,0.21,0.25,0.02,0.23,0.31,,,,,,,,
新疆维吾尔自治区,11.91,8.55,7.16,2.86,3.70,2.10,1.45,1.05,0.69,1.13,1.11,0.34,,,,,,,,
数据来源：国家统计局
