数据库：分省年度数据
指标：教育新增固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,91.50,70.79,59.93,97.55,48.30,47.35,30.56,34.62,66.69,31.36,41.31,39.62,,,,,,,,
天津市,69.21,73.01,98.63,92.07,23.50,23.88,30.49,16.73,25.68,15.28,16.97,23.19,,,,,,,,
河北省,224.92,179.49,160.58,112.49,82.80,90.30,110.15,96.76,60.85,43.90,49.76,36.60,,,,,,,,
山西省,125.44,95.35,83.37,78.70,117.70,62.70,28.29,34.34,30.85,20.12,19.27,18.03,,,,,,,,
内蒙古自治区,151.10,99.18,101.31,100.47,123.60,71.11,57.48,37.48,29.72,31.97,22.50,15.40,,,,,,,,
辽宁省,202.32,167.93,167.50,74.75,63.10,72.64,66.92,70.51,56.80,60.72,39.41,34.65,,,,,,,,
吉林省,109.71,64.21,48.09,52.46,78.40,58.53,47.50,31.42,43.61,42.05,24.68,26.25,,,,,,,,
黑龙江省,109.64,120.22,79.81,59.51,61.10,84.14,61.22,57.89,43.42,41.36,36.93,35.29,,,,,,,,
上海市,35.68,35.22,23.63,31.42,31.30,16.25,29.06,81.79,40.70,52.27,32.65,20.61,,,,,,,,
江苏省,421.55,270.00,243.25,232.93,149.80,125.90,110.28,104.20,120.89,142.42,102.40,95.12,,,,,,,,
浙江省,195.18,151.03,112.75,86.50,78.10,90.67,70.66,70.13,63.19,86.94,101.78,108.77,,,,,,,,
安徽省,175.77,148.47,124.12,117.26,86.00,96.02,46.23,47.38,41.81,31.89,39.80,29.58,,,,,,,,
福建省,136.91,99.08,127.36,76.58,30.00,50.58,28.77,31.97,25.24,30.96,28.81,21.93,,,,,,,,
江西省,122.02,129.73,103.41,88.45,77.10,62.00,120.47,52.34,41.01,57.58,31.70,26.33,,,,,,,,
山东省,395.05,294.88,243.89,209.95,136.90,104.44,116.53,85.57,97.50,93.31,92.28,71.34,,,,,,,,
河南省,257.08,191.23,209.63,164.09,148.20,140.78,101.62,138.86,86.49,84.84,49.12,35.59,,,,,,,,
湖北省,161.42,88.59,87.66,97.85,114.50,85.08,54.23,71.72,48.76,65.34,63.86,47.57,,,,,,,,
湖南省,245.57,157.05,116.92,89.00,61.20,55.83,32.00,41.71,41.80,39.28,31.90,29.34,,,,,,,,
广东省,391.38,283.01,207.44,194.02,135.40,119.64,108.52,145.61,90.16,161.76,159.11,71.55,,,,,,,,
广西壮族自治区,210.80,160.49,93.86,82.48,68.70,53.69,35.64,34.31,31.05,29.99,16.43,16.75,,,,,,,,
海南省,16.06,16.30,17.53,16.42,7.20,8.46,9.55,8.17,12.56,6.22,4.71,4.02,,,,,,,,
重庆市,123.01,90.91,70.05,81.32,69.60,70.77,48.03,49.85,49.38,47.59,32.17,25.65,,,,,,,,
四川省,322.34,244.12,166.55,201.24,202.00,210.48,71.31,62.93,70.34,43.46,47.35,43.79,,,,,,,,
贵州省,104.41,67.87,18.77,3.08,30.50,22.45,30.29,15.58,13.95,20.10,15.04,12.92,,,,,,,,
云南省,210.64,150.04,108.80,89.81,91.60,56.11,33.57,30.03,28.86,27.80,22.56,17.99,,,,,,,,
西藏自治区,28.99,15.51,8.61,34.99,14.10,7.60,4.65,3.60,6.81,13.21,7.99,4.11,,,,,,,,
陕西省,178.34,139.30,134.78,152.01,108.50,102.66,72.01,64.41,56.76,61.09,33.12,44.55,,,,,,,,
甘肃省,88.68,81.73,44.84,49.46,50.60,32.16,14.20,15.39,11.96,14.06,13.31,10.80,,,,,,,,
青海省,53.27,52.28,50.44,18.74,11.50,8.08,4.20,4.17,7.38,4.76,3.03,1.77,,,,,,,,
宁夏回族自治区,30.32,29.85,22.36,33.72,19.90,12.64,12.38,10.80,9.66,7.28,5.49,3.82,,,,,,,,
新疆维吾尔自治区,107.41,65.06,53.15,45.01,43.10,55.26,26.18,23.60,25.72,21.55,24.10,21.56,,,,,,,,
数据来源：国家统计局
