数据库：分省年度数据
指标：文化、体育和娱乐业新增固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,40.42,55.83,57.82,31.80,18.80,111.44,94.95,25.26,6.93,13.52,5.68,2.01,,,,,,,,
天津市,60.03,48.88,45.98,39.70,19.60,10.25,4.94,1.64,13.96,0.38,3.45,2.09,,,,,,,,
河北省,188.18,254.80,124.94,69.01,57.30,58.10,32.64,24.52,14.04,12.44,20.26,7.83,,,,,,,,
山西省,137.00,60.71,49.17,51.18,24.00,20.10,14.59,9.99,6.03,4.04,4.28,3.07,,,,,,,,
内蒙古自治区,147.66,93.47,74.89,87.64,88.10,49.13,66.77,36.58,15.26,9.86,6.67,5.42,,,,,,,,
辽宁省,189.87,262.30,158.95,73.48,77.90,51.19,39.03,28.31,33.43,21.32,23.32,14.42,,,,,,,,
吉林省,71.76,164.40,40.36,23.61,48.70,26.42,34.12,18.79,32.28,30.12,3.88,2.39,,,,,,,,
黑龙江省,64.65,79.78,69.75,31.62,20.70,14.58,28.59,28.33,16.63,18.62,4.64,5.15,,,,,,,,
上海市,8.13,16.05,6.16,9.98,17.70,6.59,12.75,4.27,2.95,26.72,10.68,2.89,,,,,,,,
江苏省,377.57,244.99,208.00,121.82,92.30,82.36,65.87,45.58,36.66,39.21,20.01,20.64,,,,,,,,
浙江省,155.49,139.53,91.44,61.19,35.20,39.14,13.40,18.17,21.09,27.50,16.38,15.53,,,,,,,,
安徽省,147.52,110.25,84.21,55.04,57.20,57.87,22.74,18.36,14.69,7.26,4.18,2.14,,,,,,,,
福建省,184.11,134.37,83.50,62.27,22.90,14.80,16.18,6.30,7.84,4.83,4.54,3.07,,,,,,,,
江西省,101.20,75.96,58.76,82.60,40.60,32.63,26.81,13.78,20.94,9.04,12.88,6.03,,,,,,,,
山东省,492.46,418.39,466.02,345.03,167.10,179.86,90.57,15.94,12.12,27.00,21.15,21.20,,,,,,,,
河南省,220.65,157.01,91.07,74.90,107.80,81.65,49.94,45.58,23.79,17.50,6.08,8.69,,,,,,,,
湖北省,150.24,114.75,67.88,97.22,70.20,67.21,25.53,55.35,22.16,11.62,11.40,8.02,,,,,,,,
湖南省,154.32,90.09,65.89,45.25,35.30,40.41,21.61,11.35,16.80,8.77,4.90,11.09,,,,,,,,
广东省,219.01,130.78,80.42,182.80,201.80,36.38,48.83,43.00,48.04,22.51,16.42,20.95,,,,,,,,
广西壮族自治区,93.64,92.26,63.65,29.84,26.80,14.38,7.72,11.97,9.16,6.56,2.74,2.30,,,,,,,,
海南省,19.03,9.83,13.44,41.41,4.50,3.21,5.21,2.57,10.14,0.99,2.11,6.28,,,,,,,,
重庆市,32.26,67.43,36.92,22.51,24.80,19.24,11.96,8.56,14.87,7.71,5.78,5.67,,,,,,,,
四川省,129.40,162.40,123.82,89.19,83.00,28.09,13.46,11.44,21.25,13.06,10.41,10.18,,,,,,,,
贵州省,47.51,13.20,10.89,4.55,20.60,7.07,5.19,7.40,10.95,4.38,2.28,5.89,,,,,,,,
云南省,90.09,78.61,46.77,36.05,20.40,24.56,14.00,11.16,8.98,6.00,5.92,9.88,,,,,,,,
西藏自治区,8.18,17.09,5.94,7.55,3.20,2.04,0.98,2.02,3.91,2.35,1.37,1.46,,,,,,,,
陕西省,126.40,92.29,70.89,36.62,21.70,31.24,14.31,20.49,17.93,10.19,4.49,4.80,,,,,,,,
甘肃省,83.58,75.22,35.34,27.03,17.30,10.00,4.48,4.75,1.12,2.78,2.14,2.36,,,,,,,,
青海省,10.10,44.85,10.38,9.03,2.50,2.98,2.10,0.73,1.99,0.59,0.88,0.50,,,,,,,,
宁夏回族自治区,16.71,6.98,5.65,7.84,3.60,3.90,13.01,1.47,1.01,0.89,1.10,2.99,,,,,,,,
新疆维吾尔自治区,39.30,34.71,18.03,10.58,16.30,7.23,12.97,7.32,6.82,6.97,3.26,4.93,,,,,,,,
数据来源：国家统计局
