数据库：分省年度数据
指标：采掘业新增固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,13.62,3.86,6.51,5.91,2.80,19.61,25.58,13.47,2.76,4.88,2.50,4.27,,,,,,,,
天津市,340.24,279.74,48.07,54.07,87.10,332.96,82.30,32.22,153.76,71.66,122.01,70.33,,,,,,,,
河北省,593.65,619.19,523.61,455.57,220.60,234.18,200.74,154.31,122.41,89.82,42.57,15.13,,,,,,,,
山西省,1090.22,991.01,779.06,629.72,429.60,448.10,255.86,290.95,163.60,154.99,93.57,58.42,,,,,,,,
内蒙古自治区,987.66,840.07,779.18,833.55,636.00,516.71,297.58,359.24,232.68,156.04,57.01,35.06,,,,,,,,
辽宁省,466.23,444.51,533.18,344.00,411.20,229.34,235.81,208.78,189.82,146.43,97.42,75.37,,,,,,,,
吉林省,402.03,332.17,442.28,240.04,264.10,282.09,149.62,171.06,131.43,69.90,51.73,37.62,,,,,,,,
黑龙江省,440.93,540.36,537.15,494.78,522.90,461.55,413.70,334.79,211.60,198.36,105.69,125.58,,,,,,,,
上海市,47.37,,,,,0.08,0.94,1.18,0.50,0.22,0.25,,,,,,,,,
江苏省,84.86,71.49,70.59,69.22,25.60,17.68,15.89,4.47,17.83,29.19,12.92,15.26,,,,,,,,
浙江省,40.13,30.77,28.33,16.22,0.50,0.41,0.35,1.25,2.02,1.73,1.39,1.07,,,,,,,,
安徽省,226.90,203.86,203.53,266.17,201.20,193.25,185.29,97.51,38.17,23.21,44.45,18.28,,,,,,,,
福建省,213.28,206.53,132.98,95.79,39.70,49.41,28.95,10.63,6.18,4.02,2.45,0.44,,,,,,,,
江西省,238.81,162.18,207.60,152.09,139.00,113.60,71.48,32.02,23.64,17.78,7.11,17.60,,,,,,,,
山东省,543.51,484.18,491.75,486.56,333.20,358.14,224.16,223.90,188.21,137.22,141.85,199.21,,,,,,,,
河南省,412.86,483.23,560.80,539.64,573.60,575.28,416.15,290.42,179.73,126.29,45.87,80.66,,,,,,,,
湖北省,255.26,211.68,192.98,191.33,118.60,92.65,67.68,46.44,37.32,27.18,15.07,18.02,,,,,,,,
湖南省,564.04,442.30,441.34,295.85,231.20,167.60,98.48,67.17,53.68,26.99,13.47,7.02,,,,,,,,
广东省,121.28,46.21,289.10,46.62,15.30,65.00,51.38,44.95,11.38,6.48,4.84,15.20,,,,,,,,
广西壮族自治区,266.05,275.32,241.40,196.49,120.70,154.31,58.87,42.42,19.59,10.94,4.79,4.57,,,,,,,,
海南省,9.51,7.58,4.93,8.78,1.00,,1.84,1.55,1.97,0.01,2.18,1.13,,,,,,,,
重庆市,193.16,157.98,141.10,108.41,82.70,77.55,38.11,24.77,23.53,21.00,12.38,3.98,,,,,,,,
四川省,322.33,373.66,388.46,322.41,153.10,124.94,74.63,69.62,59.60,30.80,16.44,13.38,,,,,,,,
贵州省,189.61,241.23,132.20,255.95,85.10,62.02,69.84,32.86,33.72,22.47,10.14,7.80,,,,,,,,
云南省,226.63,291.94,253.49,147.42,152.20,120.78,84.19,59.23,73.04,27.11,24.32,10.73,,,,,,,,
西藏自治区,54.18,51.95,39.42,14.38,5.70,3.61,0.58,4.00,2.95,1.68,0.53,0.27,,,,,,,,
陕西省,760.31,1055.56,506.12,483.22,174.60,246.36,191.39,192.54,162.67,110.05,90.76,66.79,,,,,,,,
甘肃省,251.67,248.57,143.28,127.82,50.80,43.68,33.16,22.10,13.22,21.13,13.92,13.40,,,,,,,,
青海省,16.28,23.83,31.35,23.63,11.00,8.29,49.15,13.47,37.88,32.62,31.16,3.11,,,,,,,,
宁夏回族自治区,150.39,74.70,31.37,45.72,19.50,10.32,8.23,4.31,2.55,4.24,4.88,3.91,,,,,,,,
新疆维吾尔自治区,622.09,613.39,482.64,465.64,272.80,363.57,229.43,355.85,420.14,194.91,210.86,119.08,,,,,,,,
数据来源：国家统计局
