数据库：分省年度数据
指标：电力、煤气及水的生产和供应业新增固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,244.50,159.99,63.21,81.26,98.50,134.51,150.06,96.36,65.04,73.40,38.10,68.62,,,,,,,,
天津市,125.91,142.92,143.99,111.23,131.60,118.22,76.13,27.98,43.50,24.52,38.18,23.10,,,,,,,,
河北省,699.92,513.95,467.01,360.94,483.80,310.84,336.10,326.11,230.75,180.46,133.51,65.78,,,,,,,,
山西省,679.87,422.06,466.99,323.82,388.20,323.77,252.58,323.53,114.32,120.79,83.29,47.35,,,,,,,,
内蒙古自治区,1355.31,933.63,720.55,1094.47,840.90,722.71,632.41,613.27,306.99,214.49,117.16,145.87,,,,,,,,
辽宁省,713.67,566.44,508.88,334.65,376.20,341.14,219.21,228.16,89.48,94.99,67.67,51.07,,,,,,,,
吉林省,501.38,320.57,315.30,291.59,314.70,217.03,223.88,102.57,57.25,33.38,32.92,28.48,,,,,,,,
黑龙江省,299.00,308.22,318.99,268.15,290.50,224.68,207.66,123.85,61.70,46.07,38.42,55.28,,,,,,,,
上海市,90.62,79.59,153.15,84.45,173.40,122.19,131.27,57.05,123.91,64.71,168.89,60.76,,,,,,,,
江苏省,924.26,753.50,569.76,393.62,431.70,382.10,268.65,545.15,471.66,486.79,268.41,166.74,,,,,,,,
浙江省,718.40,428.84,277.17,285.69,444.00,317.60,205.72,330.89,374.37,281.50,234.06,74.15,,,,,,,,
安徽省,367.96,282.80,301.74,198.74,205.00,214.74,198.01,209.50,117.02,101.13,23.90,27.95,,,,,,,,
福建省,573.68,571.32,357.35,273.59,180.20,257.05,100.06,110.13,192.98,83.90,61.64,39.08,,,,,,,,
江西省,297.88,232.78,190.92,254.20,171.90,174.76,92.04,62.07,54.89,47.15,47.67,59.71,,,,,,,,
山东省,776.81,642.30,471.17,377.84,284.80,294.09,175.81,227.54,275.94,189.45,143.92,176.02,,,,,,,,
河南省,416.87,595.05,390.36,359.70,335.30,443.28,365.35,328.19,267.45,166.17,89.60,96.47,,,,,,,,
湖北省,432.68,315.44,251.86,286.29,260.40,168.45,347.67,617.49,116.54,214.36,668.92,259.45,,,,,,,,
湖南省,477.68,421.65,307.10,236.60,236.10,239.22,221.55,189.08,235.07,68.79,89.72,91.35,,,,,,,,
广东省,809.97,665.24,884.49,566.13,847.40,414.13,428.58,347.78,233.41,325.36,255.91,175.26,,,,,,,,
广西壮族自治区,361.25,353.92,288.61,255.13,226.90,205.90,169.82,200.08,88.05,70.09,60.50,56.21,,,,,,,,
海南省,28.22,65.01,29.11,34.01,66.40,21.01,12.03,32.54,14.82,6.83,7.94,10.80,,,,,,,,
重庆市,354.06,332.77,195.08,93.07,72.50,139.20,45.91,129.78,114.58,36.84,41.34,31.21,,,,,,,,
四川省,1111.21,776.18,752.16,496.26,249.30,320.38,268.58,207.55,254.28,119.14,73.21,75.78,,,,,,,,
贵州省,253.69,164.56,144.49,184.60,183.40,106.89,162.51,200.76,201.35,48.80,54.75,51.69,,,,,,,,
云南省,741.02,409.55,455.29,251.68,241.60,163.22,139.80,109.29,204.48,91.75,65.12,69.61,,,,,,,,
西藏自治区,147.69,108.34,35.53,34.18,22.30,36.23,7.40,34.54,13.55,7.89,12.18,7.22,,,,,,,,
陕西省,367.09,389.29,328.91,160.88,258.10,181.67,222.39,131.99,84.60,73.41,54.08,51.06,,,,,,,,
甘肃省,747.49,537.10,273.40,605.45,292.30,123.76,71.44,88.92,17.27,39.36,30.39,49.66,,,,,,,,
青海省,236.01,172.34,187.16,43.87,28.40,14.70,83.12,40.70,22.31,8.96,15.89,6.86,,,,,,,,
宁夏回族自治区,304.47,166.14,231.05,342.98,98.60,74.17,97.50,27.45,80.78,34.60,45.38,31.80,,,,,,,,
新疆维吾尔自治区,804.27,561.18,414.60,255.69,200.70,194.21,107.19,78.58,35.42,37.57,35.78,53.76,,,,,,,,
数据来源：国家统计局
