数据库：分省年度数据
指标：固定资产投资(不含农户)交付使用率(%)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,53.5,43.1,37.7,37.9,44.8,51.5,67.8,48.7,58.7,65.6,56.5,58.3,,,,,,,,
天津市,65.0,61.2,57.0,53.4,46.6,53.1,52.8,53.2,76.4,52.7,51.1,58.7,,,,,,,,
河北省,72.8,77.5,66.1,65.0,62.3,65.3,63.4,61.7,59.3,59.9,63.8,62.5,,,,,,,,
山西省,73.3,58.0,59.5,57.9,56.9,54.0,55.5,68.4,63.3,53.3,56.5,60.8,,,,,,,,
内蒙古自治区,73.2,65.1,66.5,71.2,66.1,64.7,62.1,70.9,61.2,63.5,55.0,68.5,,,,,,,,
辽宁省,70.6,59.2,59.8,56.1,53.0,59.1,56.9,54.2,54.6,64.6,61.0,69.5,,,,,,,,
吉林省,86.5,76.4,73.0,74.6,71.5,69.7,71.4,63.8,67.7,62.3,60.7,68.1,,,,,,,,
黑龙江省,75.1,70.5,68.9,66.2,68.9,74.1,71.7,74.0,70.3,69.4,68.6,75.2,,,,,,,,
上海市,45.9,47.2,52.9,57.8,57.3,50.5,57.3,53.5,62.3,68.6,67.9,66.3,,,,,,,,
江苏省,76.9,73.3,72.5,71.4,69.5,72.2,65.9,69.0,84.3,79.7,61.8,57.1,,,,,,,,
浙江省,59.8,53.4,48.2,54.4,56.0,55.5,52.4,54.2,55.4,56.8,52.3,55.6,,,,,,,,
安徽省,65.7,61.4,56.6,56.8,53.5,57.2,47.9,52.4,49.2,50.8,58.3,50.2,,,,,,,,
福建省,61.4,55.2,51.8,48.1,35.6,42.9,38.4,32.4,35.3,44.3,58.9,56.2,,,,,,,,
江西省,66.2,63.6,70.3,70.6,69.5,66.2,68.5,55.2,54.6,51.4,48.5,61.5,,,,,,,,
山东省,67.9,64.1,63.8,65.9,54.1,55.9,54.7,53.9,53.7,52.1,52.5,63.7,,,,,,,,
河南省,65.6,62.0,63.4,65.0,65.0,71.4,73.5,77.7,70.9,68.3,54.6,60.9,,,,,,,,
湖北省,59.6,54.2,58.9,67.1,62.4,65.7,59.3,72.7,56.2,65.4,89.2,75.9,,,,,,,,
湖南省,67.2,64.2,64.7,57.3,49.6,51.9,50.8,48.8,56.8,54.3,52.5,66.9,,,,,,,,
广东省,68.5,64.1,64.3,62.1,60.7,56.6,64.0,55.6,64.0,62.3,62.1,60.0,,,,,,,,
广西壮族自治区,62.6,62.5,57.7,53.6,49.3,52.1,42.7,46.7,44.5,53.5,55.4,62.0,,,,,,,,
海南省,43.7,35.9,53.9,37.5,40.0,36.1,34.5,51.7,48.7,40.1,62.0,66.3,,,,,,,,
重庆市,62.2,64.0,62.4,60.8,49.9,52.0,37.2,54.9,52.0,64.5,49.0,56.8,,,,,,,,
四川省,67.1,65.0,70.3,65.5,61.3,60.7,45.9,42.2,53.7,44.3,53.2,57.9,,,,,,,,
贵州省,50.2,46.6,38.2,44.3,56.4,53.7,56.1,65.8,65.0,49.6,51.0,59.3,,,,,,,,
云南省,56.2,48.3,51.1,53.1,46.7,44.0,49.9,44.9,50.1,48.2,50.4,71.3,,,,,,,,
西藏自治区,68.3,68.1,53.6,80.7,62.8,67.7,50.7,77.8,77.4,92.4,79.2,67.3,,,,,,,,
陕西省,61.5,56.8,54.5,49.6,42.4,48.7,52.8,60.8,58.4,59.0,52.4,61.1,,,,,,,,
甘肃省,68.5,63.5,59.4,71.2,54.2,51.7,38.1,52.9,37.0,52.5,59.4,69.6,,,,,,,,
青海省,48.2,51.3,51.3,50.8,39.3,41.6,62.8,55.6,80.2,52.6,72.6,38.7,,,,,,,,
宁夏回族自治区,70.2,57.8,59.9,85.5,44.2,57.7,54.9,46.5,62.2,60.1,57.7,68.7,,,,,,,,
新疆维吾尔自治区,63.5,61.4,60.7,55.3,53.8,77.3,57.4,68.1,82.0,68.1,83.6,76.8,,,,,,,,
数据来源：国家统计局
