数据库：分省年度数据
指标：固定资产投资(不含农户)全部建成投产项目个数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1376,1540,559,1466,1113,1294,1348,4743,816,479,713,749,,,,,,,,
天津市,5498,4695,4565,3797,2267,2744,1955,1077,1091,823,862,882,,,,,,,,
河北省,13830,14432,14637,16023,18095,22368,15744,13063,9786,7645,6132,5146,,,,,,,,
山西省,9173,8286,6592,6493,8163,6097,3892,3966,3324,2975,2663,2944,,,,,,,,
内蒙古自治区,14837,8139,6901,6310,8959,9272,7279,6448,5819,6521,5522,4801,,,,,,,,
辽宁省,12173,10445,12128,11177,13033,14506,11710,8923,9337,10068,6244,5417,,,,,,,,
吉林省,10944,8146,7752,8087,9073,9154,7145,5344,5337,3479,2481,3051,,,,,,,,
黑龙江省,9229,11395,8592,6127,7625,8582,5999,5275,4993,4369,3221,3584,,,,,,,,
上海市,1078,1027,1265,1288,1828,1934,1295,1882,2006,1883,1127,544,,,,,,,,
江苏省,35733,31589,20897,26496,15224,13118,9776,8269,7912,8197,6442,6913,,,,,,,,
浙江省,26171,21420,18253,14177,7617,7810,6390,5925,6570,6176,4898,4388,,,,,,,,
安徽省,22079,16766,17020,16199,18220,13703,10097,8007,6915,5025,3100,2924,,,,,,,,
福建省,16554,13554,12055,8896,4309,4576,4473,3663,1819,2880,2613,2438,,,,,,,,
江西省,13280,13258,12655,11081,11335,8956,6762,4301,4036,3608,2929,3074,,,,,,,,
山东省,29211,25648,25088,29191,19301,17783,16727,12271,11662,9893,8320,9851,,,,,,,,
河南省,13996,14069,16776,20463,23740,28652,22868,18148,12338,8864,5432,4192,,,,,,,,
湖北省,11774,11184,11478,19485,17522,14982,9882,7649,7187,6703,4940,6134,,,,,,,,
湖南省,22234,18182,16424,15125,11979,9825,9694,8142,7731,6626,3989,4635,,,,,,,,
广东省,22760,12191,9724,15431,13190,11958,10891,8836,6422,5888,5525,5061,,,,,,,,
广西壮族自治区,26000,23016,12152,11999,17227,15459,9145,8236,7296,6205,5039,5082,,,,,,,,
海南省,841,243,746,535,646,922,891,700,617,660,594,773,,,,,,,,
重庆市,8503,7994,6152,7058,6086,7327,3526,3034,3188,3292,2743,2530,,,,,,,,
四川省,20255,16341,12436,13817,16992,15343,9951,9600,8949,6625,5850,4145,,,,,,,,
贵州省,844,582,444,979,4601,7278,6120,5498,4111,3869,3264,2568,,,,,,,,
云南省,13028,11313,9235,5978,9215,10048,7667,6707,6506,7865,3842,3695,,,,,,,,
西藏自治区,1678,1743,1346,1170,1803,1986,1728,1688,1784,1830,1496,1478,,,,,,,,
陕西省,12820,10118,8610,6864,6515,8582,5635,4025,3380,4164,3271,2979,,,,,,,,
甘肃省,9521,5342,3006,4712,5862,5592,4329,4286,2149,3868,3055,2851,,,,,,,,
青海省,2564,2346,1747,1273,1398,1599,1527,1363,1758,1536,1433,1261,,,,,,,,
宁夏回族自治区,3035,2398,1919,1596,1268,1123,870,752,2193,1510,998,1040,,,,,,,,
新疆维吾尔自治区,8789,4379,5451,5196,5369,5425,4248,4807,4627,4439,4340,4015,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
