数据库：分省年度数据
指标：固定资产投资(不含农户)其他资金(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2814.91,3527.75,3289.85,2683.57,2702.00,2997.70,1572.64,2286.75,1814.43,1830.72,1402.20,899.95,,,,,,,,
天津市,1601.85,1438.99,1041.90,1137.75,1021.20,881.98,428.46,508.48,382.35,311.14,207.12,159.08,,,,,,,,
河北省,1878.17,1883.78,1666.09,1755.74,1488.00,1157.39,791.80,623.19,506.54,372.83,316.11,277.92,,,,,,,,
山西省,829.53,849.13,678.12,758.77,729.50,504.35,341.52,307.40,250.28,213.44,186.37,128.01,,,,,,,,
内蒙古自治区,793.26,692.43,607.61,566.06,392.80,295.62,261.64,218.28,201.39,203.55,152.29,116.37,,,,,,,,
辽宁省,1941.13,2721.64,2357.13,2306.01,1794.00,1319.99,819.40,883.10,673.53,472.51,390.04,269.93,,,,,,,,
吉林省,775.35,783.47,742.85,714.12,521.00,430.42,286.67,313.29,309.43,310.49,183.40,153.78,,,,,,,,
黑龙江省,634.62,912.16,884.63,764.24,668.30,512.75,384.65,353.36,299.60,216.42,145.00,127.75,,,,,,,,
上海市,2027.05,2220.67,1638.37,1411.83,1328.20,1798.38,1006.68,1475.55,1151.37,994.28,925.47,705.10,,,,,,,,
江苏省,6246.61,6822.96,5242.50,4394.19,4788.20,4237.05,2412.86,2319.59,1521.54,1108.82,866.42,532.80,,,,,,,,
浙江省,4506.36,5041.70,3787.88,3492.64,3410.10,3113.02,1708.11,1978.76,1515.33,1245.00,1231.66,888.76,,,,,,,,
安徽省,3142.58,3035.21,2327.44,1984.29,1652.90,1262.00,705.39,641.63,504.70,319.59,277.89,238.88,,,,,,,,
福建省,2961.88,3424.65,2589.65,2010.96,1397.20,1401.69,906.10,978.37,772.23,487.11,428.87,347.92,,,,,,,,
江西省,1865.33,1723.37,1368.62,1029.74,925.00,878.16,563.75,482.89,371.93,303.10,229.18,192.61,,,,,,,,
山东省,3854.79,4130.48,3353.03,3156.16,2681.80,2187.81,1484.39,1299.45,1120.82,953.11,729.59,599.79,,,,,,,,
河南省,2184.54,2221.79,1927.70,1540.50,1545.00,1333.44,1030.87,903.41,647.45,490.76,367.80,266.68,,,,,,,,
湖北省,2145.97,2262.73,1866.78,1653.13,1306.20,992.55,530.11,650.00,450.18,331.44,285.38,453.94,,,,,,,,
湖南省,2451.53,2600.56,2142.28,1791.81,1358.00,937.87,648.88,601.93,392.15,306.38,290.18,220.27,,,,,,,,
广东省,6263.93,6406.52,4662.02,4257.21,3547.70,3125.73,2045.61,2414.99,1791.39,1318.31,1164.76,1041.54,,,,,,,,
广西壮族自治区,1936.06,1670.13,1467.84,1111.15,1117.90,998.86,638.06,600.07,425.77,327.75,212.26,171.47,,,,,,,,
海南省,777.26,1647.91,562.81,521.80,556.10,259.04,161.65,92.67,74.95,68.45,47.88,60.11,,,,,,,,
重庆市,2961.36,2949.21,2441.15,2217.71,1983.40,1314.89,866.18,998.03,612.18,473.61,386.93,276.46,,,,,,,,
四川省,4486.40,3618.55,2757.60,2514.89,2336.10,2181.84,1033.16,1069.77,739.06,542.72,465.52,388.34,,,,,,,,
贵州省,1536.82,1418.24,904.00,706.07,597.40,447.51,247.32,216.84,163.05,122.08,131.33,99.09,,,,,,,,
云南省,1470.46,1436.48,1415.54,1132.43,1051.90,797.81,533.82,434.18,339.78,255.83,193.80,145.23,,,,,,,,
西藏自治区,59.78,63.26,76.32,43.25,23.20,39.12,53.23,43.66,50.32,35.44,27.23,14.64,,,,,,,,
陕西省,1712.57,1755.20,1450.15,1501.40,1266.70,872.97,499.34,418.06,316.05,274.62,208.41,222.02,,,,,,,,
甘肃省,790.94,810.31,530.70,384.56,334.70,270.81,216.58,169.34,141.97,123.01,110.71,88.86,,,,,,,,
青海省,287.20,178.18,200.33,160.15,150.60,115.22,74.74,78.54,80.79,54.22,55.60,46.91,,,,,,,,
宁夏回族自治区,374.52,360.21,278.46,271.58,232.00,159.53,89.50,54.90,67.16,60.64,56.63,41.50,,,,,,,,
新疆维吾尔自治区,950.17,974.01,824.54,746.78,555.00,417.11,284.57,270.64,229.30,191.39,138.45,130.58,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
