数据库：分省年度数据
指标：外商投资房地产开发企业个数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,102,104,108,105,111,124,136,130,140,140,146,61,72,62,67,,,,,
天津市,45,52,51,49,52,55,67,54,51,46,56,23,22,19,23,,,,,
河北省,20,25,25,28,30,31,26,20,20,21,30,14,10,16,22,,,,,
山西省,6,6,7,6,6,6,3,5,5,5,5,7,10,9,3,,,,,
内蒙古自治区,3,4,3,3,4,4,5,4,5,4,6,1,1,3,3,,,,,
辽宁省,141,143,142,156,211,203,261,163,150,136,142,78,70,79,73,,,,,
吉林省,7,9,9,8,10,12,13,14,13,12,15,5,9,6,12,,,,,
黑龙江省,11,13,17,19,19,17,19,18,18,17,12,17,18,8,9,,,,,
上海市,149,170,174,174,169,176,208,166,173,200,216,93,83,95,84,,,,,
江苏省,206,228,230,263,268,259,293,229,193,149,149,83,81,82,97,,,,,
浙江省,124,120,120,124,135,128,149,111,84,82,85,45,43,40,44,,,,,
安徽省,35,38,40,47,54,57,59,61,57,50,56,32,31,36,22,,,,,
福建省,108,111,110,140,179,195,199,222,251,260,291,210,197,208,210,,,,,
江西省,23,27,25,29,43,43,45,68,69,74,61,68,35,40,32,,,,,
山东省,69,77,85,87,105,111,118,82,76,65,83,46,45,46,44,,,,,
河南省,36,42,43,64,67,70,80,62,55,52,52,36,31,19,33,,,,,
湖北省,28,39,35,44,55,52,56,82,83,79,79,57,55,49,55,,,,,
湖南省,28,34,38,40,53,68,61,67,55,52,55,31,32,23,20,,,,,
广东省,209,206,206,205,223,235,260,234,202,208,285,109,75,81,78,,,,,
广西壮族自治区,44,52,56,68,78,77,86,60,60,76,68,27,19,25,29,,,,,
海南省,20,23,22,18,14,13,40,22,13,17,57,9,15,15,14,,,,,
重庆市,39,42,39,42,39,40,45,29,25,26,31,33,36,37,48,,,,,
四川省,66,63,75,72,74,70,76,50,57,47,44,20,19,23,27,,,,,
贵州省,9,9,10,11,15,17,16,15,17,21,23,17,14,17,27,,,,,
云南省,7,7,9,7,5,6,6,9,6,6,12,4,5,7,7,,,,,
西藏自治区,,,,,,,,,0,,1,,,,,,,,,
陕西省,19,17,19,17,14,11,16,15,10,10,13,10,10,14,12,,,,,
甘肃省,6,7,8,9,11,11,10,24,23,24,24,30,28,16,23,,,,,
青海省,1,1,1,3,3,4,4,3,3,3,4,4,6,3,3,,,,,
宁夏回族自治区,3,3,3,3,3,2,4,4,4,3,2,2,2,4,3,,,,,
新疆维吾尔自治区,1,2,3,2,2,3,3,6,5,5,5,4,3,2,3,,,,,
数据来源：国家统计局
