数据库：分省年度数据
指标：外商投资房地产开发企业平均从业人数(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,5155,,6085,5763,6319,6626,7354,7698,7464,7059,6820,3670,4157,3735,3717,,,,,
天津市,2056,,1515,1195,1650,1837,2009,2129,2072,2897,1913,853,540,646,618,,,,,
河北省,1323,,1494,892,1685,1196,1076,716,940,710,633,312,325,783,632,,,,,
山西省,207,,227,181,124,168,47,47,82,119,121,204,223,178,50,,,,,
内蒙古自治区,255,,184,147,142,92,161,125,81,62,123,45,26,277,215,,,,,
辽宁省,5209,,4960,5097,5030,4122,4932,3157,2725,2338,2884,1910,1921,1911,1857,,,,,
吉林省,289,,282,288,240,235,380,636,702,714,785,372,265,126,527,,,,,
黑龙江省,210,,337,455,435,395,699,1019,588,623,472,385,457,200,239,,,,,
上海市,5784,,8354,7103,14295,13466,10364,13896,9324,10485,11096,5656,5046,2897,2624,,,,,
江苏省,7557,,6949,7254,6903,6470,7619,5819,4405,3396,3010,1916,1610,1666,2014,,,,,
浙江省,3420,,2819,3076,3134,3035,3203,2758,2000,1701,1517,1554,991,844,1078,,,,,
安徽省,1630,,1704,1949,1747,1883,1432,1803,1260,1073,1221,972,688,730,451,,,,,
福建省,2548,,2451,2921,3452,3704,4552,4439,4595,4931,4962,4352,4555,3533,3691,,,,,
江西省,1065,,1116,1325,1107,1055,1067,1176,1103,1444,1533,1194,1238,1801,1047,,,,,
山东省,2674,,2712,2602,3570,3447,4111,2862,2731,2176,2625,1599,1108,1254,2119,,,,,
河南省,1833,,1430,3139,2245,2850,2961,2405,2295,2219,2044,1438,1369,976,1082,,,,,
湖北省,1289,,1374,1416,1327,1516,2003,2582,1956,2121,2233,1624,2294,1322,1451,,,,,
湖南省,1237,,1133,1332,1532,1964,2367,2296,1430,1262,1214,1142,930,659,585,,,,,
广东省,14618,,15214,13860,13722,14105,19437,15780,8988,5867,6998,3298,2340,2614,1567,,,,,
广西壮族自治区,1521,,1633,1507,1526,1625,2043,1398,1477,1535,1583,1369,521,595,568,,,,,
海南省,1040,,1187,549,515,486,504,683,594,638,1041,854,499,250,206,,,,,
重庆市,2067,,1596,2601,1350,1059,1579,925,1121,1245,1637,1001,1314,1711,1608,,,,,
四川省,3316,,3259,1707,2534,2327,3081,1950,1395,2131,1716,754,682,747,912,,,,,
贵州省,214,,153,229,295,407,369,348,330,317,433,360,297,440,605,,,,,
云南省,203,,337,165,131,234,213,182,220,231,296,990,100,167,154,,,,,
西藏自治区,,,,,,,,,,,5,,,,,,,,,
陕西省,1427,,1229,1272,836,602,580,438,370,373,520,395,175,352,225,,,,,
甘肃省,636,,251,256,297,276,410,427,500,553,478,507,365,397,265,,,,,
青海省,36,,30,102,71,179,151,96,101,63,171,155,117,83,270,,,,,
宁夏回族自治区,145,,88,113,114,85,365,101,164,337,245,74,107,136,161,,,,,
新疆维吾尔自治区,2,,5,4,4,17,18,41,71,113,162,80,46,41,93,,,,,
数据来源：国家统计局
