数据库：分省年度数据
指标：房地产开发企业待开发土地面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,617.66,690.80,150.40,199.84,401.30,1104.00,1977.90,2736.44,1906.53,2914.80,,1957.25,838.10,738.93,482.77,,,,,
天津市,583.10,750.54,995.18,750.89,617.20,594.00,862.90,789.48,864.37,760.05,,436.79,57.30,171.38,483.26,,,,,
河北省,854.52,765.45,773.24,790.20,630.40,501.20,806.80,728.23,714.38,216.01,,266.55,231.00,87.04,122.96,,,,,
山西省,818.51,988.99,618.85,528.69,588.80,462.70,443.90,382.36,307.07,256.22,,118.15,184.10,138.34,76.74,,,,,
内蒙古自治区,508.77,629.66,538.52,516.12,614.00,749.20,570.30,754.27,380.15,141.39,,7.60,60.70,32.90,14.13,,,,,
辽宁省,1470.83,2006.15,1720.99,1805.68,1415.30,1124.80,1709.30,1214.58,654.79,417.46,,721.87,168.40,185.79,298.13,,,,,
吉林省,364.60,410.25,245.61,272.62,97.80,24.70,112.90,102.68,65.35,13.55,,6.99,11.10,35.15,44.09,,,,,
黑龙江省,302.41,316.79,347.64,505.25,172.40,214.70,319.70,152.74,149.11,104.92,,202.44,70.40,18.18,8.25,,,,,
上海市,648.15,708.25,350.23,317.99,315.40,414.10,525.00,543.48,575.82,626.63,,205.92,1429.00,829.46,875.33,,,,,
江苏省,5373.41,5872.50,4887.33,4504.81,3798.80,4524.00,5895.10,5197.14,4794.53,3981.34,,2060.19,1344.10,1123.75,928.34,,,,,
浙江省,1770.46,1460.75,1908.69,2614.05,1488.90,1310.90,2059.50,1421.48,1418.16,730.59,,1509.33,1624.40,928.72,1056.47,,,,,
安徽省,3024.17,3051.39,2558.41,2369.70,1235.10,1828.10,2924.50,2522.55,2862.63,1504.06,,827.55,597.30,399.29,343.77,,,,,
福建省,1076.79,862.17,912.99,1257.04,1577.40,837.50,1524.50,1152.60,1126.07,551.32,,669.67,932.30,540.53,666.89,,,,,
江西省,668.17,634.46,662.02,932.26,983.40,821.30,1672.50,1542.29,1569.80,1123.99,,432.03,580.90,247.60,108.85,,,,,
山东省,2870.49,2923.94,3439.56,3429.33,2206.80,2363.00,4835.20,3570.82,3318.46,1850.02,,1582.10,613.50,802.63,941.57,,,,,
河南省,1343.57,1309.60,1318.72,964.30,1222.10,911.40,1296.20,1062.03,907.60,763.50,,363.07,455.20,388.77,305.45,,,,,
湖北省,1717.46,1618.21,1588.19,1367.06,1283.20,1414.70,1604.70,1491.78,1059.04,937.87,,1271.82,1059.80,598.27,1076.63,,,,,
湖南省,2213.97,1897.07,2534.97,2338.01,1318.10,1806.40,2557.50,1807.19,2103.15,1364.42,,1066.00,896.10,565.14,371.25,,,,,
广东省,4736.77,4866.04,4122.82,4135.81,4643.80,4653.60,6606.10,5879.09,5857.47,3245.10,,4148.04,4218.40,3788.90,4071.90,,,,,
广西壮族自治区,784.02,797.25,886.25,855.83,823.30,718.90,996.00,983.27,911.54,1814.32,,479.04,437.20,235.79,254.92,,,,,
海南省,1422.14,1014.28,762.21,559.19,116.30,192.50,519.90,409.18,185.04,101.39,,1.50,12.80,95.89,16.79,,,,,
重庆市,2474.73,2991.60,3368.71,3166.20,2025.70,2338.90,2631.60,2653.22,2334.91,2046.34,,1622.94,1201.90,1006.11,922.26,,,,,
四川省,1506.51,1248.29,1567.57,1664.65,1191.00,1208.60,1853.00,878.77,1033.46,990.42,,225.89,497.30,496.35,427.87,,,,,
贵州省,1243.70,1385.96,1005.18,1171.18,1058.00,713.60,853.10,632.25,523.42,278.50,,386.93,219.80,245.95,120.45,,,,,
云南省,1272.44,1043.27,964.72,1264.93,407.50,798.70,1112.20,934.06,622.20,188.53,,117.15,237.20,57.30,258.46,,,,,
西藏自治区,2.42,33.43,0.37,11.75,27.00,28.50,62.10,7.00,37.74,16.06,,40.64,0.10,0.15,,,,,,
陕西省,604.02,519.42,562.81,382.23,387.80,262.90,708.90,774.95,352.74,250.88,,315.65,867.30,552.01,149.85,,,,,
甘肃省,327.87,278.17,329.26,209.19,119.90,121.40,206.40,168.71,161.16,109.45,,137.94,106.70,45.55,44.72,,,,,
青海省,104.24,112.97,89.47,27.68,38.70,40.50,48.40,103.41,47.06,12.05,,40.62,5.10,22.39,21.02,,,,,
宁夏回族自治区,457.82,463.23,409.01,769.20,154.00,106.80,112.70,159.70,118.32,8.73,,110.40,32.90,16.03,6.51,,,,,
新疆维吾尔自治区,972.54,629.61,576.09,539.09,498.50,624.70,752.20,728.20,561.61,202.10,,450.51,188.20,187.86,255.16,,,,,
数据来源：国家统计局
