数据库：分省年度数据
指标：房地产开发企业别墅、高档公寓竣工套数(套)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1550.00,4639.00,5769.00,4533.00,9328.00,10383.00,12026.00,11529.00,9891.00,18295.00,,7497.00,9003.00,,,,,,,
天津市,10379.00,4747.00,5334.00,8490.00,8679.00,4364.00,4387.00,4066.00,4167.00,5815.00,,3914.00,3735.00,,,,,,,
河北省,1622.00,1972.00,3602.00,3105.00,2501.00,2913.00,2605.00,2146.00,2105.00,667.00,,946.00,337.00,,,,,,,
山西省,616.00,456.00,522.00,253.00,254.00,123.00,953.00,400.00,300.00,363.00,,35.00,105.00,,,,,,,
内蒙古自治区,3758.00,1594.00,3379.00,1775.00,3164.00,3180.00,4243.00,2426.00,894.00,229.00,,3.00,57.00,,,,,,,
辽宁省,7247.00,1891.00,5394.00,6800.00,6650.00,7880.00,4850.00,4180.00,2681.00,2930.00,,3403.00,2904.00,,,,,,,
吉林省,601.00,2114.00,7641.00,1950.00,2478.00,2745.00,4126.00,3515.00,1115.00,1219.00,,311.00,569.00,,,,,,,
黑龙江省,924.00,1152.00,246.00,1118.00,1856.00,2412.00,2071.00,1063.00,1724.00,146.00,,334.00,390.00,,,,,,,
上海市,8830.00,12565.00,16974.00,20298.00,17146.00,10895.00,11114.00,24629.00,25148.00,22733.00,,11920.00,6943.00,,,,,,,
江苏省,15290.00,18769.00,19288.00,22870.00,18738.00,22620.00,20597.00,13412.00,13130.00,17904.00,,8162.00,5618.00,,,,,,,
浙江省,10900.00,7214.00,5741.00,5455.00,10386.00,5341.00,6001.00,4309.00,4463.00,9402.00,,5719.00,4450.00,,,,,,,
安徽省,4074.00,3500.00,2081.00,4417.00,3579.00,2536.00,1395.00,2679.00,2105.00,2502.00,,1953.00,1947.00,,,,,,,
福建省,1698.00,3162.00,2317.00,2760.00,2350.00,3197.00,3730.00,3254.00,2285.00,1771.00,,2397.00,1429.00,,,,,,,
江西省,3184.00,1598.00,1668.00,1661.00,1166.00,1628.00,968.00,2693.00,1173.00,1779.00,,1494.00,948.00,,,,,,,
山东省,6144.00,4785.00,7752.00,6996.00,5323.00,2643.00,6579.00,6213.00,4389.00,3505.00,,6183.00,3050.00,,,,,,,
河南省,1157.00,1013.00,5435.00,1261.00,1997.00,3908.00,3397.00,9451.00,2638.00,2441.00,,2339.00,2210.00,,,,,,,
湖北省,1196.00,1459.00,2838.00,3090.00,3893.00,3712.00,2727.00,3377.00,3973.00,3321.00,,3293.00,3060.00,,,,,,,
湖南省,3217.00,4540.00,5026.00,4185.00,4317.00,8826.00,6336.00,8772.00,7542.00,5994.00,,5827.00,5156.00,,,,,,,
广东省,17305.00,17446.00,19942.00,23721.00,24019.00,16552.00,15473.00,20726.00,23970.00,12398.00,,16586.00,24518.00,,,,,,,
广西壮族自治区,958.00,1380.00,1398.00,1226.00,484.00,1696.00,3210.00,4646.00,4768.00,2298.00,,1040.00,,,,,,,,
海南省,15633.00,6845.00,13012.00,5872.00,12252.00,5692.00,7744.00,6258.00,473.00,,,1108.00,1399.00,,,,,,,
重庆市,7671.00,6555.00,4970.00,6232.00,6144.00,3006.00,5372.00,3425.00,5377.00,9509.00,,1837.00,2580.00,,,,,,,
四川省,4586.00,3506.00,2660.00,4164.00,1379.00,6438.00,5306.00,4420.00,5264.00,2660.00,,12877.00,7848.00,,,,,,,
贵州省,4290.00,343.00,466.00,420.00,1156.00,406.00,634.00,444.00,201.00,378.00,,477.00,1479.00,,,,,,,
云南省,3651.00,5848.00,8765.00,3784.00,7160.00,7039.00,2882.00,6478.00,5569.00,3471.00,,5102.00,5125.00,,,,,,,
西藏自治区,47.00,306.00,42.00,249.00,24.00,84.00,380.00,926.00,112.00,476.00,,55.00,71.00,,,,,,,
陕西省,418.00,1494.00,1529.00,26.00,1302.00,1020.00,2340.00,979.00,784.00,1031.00,,2080.00,1665.00,,,,,,,
甘肃省,155.00,6.00,,,6.00,4.00,30.00,23.00,135.00,12.00,,624.00,279.00,,,,,,,
青海省,994.00,,22.00,12.00,4.00,,1547.00,1313.00,274.00,52.00,,,36.00,,,,,,,
宁夏回族自治区,1376.00,889.00,331.00,1620.00,379.00,46.00,307.00,514.00,987.00,326.00,,233.00,390.00,,,,,,,
新疆维吾尔自治区,5711.00,4656.00,7755.00,7580.00,5093.00,2332.00,1288.00,1157.00,1995.00,1649.00,,776.00,450.00,,,,,,,
数据来源：国家统计局
