数据库：分省年度数据
指标：房地产开发企业住宅竣工套数(套)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,200971.00,177942.00,156606.00,133039.00,152244.00,140934.00,116664.00,157692.00,176488.00,229293.00,,193270.00,170561.00,,,,,,,
天津市,219038.00,288327.00,183572.00,177568.00,172604.00,158315.00,139831.00,115080.00,108089.00,92943.00,,78954.00,69230.00,,,,,,,
河北省,303316.00,331497.00,381529.00,418562.00,306116.00,182511.00,138924.00,108258.00,109281.00,80008.00,,84787.00,57818.00,,,,,,,
山西省,148916.00,181251.00,131677.00,240524.00,92453.00,67771.00,65874.00,60594.00,51137.00,41739.00,,34321.00,34036.00,,,,,,,
内蒙古自治区,150505.00,186064.00,164962.00,195520.00,189598.00,196465.00,162029.00,159454.00,111455.00,69381.00,,47689.00,42867.00,,,,,,,
辽宁省,557811.00,564037.00,598299.00,595948.00,428648.00,384159.00,370523.00,296997.00,275528.00,221035.00,,182464.00,171514.00,,,,,,,
吉林省,156008.00,202505.00,195425.00,173541.00,194115.00,151685.00,154094.00,135282.00,86789.00,51558.00,,56079.00,69344.00,,,,,,,
黑龙江省,266432.00,276441.00,311229.00,318079.00,271255.00,191503.00,142572.00,138426.00,128994.00,111604.00,,74099.00,67905.00,,,,,,,
上海市,157460.00,145858.00,162169.00,154830.00,123869.00,141330.00,167891.00,236418.00,260838.00,234388.00,,168338.00,145510.00,,,,,,,
江苏省,625539.00,643446.00,667136.00,569392.00,566577.00,585908.00,582115.00,432559.00,378098.00,358885.00,,218232.00,193664.00,,,,,,,
浙江省,329661.00,258521.00,242386.00,252715.00,233294.00,230107.00,249654.00,226690.00,234348.00,249852.00,,192040.00,166785.00,,,,,,,
安徽省,359269.00,380896.00,301370.00,279577.00,224752.00,217388.00,192347.00,181428.00,153082.00,124704.00,,101500.00,90846.00,,,,,,,
福建省,232693.00,212573.00,147318.00,188878.00,161247.00,151456.00,121120.00,110972.00,96370.00,100085.00,,91302.00,89061.00,,,,,,,
江西省,135631.00,121444.00,127629.00,145004.00,141768.00,125249.00,116929.00,121447.00,120531.00,93500.00,,65383.00,45427.00,,,,,,,
山东省,546478.00,540876.00,553218.00,497106.00,391686.00,393249.00,357426.00,288086.00,284830.00,271853.00,,212253.00,170126.00,,,,,,,
河南省,520871.00,432585.00,439355.00,438967.00,337869.00,261673.00,215555.00,186682.00,108388.00,68728.00,,74297.00,63542.00,,,,,,,
湖北省,261049.00,229829.00,250207.00,264566.00,190906.00,187162.00,161710.00,158649.00,129462.00,85622.00,,91942.00,75684.00,,,,,,,
湖南省,274082.00,322402.00,337701.00,290536.00,238157.00,203953.00,162257.00,127595.00,109733.00,111987.00,,76655.00,58605.00,,,,,,,
广东省,467506.00,404602.00,492103.00,405551.00,382634.00,341874.00,337651.00,292060.00,292879.00,308993.00,,334499.00,302003.00,,,,,,,
广西壮族自治区,137760.00,128522.00,187628.00,215576.00,122273.00,110044.00,93060.00,92108.00,79175.00,95029.00,,41578.00,26699.00,,,,,,,
海南省,115559.00,60903.00,89764.00,50028.00,60747.00,44702.00,29063.00,18492.00,8360.00,9151.00,,8117.00,5911.00,,,,,,,
重庆市,295698.00,300754.00,396319.00,309859.00,231396.00,247352.00,198364.00,178967.00,154727.00,159226.00,,111026.00,92697.00,,,,,,,
四川省,396474.00,391683.00,442906.00,333379.00,330886.00,344033.00,261414.00,225422.00,232235.00,193114.00,,212712.00,171508.00,,,,,,,
贵州省,177448.00,117945.00,96924.00,90389.00,67681.00,88380.00,44799.00,45275.00,43573.00,46909.00,,46323.00,39767.00,,,,,,,
云南省,103660.00,131733.00,121134.00,100312.00,96736.00,110725.00,67952.00,60027.00,69360.00,54483.00,,39952.00,38679.00,,,,,,,
西藏自治区,2694.00,748.00,618.00,1313.00,1078.00,4071.00,3861.00,3572.00,2042.00,1014.00,,728.00,1027.00,,,,,,,
陕西省,183774.00,117950.00,135007.00,93960.00,75516.00,72470.00,72390.00,71596.00,59697.00,83459.00,,52682.00,54491.00,,,,,,,
甘肃省,64187.00,88749.00,66864.00,59619.00,48979.00,44261.00,45547.00,33585.00,33743.00,32494.00,,22149.00,21329.00,,,,,,,
青海省,44228.00,40394.00,31474.00,41008.00,23907.00,16001.00,18025.00,13004.00,9633.00,6959.00,,13024.00,11832.00,,,,,,,
宁夏回族自治区,77305.00,78533.00,85433.00,72941.00,73237.00,61540.00,49193.00,40040.00,40130.00,39062.00,,30740.00,15671.00,,,,,,,
新疆维吾尔自治区,147395.00,134123.00,144417.00,110876.00,87539.00,92626.00,100355.00,84746.00,56310.00,55465.00,,63999.00,65477.00,,,,,,,
数据来源：国家统计局
