数据库：分省年度数据
指标：房地产开发企业竣工房屋造价(元/平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3221.86,2930.00,3081.62,2805.88,2412.00,2406.00,2624.00,2388.87,2393.00,2153.00,1801.84,1781.00,1771.00,1849.88,1949.67,,,,,
天津市,2596.48,2670.00,2533.05,3153.29,3196.00,2734.00,2245.00,2595.56,2327.00,1406.00,2249.53,1317.00,971.00,1021.50,969.07,,,,,
河北省,2819.55,2703.00,2313.76,2474.82,2258.00,2099.00,1903.00,1647.41,1423.00,1216.00,1208.78,1089.00,1058.00,905.95,899.47,,,,,
山西省,3002.57,2182.00,2303.75,1856.88,1729.00,1864.00,1446.00,1480.50,1350.00,1375.00,1217.13,1127.00,1102.00,915.81,801.22,,,,,
内蒙古自治区,2677.76,2386.00,2144.15,2027.91,1926.00,1764.00,1453.00,1313.70,1120.00,1091.00,1020.55,862.00,887.00,871.27,797.45,,,,,
辽宁省,2519.08,2423.00,2403.61,2400.28,2159.00,1866.00,1673.00,1422.74,1336.00,1200.00,1171.17,1075.00,1039.00,986.64,931.16,,,,,
吉林省,2081.10,2225.00,2001.96,2032.47,1676.00,1442.00,1388.00,1154.67,1201.00,1086.00,1102.29,1154.00,1149.00,1084.16,968.67,,,,,
黑龙江省,2432.62,2190.00,1976.57,1659.76,1718.00,1628.00,1195.00,1404.48,1230.00,1089.00,1090.74,984.00,929.00,943.68,904.84,,,,,
上海市,4575.36,4670.00,4598.90,4795.98,4018.00,3353.00,2508.00,3073.80,3089.00,3058.00,3005.84,2991.00,2137.00,2118.05,2164.64,,,,,
江苏省,3095.66,3064.00,2789.19,2653.82,2653.00,2281.00,1877.00,1606.27,1502.00,1380.00,1252.72,1045.00,1001.00,989.65,921.33,,,,,
浙江省,3586.07,3259.00,2895.15,2764.49,2596.00,2221.00,2133.00,2040.27,1679.00,1625.00,1517.59,1487.00,1336.00,1244.08,1228.15,,,,,
安徽省,2725.35,2590.00,2409.15,2213.03,2244.00,1940.00,1617.00,1401.73,1235.00,1116.00,979.11,825.00,762.00,687.93,699.46,,,,,
福建省,2465.78,2420.00,2268.99,2013.17,1852.00,1600.00,1538.00,1382.13,1372.00,1268.00,1166.78,1113.00,1037.00,1113.51,1166.63,,,,,
江西省,2390.96,2158.00,2116.07,1827.64,1657.00,1425.00,1284.00,1006.44,867.00,839.00,766.37,742.00,663.00,644.05,654.06,,,,,
山东省,2293.50,2306.00,2140.77,2121.08,2124.00,2033.00,1737.00,1468.50,1279.00,1304.00,1167.30,1041.00,1027.00,934.00,893.98,,,,,
河南省,1935.35,1874.00,1804.06,1671.40,1424.00,1277.00,1335.00,1173.15,1100.00,1056.00,889.09,854.00,760.00,709.84,679.39,,,,,
湖北省,2792.36,2313.00,2676.80,2501.72,2222.00,2336.00,2017.00,1835.51,1608.00,1468.00,1074.17,1076.00,1029.00,977.28,820.74,,,,,
湖南省,2501.27,2519.00,2298.92,2097.21,1932.00,1840.00,1341.00,1332.37,1172.00,1030.00,915.44,976.00,952.00,863.77,717.14,,,,,
广东省,3595.00,3370.00,3272.19,2899.06,2805.00,2611.00,2588.00,2174.87,2142.00,1891.00,1809.79,1666.00,1669.00,1499.21,1617.75,,,,,
广西壮族自治区,2443.83,2282.00,2101.28,1706.73,1475.00,1419.00,1225.00,996.81,914.00,878.00,945.03,764.00,796.00,769.68,726.16,,,,,
海南省,5670.69,3904.00,4227.17,3236.33,2959.00,2600.00,2358.00,1805.13,1491.00,1846.00,1910.30,1673.00,1816.00,1563.27,1516.29,,,,,
重庆市,3344.29,3029.00,2810.98,2697.70,2467.00,2111.00,1699.00,1411.66,1415.00,1154.00,1008.20,938.00,912.00,853.91,903.68,,,,,
四川省,2697.87,2540.00,2247.09,2151.12,1872.00,1601.00,1310.00,1041.37,948.00,807.00,825.36,811.00,862.00,782.07,743.03,,,,,
贵州省,2200.60,2020.00,1965.29,1805.26,1613.00,1490.00,1197.00,958.48,943.00,878.00,930.80,833.00,658.00,698.45,720.02,,,,,
云南省,2910.73,2346.00,2254.28,2073.15,2150.00,1914.00,1612.00,1432.33,1431.00,1272.00,1049.20,1027.00,928.00,1119.29,1307.17,,,,,
西藏自治区,2850.86,3402.00,4073.42,2451.66,2225.00,1821.00,2201.00,2425.48,1620.00,1625.00,1453.42,1283.00,1530.00,882.90,669.11,,,,,
陕西省,2722.28,2849.00,2597.17,2623.20,2446.00,2443.00,1816.00,1677.12,1587.00,1587.00,1315.71,1214.00,971.00,974.17,800.56,,,,,
甘肃省,2149.44,2274.00,2106.64,2129.66,1828.00,1619.00,1303.00,1076.76,975.00,1125.00,1203.61,988.00,974.00,948.42,1012.92,,,,,
青海省,2863.31,2713.00,2592.31,2437.12,1862.00,1569.00,1596.00,1453.00,1311.00,1216.00,1160.41,972.00,998.00,869.19,997.76,,,,,
宁夏回族自治区,2486.76,2811.00,2253.84,2650.91,1873.00,1392.00,1271.00,1133.52,1021.00,1040.00,929.00,845.00,893.00,769.49,692.49,,,,,
新疆维吾尔自治区,2347.93,2108.00,2114.93,1631.95,1458.00,1482.00,1304.00,1158.72,1076.00,1131.00,1118.60,1151.00,1024.00,938.52,997.24,,,,,
数据来源：国家统计局
