数据库：分省年度数据
指标：房地产开发企业自开始建设至本年底累计完成投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,16381.85,14529.76,14048.98,11901.39,11136.25,9675.75,8099.70,7332.13,5851.97,4535.74,3327.45,2760.08,3030.59,2450.43,2043.88,,,,,
天津市,7914.28,7047.92,5453.82,4406.77,3287.38,2610.86,2616.27,1802.48,1226.24,1133.27,779.15,437.19,467.72,422.13,317.87,,,,,
河北省,11109.02,10074.32,7748.59,6144.66,4290.04,2505.07,1941.90,1272.17,850.72,547.34,427.01,409.48,273.85,228.00,190.64,,,,,
山西省,4449.43,3669.46,2691.89,1978.95,1434.71,987.91,738.13,591.77,464.65,322.54,258.15,199.98,144.58,102.34,80.45,,,,,
内蒙古自治区,5056.79,4443.26,3675.55,3016.32,2092.96,1474.34,1157.86,743.75,434.15,217.90,157.38,122.97,104.49,83.73,61.53,,,,,
辽宁省,19313.41,17852.63,14538.41,11320.56,8346.44,5556.42,4209.76,2839.69,2227.25,1381.71,1228.37,1002.34,808.62,675.47,495.18,,,,,
吉林省,4152.82,3916.69,3200.87,2568.50,1767.27,1142.94,1008.15,679.25,435.41,264.13,253.38,195.87,163.46,126.67,90.00,,,,,
黑龙江省,4576.63,3990.99,3180.91,2153.67,1434.82,1045.13,743.47,659.01,541.53,409.00,329.08,244.78,210.21,202.46,157.59,,,,,
上海市,14728.69,12403.51,12244.23,10243.65,8530.33,6642.47,6627.51,5744.80,4690.14,4377.12,4242.87,3040.75,2530.78,2311.99,1916.68,,,,,
江苏省,30606.82,25331.58,20955.54,16324.48,12808.76,10065.64,8779.33,6298.40,4422.54,3481.26,2339.20,1430.60,913.13,762.93,644.03,,,,,
浙江省,23757.74,19161.98,15151.48,11562.55,8420.28,6653.03,6300.25,5007.91,4237.70,3560.80,2720.05,1896.91,1412.99,1003.98,733.09,,,,,
安徽省,14762.45,12510.73,9509.16,7202.59,5908.60,4040.04,3022.54,1938.27,1347.37,845.28,691.90,407.48,281.05,194.45,153.14,,,,,
福建省,15139.07,12033.48,9316.19,7160.93,5319.92,3769.85,3345.61,2547.46,1677.17,1075.47,1138.69,864.72,697.39,651.94,587.47,,,,,
江西省,4689.81,3977.33,3193.95,2627.18,2204.83,1679.16,1374.75,939.87,730.77,546.12,390.58,288.68,153.25,110.97,70.65,,,,,
山东省,20855.66,17280.83,13936.97,10694.84,7947.60,5525.94,4741.22,3367.94,2472.66,1776.44,1386.63,1003.45,709.43,561.30,471.27,,,,,
河南省,12471.37,10066.25,7512.98,6250.33,4371.74,2956.55,2340.97,1619.86,1097.76,701.76,467.34,365.15,314.01,225.43,178.86,,,,,
湖北省,11769.24,9069.92,7069.42,5264.37,3430.07,2900.23,2349.79,1658.97,1252.94,749.21,860.86,585.73,533.13,394.20,375.36,,,,,
湖南省,10291.60,8495.93,6632.50,5104.85,3686.42,2712.91,2466.38,1718.79,1230.30,942.65,761.87,436.27,292.84,202.07,141.67,,,,,
广东省,30627.28,24855.00,20253.26,16258.05,12925.08,10241.73,9742.53,7334.99,5822.83,4923.21,4726.05,4046.14,3603.22,2930.65,2628.10,,,,,
广西壮族自治区,7044.48,6373.39,5311.15,4280.26,3016.16,2040.52,1771.04,1352.98,937.54,705.69,426.21,291.60,207.37,159.41,132.82,,,,,
海南省,4888.21,3563.34,2655.02,1763.39,1132.38,654.03,453.77,305.00,240.46,167.50,115.21,59.88,48.00,56.55,37.79,,,,,
重庆市,13353.27,10619.04,8447.05,6663.14,5080.88,3636.17,2888.72,2185.85,1640.95,1374.35,973.20,681.42,551.94,427.62,333.37,,,,,
四川省,13059.19,11580.46,9869.51,8256.71,6045.85,4623.46,3325.89,2675.27,1919.34,1271.03,803.75,725.26,591.10,454.99,327.89,,,,,
贵州省,6991.78,5298.96,3563.03,2203.05,1482.38,1026.49,855.74,612.15,443.20,346.38,270.28,218.48,166.46,130.86,93.85,,,,,
云南省,7539.46,5925.64,4103.25,3128.41,2262.83,1675.90,1182.88,898.68,663.32,476.40,333.64,250.11,232.63,201.42,177.50,,,,,
西藏自治区,73.26,28.31,33.56,30.61,26.56,30.19,24.23,22.99,19.07,8.66,7.86,2.82,2.93,1.60,0.98,,,,,
陕西省,7680.11,6045.79,5128.90,3565.25,2888.91,2114.35,1688.23,1148.73,834.75,536.79,419.10,347.18,267.97,251.87,166.72,,,,,
甘肃省,2191.61,1730.47,1247.11,827.87,653.96,495.87,458.84,335.89,249.65,217.09,169.11,98.65,71.28,57.99,89.18,,,,,
青海省,849.28,643.46,486.76,343.35,217.92,141.70,129.10,107.58,108.63,75.99,51.59,40.71,34.56,28.67,23.98,,,,,
宁夏回族自治区,1985.45,1493.60,1067.16,680.38,447.88,251.54,178.77,139.58,113.12,107.13,80.05,63.63,38.18,27.06,19.45,,,,,
新疆维吾尔自治区,2520.03,1867.21,1418.32,1005.29,650.23,452.31,376.71,273.11,192.23,165.44,185.04,173.26,141.60,141.04,75.38,,,,,
数据来源：国家统计局
