数据库：分省年度数据
指标：房地产开发企业商品房销售收入(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3126.39,,2455.12,2167.74,2463.04,2166.71,1731.03,2046.45,1806.88,1460.76,,792.33,648.05,513.99,310.51,,,,,
天津市,1343.18,,1102.70,872.61,859.06,656.00,429.19,495.68,443.52,271.88,,185.46,135.28,109.81,89.05,,,,,
河北省,1894.24,,1651.55,1197.16,1180.17,728.60,560.30,454.92,338.18,251.58,,120.14,93.32,83.70,71.93,,,,,
山西省,558.79,,437.08,330.66,263.01,215.61,181.34,158.92,113.25,93.91,,46.51,41.11,40.36,21.12,,,,,
内蒙古自治区,749.68,,828.69,888.38,797.45,731.42,533.50,374.10,211.20,166.33,,68.84,48.90,45.80,32.68,,,,,
辽宁省,2244.29,,2403.86,2217.79,2015.97,1519.38,1143.92,857.50,703.67,602.58,,351.85,276.30,240.86,215.64,,,,,
吉林省,766.81,,665.12,631.65,559.54,399.02,301.24,236.18,166.61,136.55,,78.38,86.55,59.81,40.17,,,,,
黑龙江省,852.59,,955.54,821.57,665.35,507.30,337.05,308.82,249.05,191.30,,117.71,103.31,89.96,221.17,,,,,
上海市,3589.68,,2649.28,2426.99,2660.44,2460.88,2084.26,2363.12,1969.57,1624.45,,1227.23,1024.73,700.94,556.63,,,,,
江苏省,7240.53,,5553.63,4844.92,5280.77,4651.11,3395.24,2092.99,1605.03,1175.87,,622.64,440.19,331.42,274.84,,,,,
浙江省,4863.95,,3235.99,2858.53,3126.49,2661.95,2167.40,1818.68,1390.87,1205.85,,805.40,549.47,380.94,292.56,,,,,
安徽省,2389.83,,1694.29,1481.97,1272.85,931.13,668.74,510.28,356.57,264.40,,153.09,97.55,74.70,65.17,,,,,
福建省,2526.89,,1695.45,1401.08,1205.94,1068.61,750.76,740.10,683.48,503.78,,286.96,192.79,147.79,147.21,,,,,
江西省,1211.29,,882.27,781.80,650.09,506.69,417.97,330.03,241.36,159.13,,81.51,58.53,41.75,28.10,,,,,
山东省,4528.43,,2925.42,2684.04,2675.38,1996.68,1640.95,1163.16,942.83,744.30,,415.30,268.20,200.85,152.40,,,,,
河南省,2424.74,,1513.36,1340.04,1167.64,872.19,677.21,593.90,388.72,267.50,,136.83,92.27,72.41,54.03,,,,,
湖北省,2316.28,,1600.23,1398.35,1035.52,803.15,649.19,481.06,303.38,266.75,,143.96,93.69,82.29,63.50,,,,,
湖南省,1837.78,,1300.57,1150.26,1081.27,764.55,569.67,457.95,327.46,249.23,,115.97,79.39,48.61,39.86,,,,,
广东省,6738.00,,4892.52,4320.79,3891.45,3809.90,2605.04,2931.46,2117.73,2017.19,,1328.78,1049.83,842.31,788.43,,,,,
广西壮族自治区,886.95,,718.88,681.31,619.32,540.20,361.34,340.33,251.07,181.52,,84.07,59.82,46.71,27.57,,,,,
海南省,565.82,,448.55,397.58,395.74,265.16,147.80,110.48,60.83,39.11,,18.19,11.95,8.89,5.82,,,,,
重庆市,2246.29,,1643.65,1498.62,1379.25,1041.91,764.69,691.67,414.25,316.46,,191.43,139.39,102.39,76.38,,,,,
四川省,2921.46,,2422.01,2108.05,2041.32,1363.88,937.48,908.06,644.51,430.92,,357.66,231.02,190.91,137.09,,,,,
贵州省,703.61,,515.71,463.08,924.71,216.09,152.49,157.62,102.20,100.40,,63.94,51.25,42.53,31.02,,,,,
云南省,1071.79,,791.43,649.58,699.65,506.98,332.93,296.86,304.70,198.44,,96.44,66.51,66.75,47.85,,,,,
西藏自治区,22.68,,10.13,7.90,8.23,8.35,9.05,16.29,11.17,3.70,,1.79,2.53,1.19,7.05,,,,,
陕西省,1332.69,,1286.88,1034.26,860.55,522.11,383.10,269.85,178.24,135.27,,78.39,56.60,52.77,30.99,,,,,
甘肃省,409.22,,282.15,209.07,180.89,122.11,117.20,86.43,70.78,74.82,,28.47,21.40,16.76,17.52,,,,,
青海省,145.58,,102.16,71.92,47.13,37.63,28.07,30.14,17.83,18.80,,11.23,6.70,6.30,4.72,,,,,
宁夏回族自治区,336.79,,266.13,257.72,174.88,141.10,115.05,83.90,67.02,59.23,,37.78,19.55,18.25,13.86,,,,,
新疆维吾尔自治区,688.82,,533.15,502.49,402.25,291.44,200.92,197.27,139.38,104.80,,105.42,99.62,67.67,31.95,,,,,
数据来源：国家统计局
