数据库：分省年度数据
指标：房地产开发企业其他收入(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,245.18,,178.54,175.27,143.32,133.83,102.39,57.06,40.42,32.35,,19.74,16.79,19.02,16.99,,,,,
天津市,123.53,,121.75,45.42,30.64,58.41,53.14,36.23,35.91,100.90,,18.57,25.48,16.79,18.61,,,,,
河北省,31.48,,23.52,23.26,14.22,15.39,12.72,6.27,4.36,5.68,,19.53,13.23,9.99,8.90,,,,,
山西省,35.21,,11.57,13.55,19.74,14.75,9.11,12.96,10.72,5.08,,6.65,4.42,5.23,2.38,,,,,
内蒙古自治区,25.43,,17.94,3.82,11.04,17.08,12.54,1.67,1.67,3.59,,0.90,1.24,1.18,0.20,,,,,
辽宁省,45.36,,41.73,37.47,22.89,14.06,13.68,9.71,10.31,6.66,,9.84,7.79,13.58,13.93,,,,,
吉林省,13.41,,8.85,4.97,2.49,1.98,1.64,2.07,1.97,2.41,,14.12,2.01,1.43,0.84,,,,,
黑龙江省,25.24,,21.42,13.88,9.11,4.77,5.31,12.67,2.54,1.98,,2.11,5.95,8.01,0.47,,,,,
上海市,199.31,,143.75,124.66,290.49,149.26,412.57,241.05,221.54,168.07,,189.53,189.71,166.63,174.40,,,,,
江苏省,165.97,,152.53,95.64,61.03,58.23,75.83,54.72,49.99,33.55,,13.38,9.29,10.58,12.47,,,,,
浙江省,82.40,,71.25,71.43,47.43,44.22,32.69,36.93,28.42,25.15,,20.13,19.81,10.29,5.03,,,,,
安徽省,79.69,,52.75,30.37,26.34,12.75,20.18,13.89,5.62,4.58,,9.28,31.58,11.56,3.62,,,,,
福建省,62.18,,45.36,39.91,26.13,40.59,35.62,56.11,36.51,24.96,,23.67,11.98,11.37,14.27,,,,,
江西省,27.01,,6.32,7.33,11.82,8.60,21.29,15.14,4.70,5.48,,1.27,4.37,1.64,1.13,,,,,
山东省,118.85,,134.49,69.81,57.84,57.03,58.31,32.98,45.64,32.31,,11.35,23.43,14.74,17.37,,,,,
河南省,24.02,,28.87,21.60,15.44,13.51,19.16,9.12,4.48,6.28,,4.80,12.51,7.04,4.28,,,,,
湖北省,88.35,,73.97,47.77,45.14,48.65,31.42,24.80,13.72,9.80,,10.99,7.54,6.76,5.58,,,,,
湖南省,57.04,,28.67,36.46,18.77,32.28,29.68,22.71,30.20,45.61,,5.38,7.68,11.01,1.32,,,,,
广东省,120.59,,138.90,152.86,139.43,162.89,235.63,202.81,176.37,171.19,,68.28,98.27,64.02,57.67,,,,,
广西壮族自治区,13.04,,23.89,7.65,15.31,16.12,7.44,4.06,3.01,2.58,,5.18,3.61,1.46,1.42,,,,,
海南省,19.93,,40.70,7.31,3.36,2.95,6.01,5.73,2.73,1.65,,3.53,3.45,2.26,3.59,,,,,
重庆市,88.43,,56.83,50.84,43.52,29.45,41.50,43.06,26.99,30.28,,47.47,30.37,13.51,12.34,,,,,
四川省,70.32,,60.80,71.74,47.93,59.30,32.33,54.97,30.35,80.63,,13.27,13.58,12.06,4.96,,,,,
贵州省,8.28,,22.33,25.52,3.14,2.56,2.18,7.15,3.25,1.43,,6.05,5.87,3.08,1.47,,,,,
云南省,47.48,,22.08,20.42,13.63,17.42,16.56,3.66,4.59,2.57,,4.63,2.06,1.76,1.78,,,,,
西藏自治区,0.03,,0.10,,2.78,1.11,0.26,0.03,0.05,0.01,,0.00,0.03,0.13,,,,,,
陕西省,37.85,,39.72,13.24,16.17,21.10,13.33,5.18,7.43,13.72,,4.13,5.24,4.07,1.55,,,,,
甘肃省,10.71,,9.47,5.88,4.75,10.93,3.52,2.55,3.00,1.14,,0.98,3.05,4.78,4.12,,,,,
青海省,4.76,,0.13,1.17,0.09,0.13,3.68,0.26,0.18,0.11,,0.41,0.53,0.41,0.84,,,,,
宁夏回族自治区,3.19,,7.47,0.52,1.18,1.52,1.03,0.37,0.11,0.11,,3.51,0.73,0.54,0.40,,,,,
新疆维吾尔自治区,18.44,,8.28,4.64,3.86,5.22,3.65,2.26,1.20,0.98,,0.84,0.73,0.96,2.04,,,,,
数据来源：国家统计局
