数据库：分省年度数据
指标：房地产开发企业资产总计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,43921.45,,34126.56,29892.16,26221.03,20400.70,17674.32,15185.07,12547.55,10305.67,,5703.85,4969.41,4122.69,3342.70,,,,,
天津市,20465.66,,15685.76,11204.36,10201.43,6154.71,5014.35,3546.23,2812.22,2021.39,,1118.57,977.83,599.02,595.56,,,,,
河北省,13425.34,,9007.44,7281.31,4811.26,3096.39,2510.19,1651.77,1189.31,931.76,,431.53,428.42,263.56,214.98,,,,,
山西省,6191.66,,3738.47,2874.86,1943.75,1558.27,1144.89,850.75,691.03,584.37,,288.57,240.07,195.63,103.44,,,,,
内蒙古自治区,6549.33,,5065.50,3632.73,3995.11,1603.05,1360.82,797.18,477.59,287.82,,155.76,123.83,88.53,63.71,,,,,
辽宁省,21307.06,,15722.10,13732.88,9936.17,7221.35,6023.88,4540.15,3221.21,2826.13,,1616.80,1363.34,1115.61,1004.96,,,,,
吉林省,4943.59,,3430.08,2620.83,2020.21,1283.66,1067.61,869.04,682.05,538.61,,304.29,290.11,182.43,147.44,,,,,
黑龙江省,10124.11,,7107.25,4347.00,2587.42,1861.39,1462.42,1153.24,934.63,763.87,,497.32,471.46,364.34,683.30,,,,,
上海市,41122.87,,32316.42,28986.07,26121.83,20799.41,19318.49,15349.03,14150.27,11959.52,,7024.40,5871.68,6279.05,5792.60,,,,,
江苏省,42842.86,,30590.01,25300.19,19791.32,14685.34,12666.38,9309.21,6939.31,5621.49,,2483.38,1586.73,1330.98,1201.82,,,,,
浙江省,35735.46,,31360.92,24189.73,18818.33,14679.64,11535.40,9249.22,7377.99,5912.96,,3236.27,2256.55,1642.48,1216.53,,,,,
安徽省,15468.29,,9883.72,7562.94,5430.65,4127.55,3157.33,2379.27,1639.41,1215.30,,587.73,453.29,293.18,247.13,,,,,
福建省,19530.88,,12537.67,10885.21,7794.93,6637.05,5449.53,4446.19,3540.56,2649.82,,1572.59,1221.06,1180.11,940.43,,,,,
江西省,7351.61,,4517.67,3784.11,2271.74,2143.24,1711.47,1306.65,952.91,709.63,,259.54,196.66,150.97,107.06,,,,,
山东省,27586.40,,18195.84,15242.56,11111.28,8606.69,6858.48,4736.18,3693.58,3030.14,,1480.75,1132.13,875.13,707.22,,,,,
河南省,14977.93,,8641.29,6516.87,4524.38,3362.09,2696.43,1966.56,1275.76,978.49,,551.04,459.56,305.18,301.88,,,,,
湖北省,15256.60,,9658.88,7578.88,5465.00,4168.15,3377.46,2427.71,2030.21,1610.80,,823.09,577.91,500.40,520.33,,,,,
湖南省,11221.21,,7315.62,5902.60,4329.02,3485.62,3297.38,2045.88,1794.07,1407.94,,675.19,418.96,303.30,213.19,,,,,
广东省,48418.38,,34725.32,28232.79,25053.16,20203.37,17961.23,15058.08,11856.34,9842.67,,6787.24,6138.54,5627.40,5212.77,,,,,
广西壮族自治区,8495.31,,5344.36,4363.59,3150.65,2631.18,2125.76,1554.73,1132.07,967.06,,417.09,309.64,237.92,235.87,,,,,
海南省,6807.80,,4438.19,3136.17,2017.48,1186.48,1401.27,651.65,536.70,351.11,,170.28,175.21,159.05,143.64,,,,,
重庆市,20260.16,,13117.33,9932.69,6937.95,5309.50,4049.09,3071.80,2335.92,1858.54,,1296.89,1070.03,845.89,681.49,,,,,
四川省,18644.44,,12794.70,10634.59,7732.52,6294.65,5802.43,3903.72,2821.73,2738.73,,1211.53,941.24,796.53,636.87,,,,,
贵州省,7165.35,,4228.85,3023.60,2791.76,1690.19,1293.06,1002.21,676.16,529.55,,332.23,266.42,188.26,151.35,,,,,
云南省,12063.66,,6954.93,5108.10,3217.46,2566.81,2175.13,1208.46,887.71,637.28,,312.72,229.39,262.53,245.91,,,,,
西藏自治区,96.20,,48.83,43.98,76.32,44.71,36.45,31.45,37.06,17.03,,4.89,2.50,3.07,2.45,,,,,
陕西省,8549.35,,5214.98,3758.94,2799.10,2000.98,1796.26,1276.09,957.93,749.33,,448.67,331.00,277.85,179.87,,,,,
甘肃省,2835.62,,1664.41,1174.05,866.84,625.11,540.57,448.64,317.10,330.73,,193.58,141.06,112.54,87.17,,,,,
青海省,1150.69,,606.88,479.46,352.78,281.35,225.60,168.25,148.75,120.66,,32.13,18.87,19.02,26.27,,,,,
宁夏回族自治区,2413.66,,1561.49,1178.34,837.09,587.60,402.28,315.53,244.77,209.12,,121.48,85.30,59.50,44.81,,,,,
新疆维吾尔自治区,3826.99,,2257.19,1757.83,1259.16,888.00,697.62,578.30,496.08,486.14,,347.08,294.93,184.66,133.24,,,,,
数据来源：国家统计局
