数据库：分省年度数据
指标：房地产开发企业外商直接投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,7.78,11.60,4.22,2.60,13.41,24.99,24.93,19.02,23.40,29.25,22.90,10.00,13.28,15.18,29.21,,,,,
天津市,1.38,10.45,0.38,7.85,5.79,9.05,12.98,17.66,3.09,2.72,3.83,3.05,2.41,1.90,1.93,,,,,
河北省,23.43,9.98,10.93,14.52,0.50,,3.47,0.95,0.64,3.20,0.61,2.37,0.28,1.32,0.77,,,,,
山西省,,,0.03,,,,0.32,0.62,0.06,0.05,0.51,0.10,0.22,0.11,0.38,,,,,
内蒙古自治区,,,,,0.16,,,0.05,0.00,,0.00,0.04,0.12,0.10,0.19,,,,,
辽宁省,61.82,47.88,105.03,157.23,140.69,90.37,105.29,81.61,22.27,6.90,4.41,4.64,3.50,3.58,4.52,,,,,
吉林省,,2.00,1.89,4.77,0.04,0.41,,0.15,1.80,0.22,0.08,0.05,0.49,1.35,0.50,,,,,
黑龙江省,2.70,,0.02,2.65,1.50,2.59,1.11,1.87,2.31,3.53,4.88,0.41,0.62,0.04,1.05,,,,,
上海市,67.73,37.32,26.12,33.92,65.52,22.71,67.48,65.41,51.30,15.22,14.21,17.18,21.47,15.88,16.25,,,,,
江苏省,79.33,101.78,54.79,80.22,86.60,54.72,105.19,81.92,17.86,20.85,9.43,6.22,8.63,2.59,4.14,,,,,
浙江省,71.61,46.25,15.60,39.53,19.13,14.42,27.47,16.27,28.44,5.50,6.34,4.56,2.70,1.80,1.58,,,,,
安徽省,2.78,1.00,1.39,2.00,5.55,15.45,17.57,10.87,5.28,4.96,3.16,1.50,0.98,1.19,1.73,,,,,
福建省,23.32,21.43,7.41,15.23,15.23,13.59,39.54,8.83,9.64,11.82,13.89,11.92,16.53,13.52,22.99,,,,,
江西省,0.39,0.82,0.65,6.46,2.90,3.70,2.13,5.19,2.42,2.56,6.67,6.11,5.87,4.44,3.30,,,,,
山东省,13.80,31.69,15.91,20.72,16.18,10.17,16.45,12.69,11.42,4.24,5.45,6.78,4.01,2.63,2.86,,,,,
河南省,0.67,0.27,1.03,6.69,1.71,2.31,13.83,8.15,6.84,1.45,3.80,0.89,0.22,0.35,0.72,,,,,
湖北省,19.63,,1.22,36.25,92.92,15.15,9.70,13.46,12.39,0.13,1.34,1.21,0.97,0.60,0.85,,,,,
湖南省,1.48,38.25,49.15,64.89,1.43,1.90,4.85,9.66,5.27,2.75,6.34,6.03,2.57,1.87,0.69,,,,,
广东省,57.07,31.87,26.59,59.50,72.77,44.42,56.04,61.00,40.83,26.00,23.37,23.28,30.83,31.58,33.56,,,,,
广西壮族自治区,0.21,0.62,,3.18,7.24,2.41,4.09,0.98,0.13,1.83,4.15,1.99,1.72,0.99,1.11,,,,,
海南省,0.56,0.00,7.37,4.71,0.71,24.20,14.04,0.92,20.81,1.13,0.57,0.47,1.15,1.69,0.02,,,,,
重庆市,113.08,44.13,7.42,55.68,83.57,35.92,40.90,12.24,2.13,10.69,3.99,4.12,2.86,1.05,1.37,,,,,
四川省,31.75,22.33,14.71,64.51,30.99,9.06,59.75,48.46,26.95,15.07,0.49,0.65,1.76,0.86,1.40,,,,,
贵州省,3.05,,4.29,4.44,0.72,0.15,0.99,2.24,3.94,0.18,0.16,0.70,0.15,0.16,0.34,,,,,
云南省,15.35,,,0.27,,0.40,4.30,0.96,0.43,0.20,0.00,1.04,0.04,0.03,2.66,,,,,
西藏自治区,,,,,,,,,,,0.00,,,,,,,,,
陕西省,,7.44,2.40,0.20,5.62,5.23,2.30,3.63,3.31,0.94,1.55,0.44,0.35,0.83,0.14,,,,,
甘肃省,,,,,,,0.32,,0.01,,0.22,0.03,0.08,0.14,0.24,,,,,
青海省,,,,1.53,2.32,,,,,0.04,0.00,0.36,0.32,0.22,0.31,,,,,
宁夏回族自治区,,,,,0.25,,,0.59,0.09,,0.21,0.13,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,0.00,,,0.13,0.02,,,,,
数据来源：国家统计局
