数据库：分省年度数据
指标：固定资产投资(不含农户)其他费用(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2797.21,2676.83,2402.29,2372.13,2535.10,2127.90,1409.16,1327.98,1049.59,843.99,750.30,670.75,,,,,,,,
天津市,1639.85,1498.61,1538.70,1388.28,1313.10,973.82,664.98,459.85,321.06,245.73,212.60,183.15,,,,,,,,
河北省,3081.42,2544.14,2044.01,1944.01,1835.80,1399.70,1012.55,777.13,567.23,423.53,325.04,249.62,,,,,,,,
山西省,1211.86,1170.83,1000.73,877.06,791.60,678.84,364.97,285.80,214.66,158.61,130.38,116.73,,,,,,,,
内蒙古自治区,1071.18,910.51,833.42,727.58,866.80,684.49,524.60,378.21,285.01,227.17,157.74,131.88,,,,,,,,
辽宁省,1843.43,2338.04,2825.31,2334.58,1853.70,1318.22,1126.29,940.84,797.28,623.09,418.22,336.64,,,,,,,,
吉林省,837.38,787.22,899.67,768.56,727.90,623.60,535.70,455.97,329.36,183.90,119.76,101.91,,,,,,,,
黑龙江省,581.82,622.41,758.34,747.52,715.00,507.55,413.47,301.03,240.08,193.45,169.48,132.49,,,,,,,,
上海市,1678.35,1419.77,1210.80,1204.06,1305.20,1234.17,1307.41,1049.40,1003.63,818.95,762.27,612.95,,,,,,,,
江苏省,4539.00,4257.84,3981.08,3633.02,3005.70,2203.91,1980.47,1638.65,1258.00,1066.18,846.07,783.38,,,,,,,,
浙江省,5806.61,5136.83,4443.95,3302.56,2328.00,1858.00,1626.95,1553.54,1243.46,1052.51,964.64,928.50,,,,,,,,
安徽省,1723.46,1868.50,1868.32,1782.01,1620.60,1205.14,944.33,749.55,501.16,386.11,295.90,192.98,,,,,,,,
福建省,2846.13,2349.43,2128.38,1923.57,1992.00,1227.39,1002.13,1025.06,758.25,443.55,291.13,226.79,,,,,,,,
江西省,1539.11,1311.82,1261.39,1125.84,1139.70,823.45,559.36,378.18,314.39,251.46,182.20,130.38,,,,,,,,
山东省,3793.31,3570.37,3612.13,2884.25,2607.80,1942.06,1608.36,1239.51,1061.18,859.00,614.89,516.51,,,,,,,,
河南省,3061.43,2786.04,2598.16,2079.05,1714.00,1065.11,839.58,608.45,528.91,394.39,309.28,245.79,,,,,,,,
湖北省,2341.87,2437.51,2184.33,2009.99,1617.80,1277.02,876.82,721.56,544.47,459.06,389.67,336.93,,,,,,,,
湖南省,2921.14,2487.39,2321.62,1879.20,1585.10,1158.65,759.37,660.32,467.33,362.34,277.32,210.66,,,,,,,,
广东省,4199.11,3638.96,3099.93,2799.96,2347.10,1769.19,1542.62,1304.99,966.18,923.41,889.24,768.84,,,,,,,,
广西壮族自治区,1304.92,1263.24,1346.15,1295.71,1185.80,951.97,637.64,512.15,357.51,242.59,193.21,141.41,,,,,,,,
海南省,538.18,579.90,294.47,201.12,184.70,120.22,91.89,63.11,61.11,39.49,41.33,32.70,,,,,,,,
重庆市,2130.28,1880.06,1623.66,1315.43,1359.10,1056.92,766.34,673.79,556.64,433.36,329.38,223.72,,,,,,,,
四川省,2735.70,2330.98,2055.50,1905.31,1803.40,1618.75,1335.36,1154.35,880.58,662.27,470.84,394.34,,,,,,,,
贵州省,1198.08,1124.23,1143.45,744.60,669.90,370.90,341.36,269.66,217.89,159.81,139.95,112.36,,,,,,,,
云南省,1596.11,1568.42,1265.32,956.09,916.20,806.56,608.76,486.23,343.85,284.81,179.10,140.91,,,,,,,,
西藏自治区,39.50,31.86,28.21,12.43,11.00,13.32,2.81,2.33,4.25,7.81,4.60,2.95,,,,,,,,
陕西省,1337.59,1206.21,1106.09,1063.07,1158.60,858.80,621.46,446.78,350.95,278.55,206.01,161.90,,,,,,,,
甘肃省,465.68,536.14,446.50,367.86,284.10,243.34,196.56,163.36,105.61,78.57,64.84,60.28,,,,,,,,
青海省,159.22,171.62,148.56,101.25,69.50,78.89,49.74,41.51,31.43,26.49,27.99,18.91,,,,,,,,
宁夏回族自治区,185.01,202.27,173.62,132.59,129.30,107.77,74.77,66.93,58.02,45.00,41.32,31.13,,,,,,,,
新疆维吾尔自治区,542.46,480.87,425.17,336.73,282.80,252.89,207.13,185.68,157.11,120.15,112.54,99.26,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
