数据库：分省年度数据
指标：办公楼商品房平均销售价格(元/平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,26266.00,23426.00,22114.18,23701.64,23413.00,16857.00,16554.00,15151.61,13554.71,13517.04,10725.86,10645.00,13167.00,12391.00,12563.00,,,,,
天津市,16972.00,11441.00,13349.03,8906.90,13855.00,11134.00,9783.00,7411.77,6170.54,5021.83,5552.42,6287.00,3600.00,4269.00,4389.00,,,,,
河北省,6457.00,7785.00,6731.56,6900.44,4680.00,4145.00,3692.00,4922.41,3666.94,4752.13,2539.89,2288.00,1356.00,1656.00,1834.00,,,,,
山西省,13220.00,9570.00,7834.57,7091.94,5489.00,5073.00,6115.00,4102.69,4315.43,4908.38,3918.22,4085.00,3013.00,2182.00,3064.00,,,,,
内蒙古自治区,6391.00,7582.00,6037.96,6673.05,6229.00,5682.00,4822.00,3204.41,2947.15,2993.27,1541.70,1302.00,1279.00,2013.00,1790.00,,,,,
辽宁省,5823.00,6779.00,9647.06,5867.43,8106.00,6207.00,4783.00,4725.94,5446.01,3841.81,3262.03,3363.00,4015.00,2903.00,4007.00,,,,,
吉林省,7015.00,6484.00,7990.34,8346.31,3278.00,3079.00,3256.00,3650.07,2974.62,3044.99,2227.84,2361.00,1537.00,2157.00,2125.00,,,,,
黑龙江省,7799.00,7090.00,5698.40,4850.22,4274.00,4142.00,2804.00,2613.09,3449.20,4119.15,3349.74,3025.00,2801.00,2744.00,2947.00,,,,,
上海市,24978.00,23623.00,20999.59,25996.80,18888.00,21598.00,11783.00,14223.40,12077.99,11866.80,9654.76,9711.00,8343.00,9501.00,9223.00,,,,,
江苏省,8798.00,7617.00,9049.30,9634.65,7962.00,6895.00,5906.00,7190.32,5246.64,5215.68,5194.69,4136.00,3547.00,3267.00,2988.00,,,,,
浙江省,11118.00,13917.00,12742.74,11903.22,11033.00,8674.00,9716.00,7748.68,7148.06,5892.76,5422.52,3525.00,3929.00,3529.00,2643.00,,,,,
安徽省,6827.00,7276.00,7420.42,6779.73,6208.00,4327.00,4596.00,3997.69,3571.56,3662.94,3097.40,2212.00,1462.00,1687.00,1692.00,,,,,
福建省,11131.00,13723.00,12117.39,10354.30,8732.00,6273.00,5386.00,4734.14,5377.46,4293.36,3073.77,2899.00,2674.00,2561.00,2617.00,,,,,
江西省,9085.00,9083.00,10643.66,9138.50,8256.00,4566.00,2840.00,3288.68,2379.26,2892.71,1306.00,2028.00,1342.00,1642.00,850.00,,,,,
山东省,9686.00,9305.00,8696.32,7696.95,6606.00,7379.00,5601.00,6430.43,6816.89,5848.14,5099.97,2150.00,3307.00,3307.00,2704.00,,,,,
河南省,9049.00,9110.00,8820.36,9303.08,8276.00,4511.00,4367.00,3590.17,3456.38,3058.55,2462.42,2081.00,2572.00,1840.00,1996.00,,,,,
湖北省,10470.00,8384.00,12282.03,8088.60,5534.00,4419.00,5122.00,4608.00,3992.36,2665.16,3172.63,2476.00,1847.00,2069.00,2295.00,,,,,
湖南省,9881.00,11019.00,9696.84,8549.91,3742.00,4141.00,4212.00,3719.00,3061.08,2794.10,2781.62,2015.00,1689.00,1722.00,1258.00,,,,,
广东省,18605.00,20792.00,20497.63,17213.05,15238.00,13602.00,10554.00,12529.27,9893.41,8315.74,5713.35,5281.00,5258.00,6627.00,8108.00,,,,,
广西壮族自治区,9854.00,13483.00,15658.07,8007.40,7828.00,6321.00,4959.00,3181.88,4272.20,4132.18,3187.23,2170.00,2756.00,2396.00,2521.00,,,,,
海南省,23109.00,23490.00,4970.78,9582.49,6446.00,4950.00,5831.00,5791.80,3197.38,2719.94,3022.89,3914.00,3000.00,1053.00,3080.00,,,,,
重庆市,11147.00,11370.00,11494.76,11687.32,9537.00,5175.00,4667.00,4186.62,3301.94,2407.84,2486.19,2478.00,2387.00,2622.00,2227.00,,,,,
四川省,7765.00,9783.00,8955.03,9723.23,8845.00,5590.00,5688.00,5134.60,3420.95,3405.75,2549.94,1725.00,2161.00,2469.00,2286.00,,,,,
贵州省,6782.00,7314.00,8158.17,6041.22,5228.00,4605.00,3672.00,4261.90,3760.35,3213.06,1964.56,2553.00,2721.00,1851.00,2353.00,,,,,
云南省,11878.00,9083.00,7876.14,5259.51,6732.00,5472.00,4860.00,4350.55,3159.32,2181.93,3087.42,2572.00,2883.00,2162.00,2135.00,,,,,
西藏自治区,13643.00,5155.00,5328.00,,,,10000.00,,,,,,,1200.00,,,,,,
陕西省,9213.00,7411.00,8092.53,8671.79,5516.00,5123.00,5571.00,4232.53,4128.85,3587.21,3961.38,4111.00,3431.00,3466.00,1525.00,,,,,
甘肃省,8561.00,8530.00,6956.59,7771.87,3795.00,4551.00,2899.00,2220.79,3048.18,2770.80,2377.16,2356.00,2023.00,1450.00,2069.00,,,,,
青海省,8202.00,5862.00,6518.69,1750.17,2193.00,3581.00,3271.00,3075.00,2511.52,2765.62,2484.55,2126.00,1311.00,2174.00,3770.00,,,,,
宁夏回族自治区,7259.00,7962.00,5065.43,7254.17,5278.00,5110.00,3726.00,3191.74,2739.30,3428.94,3505.02,2701.00,2953.00,1969.00,1958.00,,,,,
新疆维吾尔自治区,8399.00,9006.00,9382.88,7433.20,8989.00,6631.00,5184.00,4193.55,3371.68,2708.26,3212.18,4587.00,2861.00,2887.00,3306.00,,,,,
数据来源：国家统计局
