数据库：分省年度数据
指标：办公楼商品房销售面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,136.80,317.93,253.50,211.24,208.15,255.77,139.37,265.67,260.38,184.67,92.50,38.12,44.02,49.82,41.23,,,,,
天津市,21.10,23.49,28.17,67.14,35.29,29.55,29.30,42.95,37.08,43.47,16.88,15.72,6.94,5.45,3.44,,,,,
河北省,75.54,78.00,74.78,59.24,39.20,19.05,2.69,7.74,19.29,15.86,6.59,11.01,14.62,5.34,1.81,,,,,
山西省,23.89,15.30,9.54,14.28,10.76,8.35,13.45,11.78,3.65,15.85,6.58,16.94,8.75,5.62,3.18,,,,,
内蒙古自治区,42.50,53.31,36.56,38.50,29.88,27.61,39.65,42.86,18.29,19.63,9.35,9.72,5.00,3.89,5.35,,,,,
辽宁省,71.20,53.61,79.15,52.42,64.71,30.14,35.87,19.12,24.10,16.14,14.48,25.96,20.69,27.15,20.29,,,,,
吉林省,11.83,21.25,14.75,9.97,7.75,9.71,15.67,9.49,21.47,14.79,9.35,12.26,8.33,2.32,4.45,,,,,
黑龙江省,15.34,24.84,24.26,7.91,8.38,19.42,8.95,11.44,20.47,29.01,15.54,14.66,13.14,18.25,10.68,,,,,
上海市,120.28,161.22,111.73,141.11,162.89,203.00,146.94,150.93,139.05,97.89,80.21,45.18,42.35,40.98,47.76,,,,,
江苏省,210.69,286.81,200.83,219.87,209.88,190.81,105.34,133.46,114.30,119.10,52.51,60.78,37.19,34.75,35.58,,,,,
浙江省,185.22,218.29,188.75,216.49,272.11,200.65,129.55,157.18,121.63,111.39,81.96,61.94,70.43,56.67,48.93,,,,,
安徽省,111.10,94.98,62.00,93.69,87.28,49.54,31.02,42.42,33.18,23.63,36.10,22.83,16.76,14.71,12.82,,,,,
福建省,181.01,211.42,150.83,109.17,82.20,32.94,66.52,80.19,41.03,21.05,21.88,34.64,31.19,33.31,41.74,,,,,
江西省,42.75,56.46,47.56,21.28,19.02,9.21,4.97,4.43,2.42,8.75,8.82,6.09,6.75,7.82,3.57,,,,,
山东省,185.53,189.29,135.38,71.40,82.47,62.21,56.63,50.35,41.58,37.55,41.42,24.93,24.55,24.25,21.40,,,,,
河南省,181.67,205.44,126.49,149.18,60.79,65.94,43.13,64.88,19.57,24.85,8.17,9.63,5.51,8.76,5.52,,,,,
湖北省,65.91,92.76,69.75,35.68,24.19,14.10,11.58,12.03,20.03,28.98,19.94,16.45,15.96,15.94,13.98,,,,,
湖南省,49.47,78.72,64.25,51.62,29.27,23.59,22.08,32.88,20.46,24.00,21.88,11.84,13.79,3.04,2.64,,,,,
广东省,230.45,256.86,141.47,140.73,163.03,94.32,92.87,118.19,125.49,107.76,42.35,53.53,49.66,42.77,40.46,,,,,
广西壮族自治区,29.91,32.06,9.60,17.50,18.58,12.45,10.36,25.78,18.38,8.78,6.14,16.19,3.93,1.63,1.38,,,,,
海南省,5.48,2.08,4.04,6.10,5.47,3.95,1.34,5.13,0.89,1.92,0.52,2.17,0.25,1.47,1.29,,,,,
重庆市,98.15,68.67,62.30,43.88,62.60,29.15,34.87,39.20,31.30,32.58,29.14,32.00,25.60,23.47,20.08,,,,,
四川省,141.03,114.22,157.37,85.43,83.84,62.95,32.44,44.65,31.11,33.17,20.37,26.50,35.68,28.87,20.39,,,,,
贵州省,84.08,100.02,14.88,27.03,26.27,20.12,10.26,18.11,13.86,19.70,10.57,10.57,5.42,7.99,3.11,,,,,
云南省,66.50,51.33,90.87,41.93,21.50,22.97,22.07,11.60,20.97,10.33,3.12,5.54,3.60,6.98,5.69,,,,,
西藏自治区,1.59,0.77,0.43,,,,0.04,,,,,,,0.01,,,,,,
陕西省,47.48,44.83,65.97,37.53,40.04,19.72,30.51,34.31,14.23,10.48,13.39,16.06,13.75,17.86,11.70,,,,,
甘肃省,13.00,5.90,2.97,8.05,5.67,6.48,3.63,6.20,5.85,10.12,5.90,2.57,6.20,3.67,4.43,,,,,
青海省,8.10,0.69,0.21,1.47,1.00,1.38,0.94,1.60,1.87,8.73,4.95,4.14,1.08,0.08,0.37,,,,,
宁夏回族自治区,8.83,5.74,6.82,9.27,15.40,11.80,6.62,9.77,1.98,8.65,3.52,7.24,3.88,5.61,2.23,,,,,
新疆维吾尔自治区,39.01,17.04,18.47,15.86,12.35,7.56,8.36,10.87,7.14,7.40,8.70,15.30,3.88,4.11,1.46,,,,,
数据来源：国家统计局
