数据库：分省年度数据
指标：其他商品房销售面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,101.37,118.98,92.90,84.31,87.92,68.97,52.16,44.61,33.57,27.70,33.50,35.78,27.02,10.26,11.31,,,,,
天津市,40.63,51.68,49.95,35.43,72.98,38.17,12.50,12.40,27.30,21.39,1.35,21.25,1.04,0.13,0.98,,,,,
河北省,171.25,172.89,130.97,169.91,88.69,39.28,21.50,17.00,12.87,10.19,15.14,8.20,4.81,1.41,2.81,,,,,
山西省,37.36,27.15,18.41,17.48,14.92,8.60,11.89,3.79,2.33,6.52,3.76,1.46,1.55,2.57,0.31,,,,,
内蒙古自治区,148.76,148.67,112.58,175.04,104.37,57.37,40.19,35.32,13.09,9.14,4.80,4.19,2.35,2.67,1.04,,,,,
辽宁省,228.74,364.93,317.48,281.46,212.21,87.17,56.08,45.35,50.57,25.34,31.53,19.25,8.67,15.46,9.71,,,,,
吉林省,43.99,50.46,58.75,61.21,48.72,37.09,26.94,14.39,10.24,6.72,6.04,6.53,4.87,1.27,2.92,,,,,
黑龙江省,89.38,114.67,145.48,116.72,92.15,54.13,31.64,35.60,22.60,27.32,23.84,11.43,8.12,9.43,6.14,,,,,
上海市,80.61,88.71,74.10,59.49,81.51,114.92,67.47,66.47,82.35,65.09,46.21,28.70,8.80,17.64,9.70,,,,,
江苏省,146.97,158.97,131.04,131.71,174.99,154.71,107.07,105.58,75.00,53.23,55.04,36.84,31.26,15.40,25.11,,,,,
浙江省,216.24,226.66,167.68,189.40,251.38,216.49,142.20,170.72,120.26,105.87,85.80,90.33,70.29,45.19,30.50,,,,,
安徽省,78.18,90.54,62.97,41.58,35.50,35.92,20.07,22.27,16.72,17.33,10.66,15.62,13.73,4.57,1.72,,,,,
福建省,327.44,264.75,156.27,200.40,177.81,148.20,214.83,90.00,95.33,51.47,37.95,26.81,18.54,21.84,15.30,,,,,
江西省,53.10,50.53,34.19,46.56,34.15,42.93,22.52,20.26,15.59,11.83,19.32,10.70,8.60,4.78,3.52,,,,,
山东省,347.41,240.11,197.76,159.44,155.57,91.74,103.25,37.55,28.96,27.93,26.54,20.73,27.62,17.95,18.99,,,,,
河南省,134.30,98.37,88.54,74.37,52.51,33.55,18.72,33.75,10.12,5.45,5.91,5.47,8.66,6.18,6.26,,,,,
湖北省,110.22,81.72,91.13,81.74,63.13,21.01,29.85,16.92,16.04,34.35,18.70,9.63,4.16,6.16,2.97,,,,,
湖南省,114.44,118.54,92.18,89.17,52.77,46.60,32.26,18.50,11.27,21.68,14.26,10.50,3.30,2.70,3.06,,,,,
广东省,430.70,314.96,239.32,259.99,234.01,148.78,148.81,153.73,83.69,107.75,88.69,60.85,46.86,45.66,46.44,,,,,
广西壮族自治区,76.08,63.28,52.87,74.65,59.99,37.86,31.01,21.21,11.56,16.05,10.46,8.00,6.11,5.37,2.73,,,,,
海南省,8.12,9.21,9.22,14.86,1.15,0.59,0.76,0.17,0.32,0.39,,0.24,0.29,0.10,0.12,,,,,
重庆市,230.07,145.67,133.10,159.89,71.23,45.37,40.86,33.97,32.82,14.80,28.30,15.94,15.12,6.96,7.70,,,,,
四川省,263.48,224.60,180.70,230.67,169.49,95.29,43.73,52.26,37.15,23.57,28.69,12.68,12.08,11.15,5.01,,,,,
贵州省,49.20,26.32,25.11,31.72,27.20,15.98,3.21,5.39,4.33,3.24,2.99,2.99,2.09,1.82,1.08,,,,,
云南省,180.67,116.79,79.67,99.04,96.38,34.57,25.78,31.91,33.45,13.24,7.89,3.22,3.27,4.59,7.74,,,,,
西藏自治区,,,,0.01,,,0.03,,,,,,,0.22,,,,,,
陕西省,72.04,50.43,34.45,31.36,14.83,6.15,5.53,7.96,6.32,1.82,2.61,2.44,5.29,9.13,5.46,,,,,
甘肃省,18.98,15.59,18.13,10.33,5.33,2.14,3.86,4.36,3.21,3.96,0.49,0.70,0.10,0.27,0.92,,,,,
青海省,4.57,0.90,0.41,0.71,0.41,0.79,0.18,0.34,0.66,0.28,0.19,0.75,2.54,0.15,0.20,,,,,
宁夏回族自治区,48.82,11.66,7.12,17.35,13.86,6.77,3.05,3.60,2.75,1.99,5.74,2.17,0.55,1.08,0.54,,,,,
新疆维吾尔自治区,25.24,27.60,20.72,18.69,8.11,6.51,8.42,3.62,4.85,5.16,2.22,1.80,0.76,2.32,0.28,,,,,
数据来源：国家统计局
