数据库：分省年度数据
指标：商品房销售面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1454.19,1903.11,1943.74,1439.20,1639.53,2362.25,1335.37,2176.57,2607.62,3123.42,2472.03,1895.80,1708.30,1204.96,956.90,,,,,
天津市,1612.98,1847.11,1661.69,1594.57,1514.52,1590.02,1252.04,1548.59,1458.60,1408.37,847.03,786.50,564.00,537.48,391.76,,,,,
河北省,5706.19,5675.95,5144.92,5888.33,4662.10,2966.61,2231.84,2067.79,1817.94,1408.74,864.85,939.43,658.85,596.57,489.44,,,,,
山西省,1576.27,1642.82,1497.88,1284.78,1180.59,1034.20,994.71,913.55,791.46,688.75,399.13,359.60,299.05,234.84,190.64,,,,,
内蒙古自治区,2457.18,2737.70,2523.52,3509.09,3057.38,2581.68,2396.37,2087.67,1428.97,1078.80,653.96,547.97,422.13,365.99,293.84,,,,,
辽宁省,5754.81,9292.33,8827.95,7541.48,6800.45,5375.52,4091.16,3830.43,3006.61,2564.48,1748.78,1499.08,1277.46,1166.06,948.67,,,,,
吉林省,1581.72,2214.96,2452.42,2432.61,2382.10,1944.30,1583.87,1292.39,974.91,830.91,401.88,501.14,518.28,385.13,309.34,,,,,
黑龙江省,2475.74,3339.95,3806.82,3432.84,2720.95,2016.98,1486.57,1709.25,1482.71,1242.81,857.15,814.64,692.47,594.64,499.85,,,,,
上海市,2084.66,2382.20,1898.46,1790.86,2060.96,3372.45,2339.29,3694.96,3025.40,3158.87,3300.82,2376.40,1971.50,1796.64,1557.87,,,,,
江苏省,9846.84,11454.77,9019.18,7970.49,9485.47,10248.20,6091.86,7598.48,6101.15,5135.55,3178.91,2721.57,2321.85,1904.16,1740.93,,,,,
浙江省,4676.83,4886.99,4005.29,3531.36,4816.53,5538.13,2992.20,4541.97,3544.96,3305.84,2794.25,2781.84,2219.30,1801.45,1502.23,,,,,
安徽省,6202.18,6265.35,4828.81,4605.58,4154.26,4030.92,2785.83,3083.39,2307.83,1907.21,1429.24,1093.27,794.82,679.58,535.86,,,,,
福建省,4119.48,4676.16,3258.94,2706.72,2575.62,2723.23,1625.67,2421.95,2021.69,1913.84,1384.83,1250.10,1047.05,987.81,810.65,,,,,
江西省,3067.16,3167.06,2397.10,2416.85,2469.73,2280.91,1727.60,2175.59,1777.19,1650.12,1168.87,865.83,562.09,436.82,286.69,,,,,
山东省,9180.12,10329.80,8632.76,9576.01,9293.88,7016.35,5507.64,5063.01,4172.21,3754.92,2525.17,2251.52,1695.84,1403.25,1078.38,,,,,
河南省,7879.67,7310.21,5968.49,6275.16,5452.23,4335.09,3191.98,3928.04,2409.33,1724.82,1043.51,862.71,639.94,511.68,509.21,,,,,
湖北省,5601.98,5298.54,4037.85,4187.62,3508.61,2718.05,1941.62,2538.90,2038.46,1708.02,1342.92,1073.48,805.69,745.08,612.05,,,,,
湖南省,5439.53,5952.38,5150.48,4900.33,4469.98,3513.72,2655.51,2734.42,2021.61,1842.16,1188.79,848.47,602.29,440.07,377.76,,,,,
广东省,9315.76,9836.39,7898.99,7427.87,7321.76,7060.03,4852.28,6174.57,5178.56,5038.91,3346.02,3061.32,2530.81,2275.79,2259.95,,,,,
广西壮族自治区,3156.55,2995.58,2759.26,2964.15,2793.92,2383.76,1768.04,2016.23,1502.61,1438.40,820.36,505.31,339.63,292.32,191.36,,,,,
海南省,1003.97,1191.23,931.84,865.74,854.73,561.36,372.44,312.52,203.43,249.43,125.76,112.64,76.74,59.94,42.15,,,,,
重庆市,5100.39,4817.56,4522.40,4533.50,4314.39,4002.89,2872.19,3552.92,2228.46,2017.66,1317.12,1316.80,1016.60,746.05,579.96,,,,,
四川省,7142.44,7312.78,6455.93,6543.55,6396.92,5967.69,3501.27,4923.84,4100.15,3402.49,2101.98,2457.85,1865.94,1414.70,945.64,,,,,
贵州省,3178.12,2972.32,2186.95,1882.10,1730.69,1653.05,908.20,1071.57,880.95,862.56,554.34,554.34,424.85,369.38,251.71,,,,,
云南省,3194.19,3309.30,3237.75,3222.89,2959.43,2229.95,1643.08,1976.29,1693.07,1431.90,538.11,521.97,400.22,314.91,343.16,,,,,
西藏自治区,59.33,25.40,22.50,18.25,19.28,63.26,66.49,60.78,57.10,25.90,9.56,10.32,16.16,8.59,4.80,,,,,
陕西省,3093.64,3045.70,2755.59,3051.77,2590.18,2086.92,1513.01,1460.17,1116.51,892.01,509.36,580.05,477.54,416.29,396.40,,,,,
甘肃省,1325.51,1220.02,978.44,838.82,756.51,698.82,624.66,592.27,515.48,493.21,261.47,224.77,165.83,141.70,123.01,,,,,
青海省,415.77,381.56,262.96,359.56,281.04,216.82,147.89,154.53,119.69,121.04,93.85,83.51,68.04,33.66,39.91,,,,,
宁夏回族自治区,1129.46,1048.31,804.43,846.46,935.98,775.29,514.81,507.76,379.99,377.89,308.21,232.38,118.36,126.49,104.49,,,,,
新疆维吾尔自治区,1815.88,2017.03,1430.31,1728.23,1564.90,1406.55,954.35,1144.34,892.41,687.20,643.37,587.02,506.66,419.87,262.52,,,,,
数据来源：国家统计局
