数据库：分省年度数据
指标：住宅商品房销售额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2102.46,2434.71,2455.50,1606.04,2060.52,2486.77,1201.37,1845.97,1626.30,1739.97,1085.11,789.16,716.66,531.71,409.34,,,,,
天津市,1309.70,1443.34,1210.57,1167.36,1034.32,965.36,635.57,781.63,619.51,504.14,234.87,172.43,129.92,118.74,86.04,,,,,
河北省,2501.62,2329.12,1914.61,1993.81,1488.78,905.15,583.89,493.27,343.29,235.04,117.12,112.51,74.95,68.46,59.87,,,,,
山西省,639.83,625.14,513.20,378.36,357.37,245.98,201.18,173.74,133.74,116.31,55.12,37.82,32.75,26.39,17.48,,,,,
内蒙古自治区,765.04,874.45,769.39,972.52,766.47,597.01,474.18,364.57,203.36,128.72,65.03,46.76,36.17,30.32,23.57,,,,,
辽宁省,2518.87,3941.86,3611.21,3009.23,2587.66,1883.47,1333.89,1189.40,787.45,620.60,365.43,281.40,223.10,198.86,151.42,,,,,
吉林省,667.62,839.73,836.80,883.16,735.91,490.23,344.44,259.59,163.40,130.95,60.95,63.14,64.84,49.01,34.74,,,,,
黑龙江省,962.69,1305.90,1201.93,1085.62,833.05,537.05,339.91,357.51,264.27,196.32,117.42,109.15,91.82,80.02,66.99,,,,,
上海市,2923.44,3264.03,2208.96,2034.87,2416.24,3620.23,1629.08,2706.30,1841.04,1906.05,1762.66,1109.86,739.89,615.17,480.97,,,,,
江苏省,5969.60,6777.70,5089.06,4158.61,4536.63,4341.03,2008.78,2596.79,1794.64,1422.79,667.18,476.88,374.55,285.48,237.54,,,,,
浙江省,4172.58,4513.88,3541.63,2702.36,3577.49,3755.53,1524.11,2207.09,1370.87,1122.24,660.13,577.64,398.73,281.15,230.11,,,,,
安徽省,2691.80,2662.04,1921.86,1745.00,1420.06,1179.69,714.03,695.24,438.64,348.10,185.33,121.96,79.85,58.40,47.24,,,,,
福建省,2939.58,3410.57,2293.90,1649.34,1300.13,1299.09,562.26,938.32,637.34,481.90,281.26,222.46,153.95,150.75,119.39,,,,,
江西省,1379.50,1396.06,931.39,824.32,670.34,530.56,324.44,407.22,260.10,194.29,99.80,66.86,42.35,32.22,20.68,,,,,
山东省,4009.48,4461.07,3529.51,3757.63,3218.02,2195.85,1436.93,1318.64,917.84,784.25,416.27,325.52,227.53,168.57,125.49,,,,,
河南省,2739.71,2516.26,1915.57,1788.04,1454.57,1004.89,629.40,742.83,403.72,255.37,135.41,102.59,75.50,54.96,50.51,,,,,
湖北省,2543.76,2310.04,1689.86,1569.32,1134.94,879.23,527.84,699.67,463.91,335.19,199.15,147.35,102.05,91.43,73.10,,,,,
湖南省,1858.58,2114.97,1711.55,1569.99,1247.65,826.07,510.11,516.75,300.41,226.36,128.62,86.18,59.59,44.07,33.89,,,,,
广东省,6960.26,7476.10,5488.39,5070.76,4589.82,4176.65,2495.64,3184.20,2153.62,1886.39,992.32,820.13,683.01,635.54,597.36,,,,,
广西壮族自治区,1274.57,1166.72,995.82,977.10,881.70,704.76,431.52,442.63,270.75,239.81,141.43,76.74,49.69,44.02,24.57,,,,,
海南省,873.22,997.00,701.72,743.93,734.10,343.44,195.19,122.67,72.35,66.55,28.14,21.98,12.76,10.50,7.77,,,,,
重庆市,2253.28,2283.57,1972.42,1825.41,1610.64,1231.71,704.82,856.73,418.70,340.68,179.00,149.99,111.19,71.92,52.87,,,,,
四川省,3145.02,3308.58,2816.49,2677.36,2330.85,1906.88,996.02,1255.96,793.60,511.18,248.53,268.20,195.73,147.09,95.04,,,,,
贵州省,1000.01,988.77,739.96,592.73,501.63,407.31,179.94,187.92,128.20,101.30,58.42,56.49,40.42,34.07,25.08,,,,,
云南省,1165.39,1192.55,1077.10,958.78,769.32,555.58,360.77,411.59,328.64,259.10,89.21,85.30,66.35,52.73,51.20,,,,,
西藏自治区,28.55,8.85,6.16,5.73,5.18,14.69,19.26,15.87,7.13,3.64,2.63,1.78,2.26,1.15,0.52,,,,,
陕西省,1368.12,1413.20,1215.57,1352.54,906.68,621.28,402.24,342.74,243.51,163.97,75.56,73.97,65.38,51.87,44.87,,,,,
甘肃省,513.47,418.08,301.60,237.30,203.32,158.00,108.97,119.37,82.24,76.49,37.65,24.53,18.19,15.68,13.08,,,,,
青海省,155.83,146.29,91.14,105.85,77.10,50.80,33.67,32.50,20.42,18.23,11.84,9.44,7.14,3.58,4.18,,,,,
宁夏回族自治区,352.03,363.60,256.19,239.00,253.76,191.47,100.42,87.75,63.00,56.32,44.56,28.45,15.70,13.51,10.37,,,,,
新疆维吾尔自治区,625.35,710.74,458.14,516.24,416.41,327.17,186.12,211.34,135.81,91.52,73.22,76.80,65.82,53.78,33.32,,,,,
数据来源：国家统计局
