数据库：分省年度数据
指标：别墅、高档公寓销售额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,184.45,289.28,319.45,266.22,,,,,,,,,,,,,,,,
天津市,77.61,73.89,72.14,104.33,,,,,,,,,,,,,,,,
河北省,40.67,58.15,61.46,57.51,,,,,,,,,,,,,,,,
山西省,15.46,21.36,2.94,0.52,,,,,,,,,,,,,,,,
内蒙古自治区,19.47,17.64,34.41,55.29,,,,,,,,,,,,,,,,
辽宁省,96.12,157.29,211.24,126.43,,,,,,,,,,,,,,,,
吉林省,35.72,53.63,66.40,121.46,,,,,,,,,,,,,,,,
黑龙江省,25.27,10.42,21.43,16.20,,,,,,,,,,,,,,,,
上海市,859.54,908.58,661.35,671.10,,,,,,,,,,,,,,,,
江苏省,477.62,525.85,477.78,477.12,,,,,,,,,,,,,,,,
浙江省,290.05,333.18,237.13,248.49,,,,,,,,,,,,,,,,
安徽省,80.05,64.19,53.16,43.39,,,,,,,,,,,,,,,,
福建省,129.93,139.09,122.37,112.09,,,,,,,,,,,,,,,,
江西省,33.42,48.01,24.73,37.07,,,,,,,,,,,,,,,,
山东省,123.27,156.10,166.61,130.93,,,,,,,,,,,,,,,,
河南省,29.58,32.38,22.18,29.21,,,,,,,,,,,,,,,,
湖北省,75.61,106.67,58.26,53.30,,,,,,,,,,,,,,,,
湖南省,76.69,75.56,102.38,122.03,,,,,,,,,,,,,,,,
广东省,592.12,829.66,554.06,624.70,,,,,,,,,,,,,,,,
广西壮族自治区,40.49,27.98,16.64,26.88,,,,,,,,,,,,,,,,
海南省,141.11,201.24,223.20,267.52,,,,,,,,,,,,,,,,
重庆市,147.15,115.63,118.95,125.05,,,,,,,,,,,,,,,,
四川省,103.42,107.56,135.15,111.30,,,,,,,,,,,,,,,,
贵州省,48.07,25.03,19.01,16.47,,,,,,,,,,,,,,,,
云南省,116.50,108.86,111.03,149.60,,,,,,,,,,,,,,,,
西藏自治区,1.50,1.62,1.08,0.90,,,,,,,,,,,,,,,,
陕西省,42.27,26.55,50.88,54.36,,,,,,,,,,,,,,,,
甘肃省,10.48,3.57,0.28,0.25,,,,,,,,,,,,,,,,
青海省,0.12,0.17,0.29,0.13,,,,,,,,,,,,,,,,
宁夏回族自治区,8.67,11.80,6.95,8.96,,,,,,,,,,,,,,,,
新疆维吾尔自治区,28.42,42.24,30.62,41.84,,,,,,,,,,,,,,,,
数据来源：国家统计局
