数据库：分省年度数据
指标：房地产开发别墅、高档公寓投资额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,163.75,135.64,181.54,247.83,260.73,163.23,178.46,203.82,173.18,138.86,,99.51,82.81,73.05,63.66,,,,,
天津市,59.03,63.98,62.34,59.67,68.90,44.02,35.13,28.66,34.60,31.14,,17.70,14.06,8.71,8.27,,,,,
河北省,55.98,55.14,56.19,73.45,39.58,23.90,35.31,20.59,22.73,10.39,,3.44,2.01,4.13,3.54,,,,,
山西省,10.24,13.73,6.39,12.67,1.46,2.34,3.84,5.16,4.68,1.89,,0.21,0.22,0.16,0.22,,,,,
内蒙古自治区,20.37,28.62,23.43,42.15,29.54,38.09,49.80,26.35,14.84,1.61,,0.84,0.11,1.78,1.53,,,,,
辽宁省,249.34,243.46,181.18,206.76,191.52,152.89,123.27,89.27,48.87,30.63,,15.17,19.51,21.20,12.78,,,,,
吉林省,42.02,38.04,62.36,71.02,90.71,54.34,60.63,55.56,22.86,7.82,,0.36,2.61,8.53,3.22,,,,,
黑龙江省,31.79,30.82,22.14,13.36,9.95,9.37,18.86,12.94,9.85,0.42,,0.26,1.09,2.06,3.66,,,,,
上海市,360.01,348.60,335.08,410.67,373.67,246.51,248.14,228.79,203.24,225.50,,106.66,79.73,43.64,40.72,,,,,
江苏省,462.73,461.19,470.16,536.67,348.51,271.27,257.99,197.74,151.22,138.42,,62.22,37.16,17.93,14.12,,,,,
浙江省,384.16,362.51,305.59,226.22,186.40,137.39,144.49,116.37,97.88,92.53,,60.04,42.96,24.52,9.61,,,,,
安徽省,85.15,64.54,62.90,91.26,76.58,47.57,30.71,12.44,14.75,6.16,,7.92,3.44,0.98,1.34,,,,,
福建省,220.01,137.86,102.13,76.34,55.26,43.64,46.18,52.75,32.34,17.79,,11.86,11.27,13.47,14.00,,,,,
江西省,33.84,36.49,29.69,32.34,18.16,15.47,10.27,12.11,8.04,5.57,,3.63,1.17,2.82,1.43,,,,,
山东省,152.61,159.96,214.59,161.07,75.70,52.74,44.47,53.32,55.26,20.18,,19.14,11.49,15.94,8.40,,,,,
河南省,28.90,27.04,21.58,22.24,19.03,23.98,28.18,54.94,30.39,25.07,,5.27,7.45,6.53,4.31,,,,,
湖北省,96.66,63.80,67.99,41.19,39.39,38.13,44.67,33.00,36.31,7.93,,8.74,12.84,7.77,4.28,,,,,
湖南省,85.40,78.52,73.57,67.47,55.82,42.16,55.24,74.71,42.92,28.78,,17.35,9.54,7.11,3.11,,,,,
广东省,462.24,510.87,444.50,405.42,346.60,267.93,288.23,258.45,223.72,119.87,,87.18,108.98,56.05,41.99,,,,,
广西壮族自治区,51.62,41.60,45.99,28.63,31.27,22.59,21.12,29.15,16.17,11.15,,4.16,1.00,0.27,1.23,,,,,
海南省,193.95,218.65,199.67,185.17,188.71,113.26,78.87,51.02,22.02,5.84,,6.35,6.17,6.85,3.19,,,,,
重庆市,174.30,139.88,165.67,119.98,104.45,89.44,70.70,49.80,38.06,31.90,,11.70,9.52,8.26,6.94,,,,,
四川省,99.16,124.39,126.66,134.92,88.78,64.67,56.62,51.05,54.96,43.38,,53.04,23.03,19.66,8.69,,,,,
贵州省,35.76,32.53,15.60,4.92,4.57,4.37,5.38,5.01,3.24,1.73,,0.72,1.58,0.10,0.86,,,,,
云南省,150.81,106.86,86.34,77.52,76.71,62.92,60.76,60.30,49.97,25.20,,17.54,15.54,7.51,6.00,,,,,
西藏自治区,3.15,2.08,1.57,1.82,1.04,0.42,1.10,1.23,0.91,1.80,,0.63,0.34,,0.00,,,,,
陕西省,47.93,38.73,33.96,39.37,23.20,22.43,19.54,8.47,17.38,13.29,,7.20,9.21,10.31,2.43,,,,,
甘肃省,8.92,9.01,1.15,0.10,0.10,0.54,0.24,0.56,0.45,0.23,,1.37,0.12,0.24,0.10,,,,,
青海省,3.79,0.85,0.13,0.20,0.15,0.12,3.33,4.29,4.44,0.09,,0.21,0.02,,0.00,,,,,
宁夏回族自治区,15.43,15.02,11.46,7.84,3.95,2.69,1.34,3.47,4.86,1.59,,0.55,0.86,0.02,0.16,,,,,
新疆维吾尔自治区,55.67,47.51,36.81,25.88,19.41,14.89,9.43,5.78,4.85,2.66,,2.02,1.10,0.31,0.24,,,,,
数据来源：国家统计局
