数据库：分省年度数据
指标：房地产开发办公楼投资额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,712.98,611.75,384.81,363.82,259.10,166.72,170.50,242.22,216.74,196.17,187.89,142.75,97.33,71.99,45.22,,,,,
天津市,123.58,99.91,85.70,109.84,77.18,32.83,30.97,34.55,23.74,11.95,15.75,7.78,7.51,4.52,3.13,,,,,
河北省,153.85,140.39,114.67,86.56,51.27,30.11,20.14,6.95,11.28,9.71,7.87,8.73,5.90,4.65,2.62,,,,,
山西省,69.21,48.43,22.80,17.29,12.54,10.63,8.19,5.20,8.38,10.74,8.14,5.36,4.61,1.76,1.92,,,,,
内蒙古自治区,51.01,62.82,59.45,73.52,53.44,38.42,24.55,13.40,14.84,3.83,5.05,5.52,2.73,1.29,1.63,,,,,
辽宁省,179.22,155.77,163.38,92.96,102.93,86.76,66.86,39.13,37.64,25.88,18.19,13.17,18.22,15.53,15.54,,,,,
吉林省,30.16,41.83,31.33,20.16,13.87,15.30,9.39,7.24,9.04,7.04,6.43,6.07,3.61,2.92,1.97,,,,,
黑龙江省,25.25,31.12,26.92,16.67,10.92,9.16,3.53,6.45,5.95,8.23,8.54,6.37,7.60,4.23,3.57,,,,,
上海市,534.77,377.18,262.85,227.90,224.46,187.93,194.08,157.51,124.29,102.18,83.24,66.67,33.52,26.22,57.47,,,,,
江苏省,378.47,324.18,260.10,204.57,154.61,130.92,104.95,68.45,57.07,54.27,44.13,27.54,25.80,18.72,21.59,,,,,
浙江省,487.62,377.43,305.85,276.83,192.99,147.26,137.46,109.56,106.96,67.88,60.08,48.14,32.18,32.73,23.12,,,,,
安徽省,168.96,166.20,131.98,67.16,65.61,72.11,37.83,23.88,15.65,13.21,10.32,7.87,4.74,4.72,4.83,,,,,
福建省,358.58,270.28,189.22,115.75,49.67,37.84,24.74,20.91,24.25,10.76,9.15,10.64,9.99,12.20,15.20,,,,,
江西省,53.97,100.74,62.10,20.32,11.01,11.60,4.65,3.22,3.07,4.49,6.01,2.58,2.52,1.82,1.43,,,,,
山东省,358.58,287.81,190.66,99.34,73.40,61.06,52.41,41.95,36.65,29.39,20.59,18.70,15.85,12.97,11.25,,,,,
河南省,198.84,175.40,136.35,115.44,56.74,33.13,30.34,30.80,19.04,14.05,5.93,5.30,2.51,3.55,4.41,,,,,
湖北省,171.65,147.44,136.55,59.90,32.44,22.89,15.74,11.10,13.85,13.43,7.76,8.11,6.92,8.86,9.28,,,,,
湖南省,110.65,89.64,72.06,51.28,17.81,15.48,22.19,12.43,12.41,11.27,10.27,7.40,6.12,3.41,2.42,,,,,
广东省,489.44,337.27,234.83,208.63,144.54,127.63,99.53,108.13,113.01,90.32,67.00,44.08,45.61,32.45,36.80,,,,,
广西壮族自治区,70.90,51.67,40.47,33.35,15.14,9.26,5.10,8.78,7.26,6.01,2.60,1.76,0.95,0.96,1.19,,,,,
海南省,10.51,12.18,5.65,16.82,7.03,1.50,2.94,2.85,1.01,0.43,0.75,0.96,1.29,0.08,0.35,,,,,
重庆市,176.96,144.56,101.61,52.67,31.53,22.08,12.33,16.62,12.76,17.08,10.97,11.86,9.57,10.57,8.64,,,,,
四川省,195.11,189.11,137.12,91.21,55.31,36.97,25.75,20.84,15.63,18.21,14.12,13.77,7.58,6.42,6.91,,,,,
贵州省,151.97,132.03,42.23,19.11,8.78,6.73,4.92,6.29,7.64,7.84,5.45,5.12,4.67,3.38,2.91,,,,,
云南省,133.78,117.50,86.41,45.99,22.21,18.91,12.14,6.46,9.51,4.87,2.19,3.33,2.41,5.08,3.45,,,,,
西藏自治区,3.49,0.11,0.32,0.08,0.07,0.32,0.23,0.02,0.09,0.04,0.00,0.02,0.17,0.01,,,,,,
陕西省,105.15,79.85,43.87,36.76,36.57,27.34,30.34,19.77,16.61,11.84,19.12,14.61,7.64,6.43,5.34,,,,,
甘肃省,26.65,19.34,11.06,6.80,5.61,2.90,4.96,2.74,2.77,3.25,1.62,1.67,1.53,3.00,2.43,,,,,
青海省,27.32,16.75,3.36,3.97,2.15,0.72,0.52,0.71,0.74,1.93,2.80,2.16,1.47,1.15,0.84,,,,,
宁夏回族自治区,21.17,18.79,10.84,8.52,8.17,4.48,4.25,4.13,3.49,2.70,3.70,2.17,2.36,2.14,1.07,,,,,
新疆维吾尔自治区,61.39,24.99,12.08,15.54,10.29,8.19,5.64,2.76,2.82,4.10,6.54,8.15,8.11,4.19,1.32,,,,,
数据来源：国家统计局
