数据库：分省年度数据
指标：房地产开发其他投资额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,775.43,829.59,864.78,597.46,796.73,1063.64,557.32,494.58,413.54,436.40,414.64,365.41,247.74,205.93,157.98,,,,,
天津市,235.88,229.34,175.94,104.34,96.72,110.18,83.55,64.17,31.58,38.92,44.69,28.43,50.43,44.70,33.60,,,,,
河北省,393.50,308.75,247.16,249.94,151.90,120.44,124.28,84.62,44.40,42.49,48.43,43.52,37.89,27.10,21.44,,,,,
山西省,132.34,118.80,112.79,83.95,61.81,44.97,51.90,38.93,20.60,22.94,16.21,21.15,8.85,9.20,5.49,,,,,
内蒙古自治区,128.67,128.94,126.10,136.71,81.28,55.04,40.26,28.72,9.19,5.00,6.38,7.97,10.05,7.31,3.92,,,,,
辽宁省,327.03,532.03,467.72,308.79,292.83,187.74,114.04,97.93,111.68,83.56,82.46,43.08,30.93,28.84,23.54,,,,,
吉林省,80.79,105.59,112.05,94.36,59.39,39.79,30.85,22.47,19.01,10.17,8.85,6.24,8.37,5.44,9.10,,,,,
黑龙江省,115.93,172.69,168.05,118.37,69.32,42.26,73.10,45.74,20.45,38.40,25.44,33.18,33.41,15.77,13.05,,,,,
上海市,489.14,456.87,372.81,308.85,281.69,170.85,189.46,153.54,160.60,121.23,112.62,90.47,85.12,102.64,48.38,,,,,
江苏省,650.53,625.83,615.29,532.08,375.23,273.02,272.20,227.86,151.28,140.81,90.72,76.44,52.29,36.14,27.86,,,,,
浙江省,1231.25,1032.07,898.68,641.91,417.88,274.69,250.37,195.90,142.20,128.51,89.00,70.65,48.05,56.09,44.01,,,,,
安徽省,391.81,429.29,395.39,288.30,298.56,185.85,141.00,95.41,61.14,58.02,41.73,23.23,30.29,16.42,9.53,,,,,
福建省,636.77,539.18,512.54,450.26,631.72,267.93,287.55,256.84,195.15,118.09,116.27,75.49,48.37,37.45,37.19,,,,,
江西省,97.95,124.55,105.66,90.03,72.90,50.57,45.84,38.45,38.52,42.80,44.13,34.76,30.19,22.31,7.68,,,,,
山东省,469.97,478.37,468.11,331.70,285.99,179.50,152.42,114.47,106.26,121.28,86.63,77.75,51.64,32.05,38.41,,,,,
河南省,356.46,399.17,376.49,250.57,179.36,134.45,80.24,60.95,50.84,35.06,35.44,21.62,18.22,10.28,17.71,,,,,
湖北省,417.52,390.33,367.30,399.83,358.47,231.40,152.86,129.78,74.82,72.15,63.82,41.36,25.55,21.78,21.46,,,,,
湖南省,347.02,341.72,292.92,204.51,186.97,121.31,144.03,81.18,79.16,68.02,54.28,28.88,43.34,28.55,23.37,,,,,
广东省,1003.27,916.23,865.52,700.62,586.82,464.12,476.08,393.31,242.25,263.54,237.91,225.09,179.76,194.22,135.32,,,,,
广西壮族自治区,220.96,221.47,283.16,276.68,219.34,164.14,153.83,123.96,62.32,44.63,41.91,29.40,19.32,17.03,13.06,,,,,
海南省,161.43,115.10,105.07,41.21,23.18,13.01,14.66,12.39,17.36,5.47,3.45,2.61,2.80,2.37,2.06,,,,,
重庆市,467.90,446.57,392.47,305.94,362.84,311.05,278.70,236.24,170.48,128.85,113.58,87.77,63.64,38.79,27.01,,,,,
四川省,560.10,547.31,498.21,421.80,418.16,273.35,282.12,276.59,130.81,83.47,54.26,31.17,43.00,41.33,33.02,,,,,
贵州省,241.38,241.39,282.49,154.50,162.21,76.58,82.24,63.25,54.60,38.98,28.25,28.12,17.98,15.89,9.10,,,,,
云南省,349.67,317.46,286.93,183.86,125.67,85.07,64.11,51.32,47.49,40.21,28.67,21.20,12.90,9.25,11.25,,,,,
西藏自治区,9.85,0.92,,0.17,0.05,2.61,0.38,0.19,1.46,0.34,0.00,0.10,0.39,0.38,0.01,,,,,
陕西省,165.93,167.28,158.99,77.52,78.34,50.99,54.87,38.36,22.43,30.87,27.09,25.64,19.65,19.17,8.82,,,,,
甘肃省,63.79,66.82,72.04,53.14,45.85,41.47,25.71,23.13,12.80,10.47,14.26,7.98,5.69,4.27,4.24,,,,,
青海省,26.00,26.65,18.34,21.54,15.00,13.53,3.92,2.28,2.65,6.22,3.30,2.57,4.58,2.74,2.12,,,,,
宁夏回族自治区,77.85,72.79,55.81,38.41,23.35,9.46,5.66,4.18,3.09,3.91,4.75,4.29,2.71,3.88,2.67,,,,,
新疆维吾尔自治区,69.90,82.23,52.13,27.20,17.84,11.24,7.10,5.96,4.41,4.91,6.19,10.87,7.18,6.88,1.82,,,,,
数据来源：国家统计局
