数据库：分省年度数据
指标：房地产开发企业其他用途新开工房屋面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,537.57,818.58,734.28,853.77,465.14,381.92,325.10,398.84,557.07,428.11,397.90,445.16,400.92,317.36,247.18,,,,,
天津市,421.25,384.14,367.26,279.75,270.21,156.23,199.24,185.43,76.45,61.33,37.07,38.74,33.23,9.12,7.33,,,,,
河北省,757.36,610.04,639.08,834.16,622.20,333.69,154.07,88.17,45.56,43.40,33.68,26.26,15.07,12.04,17.08,,,,,
山西省,493.95,400.69,386.17,190.63,163.68,112.15,37.28,21.27,15.05,22.70,14.17,13.54,9.50,9.43,2.69,,,,,
内蒙古自治区,406.60,430.68,615.07,691.71,416.08,238.09,158.02,84.09,54.34,24.95,21.05,27.10,11.23,9.43,5.23,,,,,
辽宁省,632.77,1140.50,1027.65,840.07,727.32,388.73,336.92,235.49,171.68,107.53,205.23,93.55,71.48,64.11,49.84,,,,,
吉林省,360.92,286.30,355.51,286.81,186.63,142.25,111.37,105.10,50.71,32.17,25.53,23.02,23.27,21.51,15.55,,,,,
黑龙江省,360.29,341.31,467.55,554.15,319.72,163.04,117.59,87.77,85.44,69.04,45.04,64.14,30.20,17.81,17.13,,,,,
上海市,481.45,523.84,491.58,702.81,473.99,397.92,364.41,213.87,275.42,214.61,187.39,186.88,120.02,129.77,100.58,,,,,
江苏省,1466.16,1550.54,1292.15,1226.79,1055.23,664.04,621.13,469.72,356.03,361.50,214.77,201.26,131.21,113.86,102.05,,,,,
浙江省,1937.52,1826.44,1544.32,1914.37,1284.85,765.75,664.01,591.69,470.86,482.16,385.17,311.75,208.74,199.97,108.74,,,,,
安徽省,870.61,1062.87,731.53,620.77,426.68,242.01,170.92,140.39,108.45,89.33,70.55,44.71,42.07,27.51,20.49,,,,,
福建省,1201.12,1126.75,884.52,1048.63,642.01,236.74,312.02,404.54,245.76,271.45,116.99,115.33,77.91,61.93,50.44,,,,,
江西省,273.34,391.43,243.49,209.94,96.56,83.63,82.91,66.48,62.92,56.23,71.82,56.25,24.93,8.49,11.18,,,,,
山东省,1388.77,1349.42,1095.69,991.71,661.57,414.60,312.74,192.27,163.10,188.02,123.95,94.78,67.82,50.96,40.05,,,,,
河南省,873.63,894.36,745.27,572.15,380.32,257.02,195.53,149.69,91.32,44.50,,18.57,26.88,14.86,15.98,,,,,
湖北省,643.15,753.00,491.55,339.44,513.80,250.74,162.83,72.01,77.74,79.99,92.45,59.33,37.87,24.83,29.42,,,,,
湖南省,995.91,944.85,680.97,621.16,457.43,350.38,246.95,224.89,120.93,77.38,63.44,62.03,35.64,25.88,31.80,,,,,
广东省,2174.14,2105.94,1488.35,1537.87,1228.41,690.73,686.18,670.12,473.22,385.61,363.88,325.33,233.86,287.99,213.35,,,,,
广西壮族自治区,448.96,409.91,352.42,410.30,390.13,225.68,126.14,124.33,89.00,77.05,63.11,52.60,28.43,16.10,8.54,,,,,
海南省,139.89,114.40,103.40,99.50,74.78,26.61,18.56,10.51,7.21,6.92,2.02,2.65,1.32,13.00,0.69,,,,,
重庆市,939.19,1011.57,768.66,747.38,553.01,356.83,303.22,281.89,200.89,143.51,146.73,155.67,106.49,104.77,51.95,,,,,
四川省,1796.09,1488.25,1000.87,931.39,697.68,307.88,330.85,283.84,226.50,107.72,89.53,135.04,70.35,59.07,37.67,,,,,
贵州省,749.51,676.36,465.12,293.60,287.05,168.74,108.48,89.78,54.06,46.48,41.12,37.49,19.06,14.16,19.18,,,,,
云南省,793.67,778.29,765.51,509.28,294.40,180.82,100.79,72.32,64.22,61.22,48.00,27.41,18.93,26.30,16.60,,,,,
西藏自治区,27.45,3.80,,,,0.67,0.16,,0.85,,,,,,,,,,,
陕西省,317.54,341.15,290.68,171.41,143.40,126.15,59.65,41.17,33.31,16.09,8.27,18.79,24.12,8.26,16.32,,,,,
甘肃省,148.92,203.33,196.09,108.73,54.83,44.55,33.62,15.10,25.94,3.87,32.94,7.26,6.14,10.54,3.10,,,,,
青海省,85.61,92.75,62.41,34.32,45.03,20.71,3.30,6.21,3.01,4.03,3.23,3.15,2.69,0.71,2.53,,,,,
宁夏回族自治区,263.38,243.05,154.43,202.66,128.07,73.15,24.72,23.92,19.71,14.13,26.16,15.28,10.10,13.26,2.55,,,,,
新疆维吾尔自治区,331.91,269.30,203.34,118.50,86.70,46.40,29.90,19.82,14.11,11.78,6.47,16.89,10.97,10.05,2.69,,,,,
数据来源：国家统计局
