数据库：分省年度数据
指标：股份合作全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,10.99,6.22,8.54,4.87,6.50,11.48,8.93,6.07,7.27,,,,,,,,,,,
天津市,73.05,44.62,71.96,35.84,24.50,14.49,15.19,8.67,15.81,,,,,,,,,,,
河北省,159.52,179.71,124.51,68.54,67.00,67.72,70.69,44.56,47.48,,,,,,,,,,,
山西省,59.31,69.60,73.56,59.58,35.70,13.31,21.16,8.70,10.36,,,,,,,,,,,
内蒙古自治区,19.64,43.37,37.18,63.37,61.20,51.08,42.59,31.97,43.21,,,,,,,,,,,
辽宁省,26.75,50.30,75.29,37.09,84.20,79.64,87.45,53.99,26.59,,,,,,,,,,,
吉林省,17.31,3.72,17.86,17.40,24.50,19.61,27.26,10.55,11.84,,,,,,,,,,,
黑龙江省,27.37,39.43,26.38,34.27,19.60,17.66,9.58,9.45,5.26,,,,,,,,,,,
上海市,3.36,2.80,1.97,4.31,8.50,10.17,8.25,10.57,17.42,,,,,,,,,,,
江苏省,80.33,85.11,54.04,85.24,91.30,53.24,56.89,52.15,54.56,,,,,,,,,,,
浙江省,71.03,48.77,48.25,34.54,37.00,39.57,31.82,39.43,52.27,,,,,,,,,,,
安徽省,53.16,52.63,105.00,59.92,44.90,40.93,36.54,57.39,58.98,,,,,,,,,,,
福建省,34.70,14.56,8.80,23.25,39.00,11.36,11.08,13.85,10.90,,,,,,,,,,,
江西省,50.17,70.72,64.22,114.10,96.50,58.42,35.58,35.86,23.43,,,,,,,,,,,
山东省,224.77,145.05,210.18,151.34,149.40,136.34,105.94,83.39,66.52,,,,,,,,,,,
河南省,235.10,221.88,137.92,148.56,160.10,141.41,120.39,112.72,69.46,,,,,,,,,,,
湖北省,81.49,115.22,66.56,92.60,81.50,47.59,45.26,40.27,26.44,,,,,,,,,,,
湖南省,174.42,179.14,211.39,238.19,154.80,110.28,85.55,84.22,54.51,,,,,,,,,,,
广东省,128.07,125.88,111.41,76.53,49.80,60.04,43.95,35.84,39.89,,,,,,,,,,,
广西壮族自治区,58.34,52.71,47.84,58.86,39.20,28.61,29.08,22.61,18.29,,,,,,,,,,,
海南省,13.71,18.86,14.22,12.36,16.90,9.64,6.92,2.41,2.83,,,,,,,,,,,
重庆市,57.29,65.02,37.24,9.92,13.80,11.82,17.41,17.46,13.88,,,,,,,,,,,
四川省,94.73,64.43,60.25,80.88,41.00,43.55,40.40,31.47,31.20,,,,,,,,,,,
贵州省,20.03,26.23,27.34,26.28,18.50,18.36,10.77,7.42,6.32,,,,,,,,,,,
云南省,20.76,13.01,17.08,24.90,18.50,15.73,13.72,8.50,11.87,,,,,,,,,,,
西藏自治区,1.43,3.33,14.88,,2.30,0.99,0.36,1.52,0.15,,,,,,,,,,,
陕西省,77.88,58.84,36.03,47.55,37.80,27.95,37.45,29.22,19.09,,,,,,,,,,,
甘肃省,62.19,38.37,26.50,9.30,11.20,5.00,5.31,5.65,4.75,,,,,,,,,,,
青海省,4.86,7.91,1.91,3.29,5.60,6.84,1.32,4.57,5.10,,,,,,,,,,,
宁夏回族自治区,2.46,9.75,,,0.50,1.58,1.60,1.09,0.92,,,,,,,,,,,
新疆维吾尔自治区,48.25,10.81,7.17,4.60,4.20,3.81,2.75,2.42,0.60,,,,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
