数据库：分省年度数据
指标：有限责任公司全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3930.47,3520.57,3406.72,3229.21,2919.30,2117.20,1727.96,1761.46,1520.89,,,,,,,,,,,
天津市,3572.12,2631.53,2514.30,2276.03,1921.90,1418.82,1025.61,663.88,450.93,,,,,,,,,,,
河北省,6872.95,6368.80,5447.76,4802.08,3688.30,3051.68,2255.50,1701.19,1145.48,,,,,,,,,,,
山西省,2828.92,2621.26,2349.06,2045.55,1522.30,1184.10,959.69,842.45,658.35,,,,,,,,,,,
内蒙古自治区,6354.82,5675.96,4799.27,3972.67,3178.10,2430.92,1701.63,1355.68,1085.74,,,,,,,,,,,
辽宁省,5876.78,6223.63,5090.10,4225.52,3730.10,2885.06,2374.05,1822.33,1485.37,,,,,,,,,,,
吉林省,3680.75,3666.29,3591.47,2718.46,2895.40,2359.85,1782.41,1159.71,768.68,,,,,,,,,,,
黑龙江省,2809.04,3628.97,2941.87,2107.12,1759.20,1165.60,750.82,544.11,460.10,,,,,,,,,,,
上海市,2052.57,1982.85,1351.25,1364.57,1298.60,880.62,935.12,1176.77,944.83,,,,,,,,,,,
江苏省,7649.41,6941.65,6054.48,5634.85,4846.20,3781.14,2985.39,2538.37,2028.40,,,,,,,,,,,
浙江省,7438.16,6403.17,5523.02,4495.04,3729.40,3054.99,2790.05,2460.96,2255.65,,,,,,,,,,,
安徽省,5849.55,5285.12,4448.77,3533.28,3166.60,2344.66,1787.25,1155.80,781.66,,,,,,,,,,,
福建省,5277.77,4299.61,3346.98,2436.30,1609.40,1007.22,884.70,761.24,511.10,,,,,,,,,,,
江西省,3969.68,3360.99,2864.25,2460.63,2437.40,1561.40,1136.17,687.64,492.33,,,,,,,,,,,
山东省,10801.80,9770.34,8342.39,7348.23,6151.80,4730.28,3927.07,3405.92,2911.97,,,,,,,,,,,
河南省,8727.71,7047.32,5471.75,4613.80,3760.90,2882.95,2160.53,1722.65,1213.84,,,,,,,,,,,
湖北省,6068.51,4876.70,3935.20,3108.87,2321.20,1731.02,1209.78,887.68,714.70,,,,,,,,,,,
湖南省,4731.65,4167.91,3486.72,2785.19,1903.00,1528.26,1242.53,938.55,724.89,,,,,,,,,,,
广东省,8385.69,6968.63,5876.56,5171.43,3804.40,3075.61,2371.41,1797.11,1455.60,,,,,,,,,,,
广西壮族自治区,3167.84,2566.51,2223.58,2078.17,1605.90,1116.13,744.30,519.43,392.13,,,,,,,,,,,
海南省,1342.49,1166.07,824.35,635.24,451.20,282.25,212.67,154.37,112.31,,,,,,,,,,,
重庆市,2940.48,2536.82,2172.04,1961.07,1701.30,1480.39,1250.31,1075.81,851.59,,,,,,,,,,,
四川省,6795.24,6063.34,5300.18,4792.51,3850.20,3103.49,2177.46,1672.01,1218.08,,,,,,,,,,,
贵州省,2567.17,2384.35,2014.20,1298.52,806.90,533.30,428.50,361.86,283.37,,,,,,,,,,,
云南省,2964.76,2789.88,2164.83,1639.37,1194.30,944.21,802.31,623.99,460.96,,,,,,,,,,,
西藏自治区,43.75,19.09,25.27,16.99,13.70,19.05,21.00,21.96,8.17,,,,,,,,,,,
陕西省,4231.80,3898.71,3225.05,2508.98,1973.60,1339.39,1095.91,749.78,628.36,,,,,,,,,,,
甘肃省,1696.62,1348.30,1071.96,857.15,624.80,465.07,354.92,242.31,173.03,,,,,,,,,,,
青海省,635.09,668.94,542.74,382.23,249.40,205.82,170.57,146.91,89.22,,,,,,,,,,,
宁夏回族自治区,686.38,559.22,486.79,432.66,471.30,396.91,307.40,216.94,159.19,,,,,,,,,,,
新疆维吾尔自治区,2512.28,2163.96,1618.90,1323.26,735.70,515.26,434.07,310.75,240.55,,,,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
