数据库：分省年度数据
指标：私营全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,311.78,249.18,197.48,188.59,255.10,216.37,213.97,198.84,152.70,,,,,,,,,,,
天津市,2360.84,1911.18,1233.60,736.42,485.80,369.87,312.86,208.37,174.61,,,,,,,,,,,
河北省,10632.08,8439.58,6695.82,4977.78,4439.90,3623.05,2331.96,1724.40,1229.12,,,,,,,,,,,
山西省,2977.50,2154.06,1465.45,880.42,692.20,544.04,380.42,327.50,223.65,,,,,,,,,,,
内蒙古自治区,3035.41,2239.51,1721.62,1496.09,1123.00,892.62,722.89,567.26,374.11,,,,,,,,,,,
辽宁省,10151.04,9827.74,7971.01,6182.48,5158.30,3787.87,2849.88,1860.79,1283.75,,,,,,,,,,,
吉林省,3246.18,2338.45,2045.21,1805.49,1584.30,1230.27,993.72,719.92,392.30,,,,,,,,,,,
黑龙江省,2483.09,2811.01,1834.78,1165.69,929.80,573.11,381.36,324.25,170.66,,,,,,,,,,,
上海市,1157.00,1054.97,1058.14,967.36,882.90,767.29,666.53,645.26,635.32,,,,,,,,,,,
江苏省,18075.41,14780.29,11259.46,9624.42,8387.20,6846.90,5418.51,4100.91,3029.06,,,,,,,,,,,
浙江省,6842.54,5520.90,4601.30,3584.25,3109.10,2541.93,2130.85,2007.01,1610.15,,,,,,,,,,,
安徽省,7802.14,6048.29,4517.71,3841.73,3203.50,2300.55,1575.90,1138.66,668.92,,,,,,,,,,,
福建省,5042.79,4031.70,2773.61,2366.10,2015.20,1429.67,1115.76,908.20,535.34,,,,,,,,,,,
江西省,5812.68,4836.13,3640.17,2811.15,2377.80,1675.88,1160.74,724.13,481.26,,,,,,,,,,,
山东省,15272.31,11911.52,8889.08,7343.47,6114.60,4875.77,4073.31,3246.10,2831.23,,,,,,,,,,,
河南省,9847.52,7791.74,5963.83,4748.55,5027.50,4110.83,3008.37,2002.80,1076.43,,,,,,,,,,,
湖北省,7522.82,5805.43,3977.69,2847.98,2134.80,1472.90,968.45,684.25,431.51,,,,,,,,,,,
湖南省,6779.09,5221.04,3776.36,2805.58,2280.20,1522.58,1048.87,640.75,426.91,,,,,,,,,,,
广东省,5652.89,4467.40,3200.41,2817.68,2203.10,1930.60,1777.77,1531.02,1221.68,,,,,,,,,,,
广西壮族自治区,4286.59,3576.18,2863.99,1837.11,1485.70,1019.67,748.29,597.74,396.68,,,,,,,,,,,
海南省,312.75,260.14,216.76,151.75,109.60,102.41,58.33,38.87,18.32,,,,,,,,,,,
重庆市,3454.40,2779.96,2108.96,1607.86,1417.30,1114.10,854.50,610.52,404.25,,,,,,,,,,,
四川省,4588.74,3772.63,2812.86,2056.11,1746.30,1428.86,975.93,846.01,593.66,,,,,,,,,,,
贵州省,1452.00,1159.37,749.53,575.27,486.40,402.83,287.06,248.13,152.71,,,,,,,,,,,
云南省,2266.70,1975.79,1478.39,1192.40,864.60,634.94,441.65,369.75,243.73,,,,,,,,,,,
西藏自治区,87.23,56.25,38.25,30.83,18.40,16.65,20.48,13.31,10.31,,,,,,,,,,,
陕西省,3077.92,2315.04,1575.04,1052.32,807.10,696.13,406.16,281.65,154.85,,,,,,,,,,,
甘肃省,1616.41,1108.91,779.74,465.36,322.40,228.29,191.03,144.08,99.50,,,,,,,,,,,
青海省,468.29,310.86,206.43,125.65,96.20,60.62,40.86,35.67,29.73,,,,,,,,,,,
宁夏回族自治区,1296.52,1101.21,808.48,447.14,372.30,211.35,159.43,129.91,86.98,,,,,,,,,,,
新疆维吾尔自治区,1626.62,1360.68,961.18,604.96,441.90,275.28,259.77,179.54,127.76,,,,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
