数据库：分省年度数据
指标：科学研究、技术服务和地质勘查业全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,115.82,108.05,128.66,91.99,85.30,59.11,31.33,27.24,28.86,32.62,35.43,35.39,,,,,,,,
天津市,168.77,74.84,48.86,24.64,20.70,16.53,34.31,5.24,2.36,4.62,2.27,1.47,,,,,,,,
河北省,207.62,150.65,110.44,73.49,60.90,78.74,51.17,57.05,42.97,47.60,34.42,25.02,,,,,,,,
山西省,45.81,39.28,34.89,24.18,27.00,9.22,4.71,2.31,5.13,5.27,1.07,1.05,,,,,,,,
内蒙古自治区,147.09,61.35,53.12,51.23,43.70,41.86,30.97,21.82,14.68,13.70,5.01,4.60,,,,,,,,
辽宁省,261.03,194.94,161.23,107.78,122.30,95.03,63.31,49.30,36.75,26.88,25.05,14.40,,,,,,,,
吉林省,123.83,80.41,59.72,28.80,48.60,47.81,33.29,19.67,19.98,12.25,6.38,4.08,,,,,,,,
黑龙江省,92.29,122.64,83.47,30.57,35.50,73.05,32.05,17.76,6.20,5.57,2.64,5.65,,,,,,,,
上海市,54.67,41.46,39.47,50.46,32.60,24.84,20.00,24.07,26.45,16.91,9.91,9.50,,,,,,,,
江苏省,606.63,369.22,324.76,226.12,138.70,108.55,63.90,40.62,24.93,16.02,34.10,27.59,,,,,,,,
浙江省,91.49,86.71,58.89,49.66,38.20,31.93,25.33,13.56,12.79,10.43,7.01,10.95,,,,,,,,
安徽省,219.48,149.84,141.27,57.43,65.00,30.79,19.66,18.86,14.76,11.97,6.42,2.97,,,,,,,,
福建省,52.69,36.99,22.49,35.75,18.00,16.21,12.00,14.52,7.02,4.64,3.51,3.68,,,,,,,,
江西省,54.40,51.27,38.51,23.67,43.90,27.81,14.62,10.02,6.44,3.97,2.44,2.68,,,,,,,,
山东省,691.13,663.84,399.76,238.41,156.00,144.60,69.13,32.46,42.54,40.05,38.36,23.99,,,,,,,,
河南省,132.62,109.80,75.54,41.26,52.70,41.15,23.85,19.03,20.29,24.80,8.30,7.77,,,,,,,,
湖北省,94.27,85.05,81.35,38.20,47.60,49.67,41.85,20.60,19.38,16.23,6.75,7.89,,,,,,,,
湖南省,206.05,129.25,116.77,102.26,29.20,36.93,23.12,14.68,21.24,14.68,17.46,5.62,,,,,,,,
广东省,164.77,155.62,118.24,124.04,100.20,67.88,51.93,28.60,24.22,26.18,21.18,36.97,,,,,,,,
广西壮族自治区,70.54,50.28,34.02,20.60,19.10,16.80,15.03,13.89,6.42,4.79,2.74,2.15,,,,,,,,
海南省,11.84,8.15,4.96,3.67,1.80,2.15,0.65,1.52,1.29,1.36,0.85,0.55,,,,,,,,
重庆市,29.75,17.54,15.93,14.85,11.00,18.25,7.96,4.72,4.75,1.48,1.43,4.01,,,,,,,,
四川省,83.11,38.23,60.25,44.58,25.90,20.29,19.13,15.65,20.96,19.02,16.42,13.54,,,,,,,,
贵州省,15.15,20.47,8.85,7.32,7.80,8.44,4.80,4.58,3.36,4.13,3.72,1.08,,,,,,,,
云南省,32.15,36.32,30.38,33.54,7.80,11.07,9.08,12.90,2.09,2.83,2.79,2.67,,,,,,,,
西藏自治区,11.27,9.59,3.24,0.79,1.80,0.52,0.54,0.40,1.19,0.75,0.50,1.36,,,,,,,,
陕西省,338.30,162.15,119.35,56.03,81.20,73.36,53.86,46.07,41.46,31.91,22.56,16.71,,,,,,,,
甘肃省,66.23,39.06,32.56,23.00,24.80,21.70,8.96,5.99,5.95,6.49,5.18,2.99,,,,,,,,
青海省,6.88,3.52,3.11,6.32,4.90,3.75,2.32,2.66,1.63,1.20,0.73,0.98,,,,,,,,
宁夏回族自治区,7.02,5.90,0.99,1.26,1.40,0.98,2.19,2.92,1.63,1.57,0.77,0.55,,,,,,,,
新疆维吾尔自治区,12.97,8.49,17.87,17.56,17.20,13.65,9.00,8.67,13.86,19.96,5.58,5.55,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
