数据库：分省年度数据
指标：居民服务和其他服务业全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,11.55,14.65,18.12,11.53,6.80,6.56,3.91,2.29,5.52,1.72,3.15,7.78,,,,,,,,
天津市,120.08,109.23,52.87,94.37,96.50,40.98,10.74,3.35,4.89,6.02,5.35,4.91,,,,,,,,
河北省,57.72,56.80,71.27,69.30,51.30,52.80,16.57,13.38,28.01,19.50,16.91,19.05,,,,,,,,
山西省,52.84,23.25,15.28,9.55,8.30,5.78,2.33,3.08,2.36,3.31,2.36,0.24,,,,,,,,
内蒙古自治区,78.55,36.30,35.96,20.97,19.80,28.76,16.09,6.27,4.40,3.85,2.29,2.79,,,,,,,,
辽宁省,211.88,208.13,210.09,156.53,89.90,59.94,39.87,41.36,27.19,14.01,13.27,4.49,,,,,,,,
吉林省,76.94,55.46,59.61,35.25,30.80,20.22,15.58,12.18,7.29,3.71,1.78,2.38,,,,,,,,
黑龙江省,59.98,76.62,54.80,32.16,15.40,13.29,10.88,17.71,10.77,5.52,19.04,0.95,,,,,,,,
上海市,5.27,4.92,4.94,3.34,2.40,3.07,3.25,4.68,2.74,5.21,3.03,3.34,,,,,,,,
江苏省,152.88,140.32,154.57,159.15,125.40,103.74,78.66,52.12,51.26,32.14,26.44,15.80,,,,,,,,
浙江省,50.10,30.59,33.90,24.84,14.70,13.48,5.23,6.99,4.13,37.77,33.40,24.34,,,,,,,,
安徽省,95.95,65.04,46.40,28.38,29.20,24.05,15.38,14.29,10.03,5.37,7.00,6.09,,,,,,,,
福建省,53.40,38.22,30.84,16.24,14.90,9.16,6.08,5.70,5.39,6.06,10.19,12.19,,,,,,,,
江西省,70.18,70.36,69.84,52.94,54.90,34.54,15.20,6.21,7.04,2.60,2.33,2.13,,,,,,,,
山东省,337.49,416.72,391.67,350.54,226.70,109.01,69.27,31.72,31.63,28.35,12.94,13.82,,,,,,,,
河南省,179.93,167.70,123.14,68.71,72.20,66.02,52.35,38.08,47.88,58.25,45.05,25.83,,,,,,,,
湖北省,176.69,93.52,52.53,45.05,39.50,24.46,19.87,15.50,5.74,3.97,4.37,1.87,,,,,,,,
湖南省,83.13,81.28,84.46,56.32,37.40,34.57,20.08,10.94,9.90,9.01,5.45,4.93,,,,,,,,
广东省,49.90,45.69,29.37,40.40,18.30,16.96,9.31,14.30,12.79,9.07,8.92,11.98,,,,,,,,
广西壮族自治区,86.88,72.06,58.46,19.24,22.00,16.10,14.86,8.15,8.43,7.39,3.81,2.75,,,,,,,,
海南省,0.84,1.56,4.80,0.47,1.50,0.13,0.61,0.17,0.74,0.80,0.55,0.55,,,,,,,,
重庆市,25.30,44.45,68.11,33.07,11.40,2.33,3.98,1.93,2.92,0.58,1.33,1.20,,,,,,,,
四川省,55.01,37.22,60.35,31.63,63.10,61.49,48.89,58.77,43.31,45.88,51.13,33.26,,,,,,,,
贵州省,11.81,7.03,10.49,4.79,5.60,6.46,5.13,3.04,2.73,1.88,0.83,0.77,,,,,,,,
云南省,59.56,41.24,27.01,18.17,8.00,8.84,4.56,3.49,4.52,4.36,3.83,16.19,,,,,,,,
西藏自治区,17.69,4.22,4.75,1.76,1.30,0.60,0.24,0.55,0.39,0.39,0.28,0.47,,,,,,,,
陕西省,77.37,54.19,66.94,31.37,26.00,19.62,17.94,43.49,29.43,34.90,19.26,10.89,,,,,,,,
甘肃省,86.37,72.11,43.71,17.92,14.10,12.94,7.09,8.04,6.17,3.90,3.10,5.06,,,,,,,,
青海省,10.51,2.75,1.23,3.56,1.60,0.63,1.56,1.76,1.53,0.51,0.35,0.20,,,,,,,,
宁夏回族自治区,6.19,13.17,9.97,1.49,1.30,1.70,0.29,0.34,0.19,0.33,0.63,0.42,,,,,,,,
新疆维吾尔自治区,9.69,14.49,9.54,4.22,3.80,3.69,6.20,4.78,10.13,7.10,5.33,4.92,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
