数据库：分省年度数据
指标：教育全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,124.24,142.74,95.03,132.96,88.80,65.91,51.96,49.22,64.76,63.27,64.18,51.33,,,,,,,,
天津市,180.07,97.97,73.76,70.65,59.70,36.27,34.84,36.43,40.80,40.51,38.19,31.55,,,,,,,,
河北省,254.56,206.07,208.88,143.30,149.10,141.82,94.07,126.35,117.65,115.25,112.46,74.73,,,,,,,,
山西省,140.70,152.22,168.54,125.49,241.50,102.92,56.92,48.19,42.83,36.37,27.45,28.55,,,,,,,,
内蒙古自治区,153.17,93.90,111.01,142.34,151.30,97.97,68.97,57.46,45.78,33.63,29.43,22.81,,,,,,,,
辽宁省,254.42,236.20,196.22,178.05,132.70,129.12,110.70,103.48,92.65,92.83,68.24,48.62,,,,,,,,
吉林省,116.01,76.00,66.11,59.70,87.50,76.45,66.57,47.48,51.28,43.13,45.09,37.04,,,,,,,,
黑龙江省,135.81,185.98,103.37,68.99,71.30,90.26,58.48,76.56,55.90,48.32,48.88,48.73,,,,,,,,
上海市,107.23,71.86,50.91,46.86,50.10,41.45,49.53,73.86,67.39,69.13,60.16,44.16,,,,,,,,
江苏省,479.78,330.12,301.72,218.82,214.90,219.17,178.93,148.38,151.63,152.61,152.94,151.79,,,,,,,,
浙江省,340.63,253.33,199.83,148.71,128.80,126.75,108.63,100.75,102.46,113.52,148.99,132.21,,,,,,,,
安徽省,235.82,229.91,204.05,177.54,194.00,166.88,109.55,84.34,68.83,58.47,65.90,51.87,,,,,,,,
福建省,214.45,185.91,194.88,147.81,116.50,100.22,79.55,78.55,68.02,66.60,58.11,49.09,,,,,,,,
江西省,182.44,176.42,137.82,106.30,112.20,111.65,109.50,83.79,94.94,81.83,70.59,51.55,,,,,,,,
山东省,518.13,452.87,332.98,273.35,251.30,245.93,231.94,212.49,236.71,207.26,169.41,159.14,,,,,,,,
河南省,361.80,290.44,278.09,230.38,265.10,235.48,162.55,149.78,139.24,108.79,114.43,84.57,,,,,,,,
湖北省,198.28,136.66,148.78,151.77,160.30,129.73,87.01,103.76,90.70,87.98,86.38,59.02,,,,,,,,
湖南省,366.34,262.94,212.74,157.38,115.10,101.13,81.90,83.52,82.38,75.75,62.51,44.51,,,,,,,,
广东省,408.52,308.79,299.04,279.16,255.70,203.01,195.56,181.35,168.32,208.06,207.70,147.04,,,,,,,,
广西壮族自治区,308.95,250.95,175.63,162.18,175.40,109.70,61.38,61.88,50.88,48.54,29.23,29.87,,,,,,,,
海南省,44.18,23.09,31.08,29.20,25.50,16.00,15.35,13.10,19.11,13.04,7.53,7.31,,,,,,,,
重庆市,162.44,134.64,109.30,90.90,121.20,109.58,79.86,74.16,59.23,68.30,51.79,37.55,,,,,,,,
四川省,411.69,301.85,202.24,208.39,264.40,366.45,124.85,112.64,110.79,104.86,94.07,97.91,,,,,,,,
贵州省,205.42,123.56,117.19,54.28,48.70,40.62,30.33,25.19,24.78,29.75,25.23,19.38,,,,,,,,
云南省,236.28,208.75,184.92,125.53,181.20,125.65,71.44,59.12,47.23,41.00,34.53,27.46,,,,,,,,
西藏自治区,28.82,30.60,18.43,15.92,11.70,10.05,7.70,6.86,8.35,11.27,10.21,5.25,,,,,,,,
陕西省,221.65,201.78,166.13,155.35,179.20,151.89,108.70,107.61,91.39,98.31,71.59,69.12,,,,,,,,
甘肃省,107.19,92.60,64.76,63.83,68.40,56.24,33.32,21.20,26.27,40.62,31.70,23.04,,,,,,,,
青海省,50.84,49.59,46.19,45.37,22.00,14.25,7.76,4.94,7.48,7.10,4.37,4.11,,,,,,,,
宁夏回族自治区,28.98,28.90,29.15,27.13,33.00,30.26,14.19,14.60,13.02,12.59,9.07,5.56,,,,,,,,
新疆维吾尔自治区,129.87,96.34,84.22,56.96,56.80,68.40,31.74,28.55,29.43,30.50,24.45,26.30,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
