数据库：分省年度数据
指标：批发和零售业全社会固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,33.90,51.41,27.81,28.72,30.80,20.23,17.57,28.09,22.93,27.71,28.04,20.11,,,,,,,,
天津市,337.45,299.45,243.93,128.97,91.20,68.04,54.16,26.73,29.03,27.41,24.21,12.78,,,,,,,,
河北省,879.76,848.73,658.30,440.30,464.40,442.56,307.07,231.18,221.66,159.00,98.49,85.66,,,,,,,,
山西省,254.49,248.89,195.91,148.25,83.80,83.50,53.37,46.95,39.37,26.44,36.18,19.53,,,,,,,,
内蒙古自治区,638.41,388.57,284.39,347.24,254.30,211.84,109.29,72.60,67.61,60.68,33.95,21.15,,,,,,,,
辽宁省,1059.98,1040.45,763.10,532.03,323.90,393.60,243.21,200.15,141.67,124.13,100.89,62.67,,,,,,,,
吉林省,501.93,424.10,410.90,243.47,252.30,226.36,170.28,113.73,71.99,46.66,17.57,20.77,,,,,,,,
黑龙江省,501.71,620.13,329.55,211.06,175.40,136.79,91.95,61.99,42.45,36.49,32.45,23.00,,,,,,,,
上海市,31.86,52.00,62.10,52.28,73.10,43.22,44.55,48.54,47.77,34.28,19.99,15.14,,,,,,,,
江苏省,987.45,836.33,713.23,609.36,578.30,493.37,387.20,279.15,253.09,125.18,90.12,60.60,,,,,,,,
浙江省,432.83,413.93,322.88,226.46,209.50,169.73,160.22,145.77,90.72,59.02,63.83,43.16,,,,,,,,
安徽省,797.90,470.72,358.05,253.05,252.50,212.39,135.36,110.05,71.64,41.60,29.09,17.36,,,,,,,,
福建省,395.97,295.14,206.94,172.15,157.90,101.94,63.23,40.07,18.82,23.69,16.39,12.78,,,,,,,,
江西省,689.24,502.27,411.37,283.51,206.70,170.96,89.74,62.50,46.29,35.83,25.71,20.70,,,,,,,,
山东省,2050.83,1624.15,1276.24,949.96,881.40,719.63,562.60,409.11,306.64,245.08,190.22,141.33,,,,,,,,
河南省,981.40,724.34,526.70,409.79,465.90,370.26,280.25,235.49,189.29,114.20,68.36,33.09,,,,,,,,
湖北省,633.57,434.72,409.82,397.21,304.20,249.59,189.42,131.49,93.93,63.62,66.32,49.03,,,,,,,,
湖南省,870.88,546.83,417.83,360.48,141.60,167.07,154.17,120.27,87.42,116.05,56.55,37.21,,,,,,,,
广东省,848.28,615.51,479.58,421.94,273.60,209.90,175.64,134.92,116.49,77.23,53.59,49.32,,,,,,,,
广西壮族自治区,479.42,381.64,269.37,143.04,139.70,113.17,59.17,49.57,36.05,24.98,16.03,10.62,,,,,,,,
海南省,54.40,32.80,47.89,7.05,5.80,2.65,2.30,2.99,3.10,4.25,2.06,2.28,,,,,,,,
重庆市,210.18,177.89,112.31,80.96,91.50,37.65,20.85,17.10,20.24,26.19,23.84,13.93,,,,,,,,
四川省,577.66,449.11,324.86,223.83,163.00,122.95,66.54,49.52,52.18,43.07,39.39,26.52,,,,,,,,
贵州省,105.59,90.02,76.30,35.77,17.30,20.74,18.36,16.44,14.08,13.25,12.45,7.82,,,,,,,,
云南省,265.83,253.70,234.91,254.25,123.10,110.13,75.29,39.99,32.74,29.25,16.83,16.34,,,,,,,,
西藏自治区,9.17,18.83,14.82,3.43,6.50,5.95,6.45,4.05,5.06,4.80,2.49,1.40,,,,,,,,
陕西省,652.70,449.23,337.50,272.83,139.90,147.06,132.10,130.72,87.18,68.15,41.08,31.49,,,,,,,,
甘肃省,289.03,219.93,138.70,101.60,64.30,41.65,38.71,35.14,27.43,25.36,22.37,18.33,,,,,,,,
青海省,22.98,17.38,18.13,13.28,7.40,6.21,7.68,7.22,5.65,4.99,6.00,4.57,,,,,,,,
宁夏回族自治区,53.08,51.16,53.55,41.57,24.30,5.60,6.07,4.94,4.77,7.92,12.65,6.96,,,,,,,,
新疆维吾尔自治区,152.26,141.07,83.69,45.59,28.40,28.08,19.06,23.87,18.04,19.86,25.84,37.09,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
