数据库：分省年度数据
指标：金融业固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,54.31,48.21,26.63,38.05,30.30,7.40,5.17,5.95,3.58,1.62,3.63,2.46,,,,,,,,
天津市,64.81,41.18,21.40,34.75,2.90,1.60,0.57,0.76,0.12,0.58,0.95,0.77,,,,,,,,
河北省,25.94,44.69,24.38,24.14,12.70,11.94,12.58,7.07,9.80,4.16,2.65,3.80,,,,,,,,
山西省,2.34,3.92,2.02,1.67,2.60,1.87,0.75,0.33,0.65,1.57,0.70,1.74,,,,,,,,
内蒙古自治区,37.88,28.32,25.15,45.16,38.10,23.26,16.65,2.94,2.07,1.88,4.62,2.20,,,,,,,,
辽宁省,105.96,159.48,63.88,56.68,32.50,41.02,47.13,20.80,10.15,17.36,4.13,4.40,,,,,,,,
吉林省,56.68,20.85,14.54,4.92,10.90,8.28,10.51,6.15,2.89,4.62,3.12,2.22,,,,,,,,
黑龙江省,28.97,26.22,31.63,9.25,9.30,6.50,1.07,2.51,0.84,0.23,2.30,3.20,,,,,,,,
上海市,20.54,15.16,49.15,23.34,29.00,15.63,18.04,5.21,6.28,2.88,1.07,0.62,,,,,,,,
江苏省,173.25,116.60,93.26,55.41,38.80,14.39,3.11,1.58,1.39,1.45,1.08,1.86,,,,,,,,
浙江省,92.51,94.84,92.86,25.06,34.70,21.62,18.72,9.50,9.02,4.79,7.02,4.71,,,,,,,,
安徽省,102.39,90.09,62.61,58.21,22.10,16.12,10.79,5.65,3.14,1.89,2.69,1.64,,,,,,,,
福建省,46.59,55.08,30.14,23.25,26.70,16.91,15.27,11.36,7.45,6.41,1.84,1.87,,,,,,,,
江西省,33.67,31.43,24.71,23.61,25.80,21.68,7.64,5.08,4.36,3.12,3.45,2.38,,,,,,,,
山东省,83.76,61.75,51.62,33.29,22.70,14.55,10.29,6.97,4.67,5.45,4.85,7.84,,,,,,,,
河南省,28.80,21.26,14.84,16.57,14.30,12.19,7.87,6.65,3.74,4.44,2.12,2.72,,,,,,,,
湖北省,84.21,75.94,45.00,30.33,18.20,16.13,6.62,7.96,3.97,2.66,4.72,5.80,,,,,,,,
湖南省,68.43,51.87,44.06,19.61,5.50,12.37,6.07,7.45,3.20,4.27,5.56,2.32,,,,,,,,
广东省,96.23,75.20,81.55,30.59,35.30,19.38,17.64,9.57,10.70,9.14,13.55,13.55,,,,,,,,
广西壮族自治区,45.43,39.14,23.02,17.83,19.70,16.84,4.97,2.51,2.67,2.27,2.13,1.26,,,,,,,,
海南省,1.59,5.48,0.55,6.37,5.40,2.57,2.99,0.85,1.58,2.16,0.85,0.81,,,,,,,,
重庆市,3.73,3.54,2.54,2.52,3.70,8.84,2.36,3.72,1.31,2.99,1.37,2.22,,,,,,,,
四川省,27.67,62.45,46.41,31.78,9.60,7.38,3.41,3.56,3.60,1.41,1.70,1.95,,,,,,,,
贵州省,2.92,2.08,,0.85,6.00,7.40,4.05,2.70,3.42,1.84,3.06,2.06,,,,,,,,
云南省,6.96,6.25,4.94,4.11,4.80,5.00,5.60,4.16,4.23,2.75,5.22,2.46,,,,,,,,
西藏自治区,12.63,9.17,2.44,0.47,0.80,0.38,0.40,0.24,1.03,1.72,0.81,0.56,,,,,,,,
陕西省,31.87,34.35,29.00,2.90,3.30,6.02,6.20,4.75,3.76,5.28,3.41,2.79,,,,,,,,
甘肃省,17.24,9.58,11.00,10.39,3.30,2.83,1.17,1.30,3.78,1.61,1.27,1.03,,,,,,,,
青海省,0.77,3.24,0.93,0.26,1.20,2.30,0.30,0.56,0.99,0.54,0.48,0.38,,,,,,,,
宁夏回族自治区,2.88,1.73,0.69,2.65,0.30,0.96,0.10,0.31,0.79,0.38,2.00,0.55,,,,,,,,
新疆维吾尔自治区,2.03,2.85,2.97,4.70,7.10,5.22,4.79,3.79,3.57,4.19,5.23,3.98,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
