数据库：分省年度数据
指标：水利、环境和公共设施管理业固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,451.43,463.78,402.92,380.74,263.90,262.94,218.86,224.46,221.33,146.10,117.55,141.35,,,,,,,,
天津市,1061.86,1146.22,917.87,794.24,813.40,678.88,464.88,211.93,217.55,178.61,184.15,138.76,,,,,,,,
河北省,1865.87,1496.40,1200.21,1067.31,1337.90,1080.33,440.83,296.85,200.68,160.38,137.99,102.05,,,,,,,,
山西省,1416.91,1246.57,742.03,490.26,426.60,431.10,289.32,183.33,113.00,63.64,50.65,61.01,,,,,,,,
内蒙古自治区,1956.65,1216.94,995.99,822.03,651.60,591.20,422.07,343.86,208.16,205.24,131.71,117.86,,,,,,,,
辽宁省,2459.34,2233.35,1677.42,1489.23,1313.90,883.41,618.05,500.97,305.43,259.13,165.75,80.01,,,,,,,,
吉林省,819.81,825.98,760.46,437.28,521.40,525.14,394.74,284.10,254.30,127.01,65.64,74.48,,,,,,,,
黑龙江省,926.12,949.90,787.80,497.67,575.90,305.80,225.59,179.17,120.98,89.38,64.84,59.87,,,,,,,,
上海市,471.41,421.46,338.27,363.14,422.20,630.29,569.57,310.70,260.62,295.97,216.30,182.56,,,,,,,,
江苏省,3541.34,2571.41,1897.53,1736.19,1442.80,1210.76,788.56,684.76,654.99,575.23,508.67,560.40,,,,,,,,
浙江省,2229.35,1759.15,1383.57,1187.25,846.70,808.78,728.50,590.99,556.46,475.88,472.50,522.86,,,,,,,,
安徽省,1908.47,1539.72,1273.58,822.52,911.20,825.46,589.89,449.97,292.13,222.88,128.83,63.87,,,,,,,,
福建省,1787.84,1355.52,1072.07,809.09,626.00,565.28,401.19,349.65,229.05,129.71,77.47,68.58,,,,,,,,
江西省,1477.99,1028.90,827.24,744.08,724.20,525.46,361.72,292.62,286.32,232.47,152.35,125.25,,,,,,,,
山东省,2138.99,1837.12,1467.45,1351.27,1067.20,1025.76,724.12,406.31,371.75,327.02,350.09,223.28,,,,,,,,
河南省,2178.78,1688.31,1497.21,1283.85,1108.90,760.94,506.73,394.60,312.00,230.94,173.20,149.34,,,,,,,,
湖北省,1894.25,1593.90,1231.38,1124.10,1015.80,721.98,468.82,380.36,245.96,194.61,140.34,113.29,,,,,,,,
湖南省,2564.50,1984.71,1410.51,1089.99,968.20,739.05,457.10,329.53,206.02,183.85,147.91,84.45,,,,,,,,
广东省,2025.90,1688.52,1526.45,1608.11,1602.30,1052.84,658.05,606.16,530.45,485.62,366.20,330.31,,,,,,,,
广西壮族自治区,1456.37,1237.88,995.73,948.94,844.30,543.68,339.37,254.37,217.04,188.50,136.59,101.71,,,,,,,,
海南省,194.97,186.26,154.65,108.02,111.60,67.91,70.28,44.93,23.67,19.32,20.86,17.42,,,,,,,,
重庆市,1325.24,1033.44,858.50,770.01,716.50,525.58,458.50,387.01,301.15,215.84,203.56,146.01,,,,,,,,
四川省,2723.12,2361.64,1801.76,1371.86,1307.60,1139.07,858.98,632.70,573.51,444.23,333.91,275.52,,,,,,,,
贵州省,2002.14,1526.05,1069.79,636.63,326.40,208.25,117.66,103.75,70.21,62.47,68.50,67.49,,,,,,,,
云南省,1138.68,847.06,787.65,471.55,584.70,500.65,315.52,192.50,182.23,127.53,105.16,93.74,,,,,,,,
西藏自治区,75.06,81.85,46.89,43.55,23.70,18.97,16.35,7.18,8.72,8.58,13.86,16.99,,,,,,,,
陕西省,2030.10,1640.42,959.22,1030.45,947.80,721.29,429.36,301.25,231.56,206.08,141.63,93.54,,,,,,,,
甘肃省,608.13,481.00,367.47,261.05,128.90,93.96,72.96,74.22,47.77,31.68,27.14,25.17,,,,,,,,
青海省,230.04,112.00,75.95,59.23,43.60,56.35,27.68,24.70,17.85,11.33,10.59,15.63,,,,,,,,
宁夏回族自治区,260.07,179.09,108.29,96.81,70.50,57.21,47.27,36.87,47.79,41.03,30.01,39.95,,,,,,,,
新疆维吾尔自治区,894.53,523.32,329.68,195.58,176.20,169.03,128.94,104.02,91.91,95.05,99.36,99.23,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
