数据库：分省年度数据
指标：居民服务和其他服务业固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,11.51,14.64,18.05,9.47,3.80,2.45,2.96,1.75,3.13,0.04,1.12,2.32,,,,,,,,
天津市,119.65,109.19,52.79,94.31,93.10,34.12,9.66,1.74,3.91,1.84,1.00,0.30,,,,,,,,
河北省,56.77,51.17,57.61,47.56,39.50,38.09,9.86,10.72,14.10,6.15,3.32,4.79,,,,,,,,
山西省,49.94,20.54,13.18,6.03,7.40,5.15,1.58,2.83,1.24,0.86,0.59,0.07,,,,,,,,
内蒙古自治区,77.89,35.36,33.58,16.06,18.10,27.72,14.83,5.25,3.51,2.70,1.65,2.10,,,,,,,,
辽宁省,203.89,199.86,202.03,148.46,82.70,54.78,32.77,35.45,18.72,11.06,10.14,2.46,,,,,,,,
吉林省,76.63,54.60,47.50,25.02,30.60,20.22,14.77,11.70,7.19,3.65,1.60,1.02,,,,,,,,
黑龙江省,59.95,76.48,45.61,23.62,14.60,13.29,10.88,17.70,10.75,5.51,18.91,0.90,,,,,,,,
上海市,5.27,4.92,4.94,3.34,1.90,1.76,2.40,2.34,1.66,1.45,1.49,1.59,,,,,,,,
江苏省,152.61,138.61,103.34,105.34,58.50,40.72,31.99,19.03,11.16,9.66,10.50,6.89,,,,,,,,
浙江省,49.54,29.73,31.27,22.36,5.60,5.86,2.07,2.62,2.57,28.81,14.44,12.37,,,,,,,,
安徽省,93.12,62.79,44.09,26.69,24.20,22.46,13.67,11.71,6.32,2.68,1.85,1.36,,,,,,,,
福建省,53.07,38.05,30.69,16.10,10.30,7.13,2.70,1.60,1.82,1.56,1.99,1.51,,,,,,,,
江西省,68.70,68.58,57.06,39.85,28.60,15.08,9.52,5.50,6.45,2.22,1.90,1.39,,,,,,,,
山东省,327.87,410.14,385.15,344.62,157.60,76.80,44.33,25.05,24.40,16.40,6.11,6.74,,,,,,,,
河南省,152.91,143.08,100.70,47.53,43.20,39.64,26.83,16.83,16.87,7.73,4.95,1.51,,,,,,,,
湖北省,176.46,92.63,45.08,44.99,35.90,18.99,17.81,12.77,4.65,3.51,3.05,1.38,,,,,,,,
湖南省,81.77,75.25,68.77,42.76,19.60,26.13,15.51,6.94,6.54,5.29,2.99,2.06,,,,,,,,
广东省,49.03,39.00,22.07,15.02,12.50,12.58,6.95,8.73,8.59,6.14,6.15,4.53,,,,,,,,
广西壮族自治区,64.42,51.73,39.54,13.91,9.10,7.34,5.05,3.54,2.24,2.20,1.23,0.37,,,,,,,,
海南省,0.83,1.49,4.77,0.44,0.50,0.02,0.49,0.10,0.43,0.30,0.13,0.32,,,,,,,,
重庆市,24.30,43.52,68.01,32.80,8.50,2.25,3.49,1.79,2.40,0.49,1.15,1.17,,,,,,,,
四川省,49.36,33.09,57.70,29.28,7.70,6.72,4.87,5.13,5.03,3.72,2.51,1.92,,,,,,,,
贵州省,10.57,5.69,8.05,3.93,3.60,5.32,4.18,2.35,2.44,1.80,0.83,0.77,,,,,,,,
云南省,58.42,39.83,22.54,14.09,4.40,8.45,4.30,3.18,4.48,2.56,2.03,1.53,,,,,,,,
西藏自治区,17.69,4.22,4.75,1.76,0.70,0.35,0.22,0.55,0.39,0.39,0.28,0.47,,,,,,,,
陕西省,76.72,53.94,56.84,25.44,21.60,16.01,11.01,11.75,5.00,3.70,3.22,1.25,,,,,,,,
甘肃省,81.27,67.04,39.42,9.15,7.40,4.44,3.72,3.65,2.95,1.10,0.86,0.72,,,,,,,,
青海省,10.09,2.33,1.20,3.49,1.20,0.54,1.49,1.76,1.43,0.15,0.15,0.12,,,,,,,,
宁夏回族自治区,6.19,13.17,9.97,1.49,1.00,1.18,0.22,0.29,0.18,0.30,0.61,0.38,,,,,,,,
新疆维吾尔自治区,9.13,13.72,9.45,4.16,3.60,3.01,2.55,1.40,3.10,1.53,0.84,1.23,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
