数据库：分省年度数据
指标：卫生、社会保障和社会福利业固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,67.03,60.89,44.16,48.09,36.10,36.58,37.27,19.63,18.94,14.94,10.84,15.71,,,,,,,,
天津市,49.70,62.88,63.02,21.09,19.40,15.83,12.29,18.28,13.64,9.24,10.35,13.77,,,,,,,,
河北省,231.67,149.62,111.80,91.03,106.60,107.74,56.33,45.89,42.94,33.13,29.92,14.74,,,,,,,,
山西省,69.04,55.22,54.19,52.01,54.20,35.19,18.45,9.50,9.95,8.79,6.06,5.81,,,,,,,,
内蒙古自治区,116.35,70.16,67.46,60.26,53.20,45.28,35.39,25.89,17.40,11.84,12.09,8.15,,,,,,,,
辽宁省,127.35,144.80,161.89,92.99,84.40,83.29,51.10,39.04,28.48,21.41,18.82,9.19,,,,,,,,
吉林省,84.37,71.65,69.59,40.96,56.10,53.19,38.74,26.76,23.67,14.74,6.89,6.33,,,,,,,,
黑龙江省,141.80,130.88,78.57,59.19,64.50,56.06,56.27,29.27,22.52,16.26,10.60,7.84,,,,,,,,
上海市,31.83,39.93,56.90,66.31,36.10,22.69,13.47,20.58,21.53,17.33,24.20,12.17,,,,,,,,
江苏省,271.44,207.34,156.63,145.66,96.20,77.77,67.18,53.38,58.16,40.39,18.82,18.96,,,,,,,,
浙江省,175.39,148.18,125.23,94.29,74.90,69.78,53.91,48.67,54.26,35.12,32.51,29.82,,,,,,,,
安徽省,171.22,130.84,107.65,96.68,97.10,85.71,44.68,30.64,20.21,13.80,10.55,7.39,,,,,,,,
福建省,118.63,109.25,72.96,59.99,54.10,43.52,31.88,24.48,17.33,15.66,10.42,10.93,,,,,,,,
江西省,105.26,86.93,74.59,74.26,51.30,49.18,23.94,22.48,29.44,24.48,23.20,25.64,,,,,,,,
山东省,340.00,244.59,190.91,191.41,141.40,112.03,84.50,60.04,45.29,44.26,25.37,23.66,,,,,,,,
河南省,244.04,166.98,160.04,157.39,122.10,109.81,69.75,53.14,38.44,30.17,19.87,14.07,,,,,,,,
湖北省,177.25,144.69,131.23,128.50,90.10,74.52,42.03,34.67,23.72,19.45,16.84,14.82,,,,,,,,
湖南省,226.30,151.34,111.91,129.67,94.90,88.59,41.11,29.39,23.73,28.22,25.32,15.32,,,,,,,,
广东省,231.80,169.89,140.82,127.83,119.30,108.68,67.75,50.09,51.99,53.13,32.81,29.06,,,,,,,,
广西壮族自治区,140.89,116.56,80.94,72.47,71.60,53.37,28.09,21.20,18.80,18.18,12.19,9.27,,,,,,,,
海南省,27.08,13.29,21.68,36.74,18.70,12.38,6.57,6.78,4.61,4.60,2.66,1.71,,,,,,,,
重庆市,90.61,71.76,52.71,44.81,38.20,29.67,23.25,18.44,15.24,18.63,13.51,8.73,,,,,,,,
四川省,208.02,167.25,149.91,123.99,126.80,132.52,45.83,39.03,29.70,29.32,20.58,14.47,,,,,,,,
贵州省,35.29,20.02,19.63,15.45,15.90,15.26,11.29,9.31,7.99,8.50,6.93,7.36,,,,,,,,
云南省,101.53,83.94,70.46,62.18,63.00,48.53,26.46,16.35,12.00,13.79,10.24,6.62,,,,,,,,
西藏自治区,14.18,6.95,7.85,7.09,3.40,3.49,1.41,1.51,1.90,2.02,1.61,1.87,,,,,,,,
陕西省,227.71,181.40,133.85,119.31,82.10,61.13,39.35,21.38,20.55,14.86,11.25,6.52,,,,,,,,
甘肃省,69.25,52.37,38.17,49.14,39.40,27.66,13.86,12.28,10.27,10.16,7.16,4.32,,,,,,,,
青海省,13.19,10.90,14.91,17.98,6.80,5.14,2.33,0.95,1.75,1.70,1.43,1.49,,,,,,,,
宁夏回族自治区,28.53,16.86,11.09,11.58,12.50,7.94,5.02,6.07,6.47,2.91,2.66,1.85,,,,,,,,
新疆维吾尔自治区,54.29,50.92,36.25,31.89,28.80,25.47,16.37,14.24,17.04,14.74,11.21,10.12,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
