数据库：分省年度数据
指标：全社会固定资产本年资金来源小计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,9648.58,10452.51,8870.77,7928.69,8316.90,8503.62,5173.69,6158.69,4846.63,4561.30,3548.75,2843.34,,,,,,,,
天津市,11633.98,10446.04,8853.55,8102.64,6887.30,5351.01,3794.62,2850.86,2282.63,1828.57,1391.49,1134.44,,,,,,,,
河北省,26321.48,23431.78,20105.99,18047.05,16550.00,13304.46,9222.07,7240.57,5661.09,4160.22,3271.13,2492.49,,,,,,,,
山西省,10664.68,9883.23,8311.73,6933.09,6147.80,4769.30,3562.37,2958.99,2353.42,1879.62,1450.78,1102.99,,,,,,,,
内蒙古自治区,17269.45,14146.27,12174.57,10885.74,9069.10,7250.32,5334.54,4272.66,3293.47,2576.52,1726.89,1107.75,,,,,,,,
辽宁省,26449.04,27321.30,24225.63,21125.02,18626.30,13326.45,10179.82,8039.93,6026.79,4317.98,3085.41,2134.77,,,,,,,,
吉林省,11493.23,10373.99,9696.37,7617.95,7850.80,6458.19,5007.24,3661.82,2576.76,1865.19,1159.70,980.21,,,,,,,,
黑龙江省,10366.86,12286.85,10400.51,8173.08,7295.40,5158.73,3680.18,2854.84,2261.07,1715.74,1407.77,1137.26,,,,,,,,
上海市,7961.62,7828.22,6961.16,6339.36,6383.30,6393.86,5627.34,5479.25,4922.31,4196.13,3554.74,2892.23,,,,,,,,
江苏省,47097.73,43403.08,36552.88,30753.55,27246.20,22580.23,16737.10,13872.38,10775.41,8578.94,6748.90,5289.60,,,,,,,,
浙江省,26574.54,23966.83,19243.57,16450.98,14981.70,13100.59,10430.35,9808.47,8446.09,6997.93,6278.96,5159.20,,,,,,,,
安徽省,23176.50,20466.24,16587.83,13782.90,12266.70,9709.46,6865.87,5214.32,3705.48,2639.84,1973.11,1477.56,,,,,,,,
福建省,19142.26,17234.59,13850.66,11226.21,8922.20,6969.30,5684.54,4978.00,3425.86,2608.82,2125.10,1655.67,,,,,,,,
江西省,16790.29,14431.90,12103.06,9801.62,9933.10,7627.47,4975.94,3508.27,2741.96,2244.92,1709.11,1307.84,,,,,,,,
山东省,44732.40,40328.99,33538.22,28879.42,25399.20,20495.51,15968.72,12823.40,11499.97,9489.95,6959.78,5420.57,,,,,,,,
河南省,30932.72,26530.58,21710.07,18087.27,16943.20,14011.51,10900.21,8384.34,6310.70,4446.04,3180.01,2302.29,,,,,,,,
湖北省,24094.34,20641.62,16884.45,13832.87,11274.80,8596.47,5850.81,4693.95,3578.07,2729.20,2296.84,2066.86,,,,,,,,
湖南省,22685.39,19582.32,15989.51,13188.14,10289.90,8176.62,5837.78,4454.54,3402.96,2681.67,2100.34,1612.29,,,,,,,,
广东省,30486.27,26850.82,22005.90,19707.01,18264.50,15464.46,11996.86,11124.37,9138.18,7741.28,6555.28,5393.33,,,,,,,,
广西壮族自治区,14936.44,12717.25,10506.83,8233.29,7453.20,5637.47,3816.06,3069.31,2273.37,1743.33,1310.17,973.66,,,,,,,,
海南省,3551.08,4743.80,2755.81,2023.98,1747.70,1192.42,817.75,608.39,445.30,388.66,356.37,292.06,,,,,,,,
重庆市,14561.37,12667.88,10312.01,9079.75,8304.70,5913.94,4197.12,3634.35,2593.96,2081.56,1637.54,1238.59,,,,,,,,
四川省,25231.55,22188.85,18203.95,15219.86,14941.50,12297.11,7318.32,6071.88,4778.41,3671.17,2880.11,2433.51,,,,,,,,
贵州省,9665.01,7834.91,5949.11,4609.67,3644.10,2824.02,1988.11,1599.25,1286.09,1037.82,864.75,766.68,,,,,,,,
云南省,10269.20,9499.52,8047.47,6560.53,6375.60,4944.01,3596.31,2866.78,2180.30,1774.66,1336.14,1014.03,,,,,,,,
西藏自治区,1248.68,1016.77,696.65,607.75,518.00,444.44,396.15,346.34,243.68,188.88,173.88,151.84,,,,,,,,
陕西省,17154.94,15414.20,13222.29,10707.17,9302.40,6993.06,4617.41,3404.06,2541.16,1841.17,1489.29,1183.76,,,,,,,,
甘肃省,7599.42,7392.99,5365.80,3873.79,3240.60,2373.02,1672.95,1332.81,1010.91,871.20,723.76,609.05,,,,,,,,
青海省,2781.05,2343.55,1982.65,1488.12,1040.30,800.05,563.59,474.01,390.08,323.68,283.66,231.35,,,,,,,,
宁夏回族自治区,2961.70,2639.69,1998.28,1655.65,1446.00,1027.65,793.40,554.50,454.64,417.31,354.60,304.06,,,,,,,,
新疆维吾尔自治区,9482.08,8218.88,6572.90,5045.47,3667.40,2939.38,2272.58,1907.02,1577.40,1340.87,1135.39,950.45,,,,,,,,
注：1.从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
　　　2.投资资金来源为财务拨款数，各项相加不等于投资总额。
数据来源：国家统计局
