数据库：分省年度数据
指标：500万元以下固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,10.70,10.08,10.34,8.11,5.05,3.24,3.49,3.65,,,,,,,,
天津市,,,,,0.20,30.34,19.74,11.07,10.98,10.03,10.25,9.08,,,,,,,,
河北省,,,,,242.40,203.51,92.83,111.70,121.30,90.03,77.57,71.85,,,,,,,,
山西省,,,,,27.00,34.37,20.02,21.24,23.11,24.13,20.85,28.38,,,,,,,,
内蒙古自治区,,,,,31.70,44.65,41.25,45.40,47.01,66.53,61.83,59.28,,,,,,,,
辽宁省,,,,,,181.17,162.37,146.22,160.45,136.33,68.34,50.92,,,,,,,,
吉林省,,,,,1039.10,31.12,32.29,36.16,35.60,32.06,17.43,21.48,,,,,,,,
黑龙江省,,,,,56.40,55.70,40.36,44.12,43.97,38.30,37.27,33.88,,,,,,,,
上海市,,,,,17.90,20.31,18.83,21.27,23.58,24.53,24.47,9.00,,,,,,,,
江苏省,,,,,,,,,,71.49,48.55,66.38,,,,,,,,
浙江省,,,,,91.80,85.68,85.52,83.96,57.77,51.84,46.04,39.48,,,,,,,,
安徽省,,,,,154.50,,135.43,139.19,83.76,65.98,49.48,48.19,,,,,,,,
福建省,,,,,,39.94,36.26,34.53,0.00,36.35,30.92,27.96,,,,,,,,
江西省,,,,,59.70,30.84,21.94,27.40,28.83,32.99,33.70,37.67,,,,,,,,
山东省,,,,,120.20,114.40,150.79,114.42,101.81,74.42,107.20,139.25,,,,,,,,
河南省,,,,,75.30,110.36,97.19,108.00,98.08,96.41,67.54,59.75,,,,,,,,
湖北省,,,,,95.00,98.11,85.49,84.02,88.60,82.94,63.37,84.28,,,,,,,,
湖南省,,,,,,,86.28,77.87,79.32,70.24,58.48,40.36,,,,,,,,
广东省,,,,,243.50,235.63,226.56,199.06,134.53,94.98,68.32,93.63,,,,,,,,
广西壮族自治区,,,,,227.60,195.80,134.48,132.08,109.87,98.00,66.59,69.46,,,,,,,,
海南省,,,,,5.20,9.53,8.23,10.29,10.11,10.96,8.71,10.90,,,,,,,,
重庆市,,,,,37.70,39.00,31.41,30.56,35.53,44.28,35.23,30.05,,,,,,,,
四川省,,,,,66.90,83.17,69.87,99.23,90.66,93.03,71.74,59.26,,,,,,,,
贵州省,,,,,,94.69,89.67,89.89,61.73,62.95,51.71,43.40,,,,,,,,
云南省,,,,,66.20,75.24,116.78,68.97,56.92,57.11,54.75,48.91,,,,,,,,
西藏自治区,,,,,22.80,29.62,24.37,24.09,23.00,25.46,23.49,25.14,,,,,,,,
陕西省,,,,,42.10,50.17,41.51,40.05,39.75,44.13,42.92,42.61,,,,,,,,
甘肃省,,,,,46.50,52.26,47.48,49.96,48.78,50.72,47.76,44.30,,,,,,,,
青海省,,,,,13.40,18.63,18.89,18.21,23.00,19.67,21.82,22.13,,,,,,,,
宁夏回族自治区,,,,,9.10,11.22,8.23,9.93,14.08,12.92,10.92,15.90,,,,,,,,
新疆维吾尔自治区,,,,,55.80,61.70,49.62,65.20,64.97,65.77,66.49,59.51,,,,,,,,
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
